<doc id="bv_doc_id__55" attrs="word lemma type">
Stenographische	bv_doc_id__55_d44e555
ein	bv_doc_id__55_d44e70490
Achtel	bv_doc_id__55_d44e70492
herunterfinfen	bv_doc_id__55_d44e70494
würde	bv_doc_id__55_d44e70496
<g/>
,	
meine	bv_doc_id__55_d44e70500
Herren	bv_doc_id__55_d44e70503
<g/>
,	
ein	bv_doc_id__55_d44e70507
derartiges	bv_doc_id__55_d44e70509
Budaet	bv_doc_id__55_d44e70511
wäre	bv_doc_id__55_d44e70513
ein	bv_doc_id__55_d44e70516
Ding	bv_doc_id__55_d44e70518
der	bv_doc_id__55_d44e70520
Unmöglichkeit	bv_doc_id__55_d44e70522
<g/>
.	
Es	bv_doc_id__55_d44e70526
ist	bv_doc_id__55_d44e70529
eben	bv_doc_id__55_d44e70531
nicht	bv_doc_id__55_d44e70533
so	bv_doc_id__55_d44e70535
<g/>
,	
daß	bv_doc_id__55_d44e70539
der	bv_doc_id__55_d44e70542
Staat	bv_doc_id__55_d44e70544
heute	bv_doc_id__55_d44e70546
etwa	bv_doc_id__55_d44e70548
den	bv_doc_id__55_d44e70550
Ländern	bv_doc_id__55_d44e70552
aus	bv_doc_id__55_d44e70555
seinen	bv_doc_id__55_d44e70557
Steuereinnahmen	bv_doc_id__55_d44e70559
700	bv_doc_id__55_d44e70561
Milsionen	bv_doc_id__55_d44e70563
zahlen	bv_doc_id__55_d44e70565
<g/>
.	
würde	bv_doc_id__55_d44e70570
<g/>
,	
es	bv_doc_id__55_d44e70574
ift	bv_doc_id__55_d44e70576
auch	bv_doc_id__55_d44e70578
nicht	bv_doc_id__55_d44e70581
so	bv_doc_id__55_d44e70583
<g/>
,	
daß	bv_doc_id__55_d44e70587
der	bv_doc_id__55_d44e70589
Staat	bv_doc_id__55_d44e70591
die	bv_doc_id__55_d44e70594
von	bv_doc_id__55_d44e70596
den	bv_doc_id__55_d44e70598
Ländern	bv_doc_id__55_d44e70600
zu	bv_doc_id__55_d44e70602
übernehmenden	bv_doc_id__55_d44e70604
Ausgaben	bv_doc_id__55_d44e70607
heute	bv_doc_id__55_d44e70609
aus	bv_doc_id__55_d44e70611
feinen	bv_doc_id__55_d44e70613
Steuern	bv_doc_id__55_d44e70615
zahlt	bv_doc_id__55_d44e70617
<g/>
,	
sondern	bv_doc_id__55_d44e70622
faftisch	bv_doc_id__55_d44e70624
zahlt	bv_doc_id__55_d44e70626
der	bv_doc_id__55_d44e70628
Staat	bv_doc_id__55_d44e70630
etwa	bv_doc_id__55_d44e70633
ein	bv_doc_id__55_d44e70635
Drittel	bv_doc_id__55_d44e70637
sowohl	bv_doc_id__55_d44e70639
der	bv_doc_id__55_d44e70641
bisherigen	bv_doc_id__55_d44e70643
Zuwendungen	bv_doc_id__55_d44e70646
<g/>
,	
als	bv_doc_id__55_d44e70650
der	bv_doc_id__55_d44e70652
fünftig	bv_doc_id__55_d44e70654
von	bv_doc_id__55_d44e70656
den	bv_doc_id__55_d44e70659
Ländern	bv_doc_id__55_d44e70661
zu	bv_doc_id__55_d44e70663
übernehmenden	bv_doc_id__55_d44e70665
Ausgaben	bv_doc_id__55_d44e70667
aus	bv_doc_id__55_d44e70669
Steuern	bv_doc_id__55_d44e70672
und	bv_doc_id__55_d44e70674
drei	bv_doc_id__55_d44e70676
Viertel	bv_doc_id__55_d44e70678
zahlt	bv_doc_id__55_d44e70680
er	bv_doc_id__55_d44e70682
im	bv_doc_id__55_d44e70685
Kreditwege	bv_doc_id__55_d44e70687
<g/>
,	
entweder	bv_doc_id__55_d44e70691
durch	bv_doc_id__55_d44e70693
Uusaabe	bv_doc_id__55_d44e70695
von	bv_doc_id__55_d44e70698
Noten	bv_doc_id__55_d44e70700
oder	bv_doc_id__55_d44e70702
aus	bv_doc_id__55_d44e70704
fonftigen	bv_doc_id__55_d44e70706
Krediten	bv_doc_id__55_d44e70708
<g/>
.	
Und	bv_doc_id__55_d44e70713
es	bv_doc_id__55_d44e70715
wäre	bv_doc_id__55_d44e70717
daher	bv_doc_id__55_d44e70719
<g/>
,	
wenn	bv_doc_id__55_d44e70724
die	bv_doc_id__55_d44e70726
ohnedies	bv_doc_id__55_d44e70728
turze	bv_doc_id__55_d44e70730
Steuerdecke	bv_doc_id__55_d44e70732
des	bv_doc_id__55_d44e70734
Bundes	bv_doc_id__55_d44e70737
nicht	bv_doc_id__55_d44e70739
noch	bv_doc_id__55_d44e70741
mehr	bv_doc_id__55_d44e70743
verkürzt	bv_doc_id__55_d44e70745
werden	bv_doc_id__55_d44e70747
foll	bv_doc_id__55_d44e70750
<g/>
,	
nur	bv_doc_id__55_d44e70754
denkbar	bv_doc_id__55_d44e70756
<g/>
,	
daß	bv_doc_id__55_d44e70760
<g/>
,	
wenn	bv_doc_id__55_d44e70765
den	bv_doc_id__55_d44e70767
Ländern	bv_doc_id__55_d44e70769
eine	bv_doc_id__55_d44e70771
Steuerdeckung	bv_doc_id__55_d44e70773
für	bv_doc_id__55_d44e70776
diese	bv_doc_id__55_d44e70778
Dinge	bv_doc_id__55_d44e70780
gegeben	bv_doc_id__55_d44e70782
werden	bv_doc_id__55_d44e70784
soll	bv_doc_id__55_d44e70786
<g/>
,	
sie	bv_doc_id__55_d44e70791
nur	bv_doc_id__55_d44e70793
etwa	bv_doc_id__55_d44e70795
in	bv_doc_id__55_d44e70797
dem	bv_doc_id__55_d44e70799
Verhältnisse	bv_doc_id__55_d44e70802
gegeben	bv_doc_id__55_d44e70804
werden	bv_doc_id__55_d44e70806
kann	bv_doc_id__55_d44e70808
<g/>
,	
in	bv_doc_id__55_d44e70812
welchem	bv_doc_id__55_d44e70815
der	bv_doc_id__55_d44e70817
Bund	bv_doc_id__55_d44e70819
seine	bv_doc_id__55_d44e70821
Ausgaben	bv_doc_id__55_d44e70823
aus	bv_doc_id__55_d44e70825
Steuern	bv_doc_id__55_d44e70828
deckt	bv_doc_id__55_d44e70830
<g/>
.	
Das	bv_doc_id__55_d44e70834
Ergebnis	bv_doc_id__55_d44e70836
wäre	bv_doc_id__55_d44e70838
<g/>
,	
daß	bv_doc_id__55_d44e70843
die	bv_doc_id__55_d44e70845
Länder	bv_doc_id__55_d44e70847
für	bv_doc_id__55_d44e70849
1500	bv_doc_id__55_d44e70851
Miltionen	bv_doc_id__55_d44e70854
Ausgaben	bv_doc_id__55_d44e70856
425	bv_doc_id__55_d44e70858
bis	bv_doc_id__55_d44e70860
500	bv_doc_id__55_d44e70862
Millionen	bv_doc_id__55_d44e70864
Steuer	bv_doc_id__55_d44e70867
bekommen	bv_doc_id__55_d44e70869
würden	bv_doc_id__55_d44e70871
und	bv_doc_id__55_d44e70873
eine	bv_doc_id__55_d44e70875
Milliarde	bv_doc_id__55_d44e70877
im	bv_doc_id__55_d44e70880
Kreditwege	bv_doc_id__55_d44e70882
zu	bv_doc_id__55_d44e70884
beftreiten	bv_doc_id__55_d44e70886
hätten	bv_doc_id__55_d44e70888
<g/>
.	
Es	bv_doc_id__55_d44e70893
geht	bv_doc_id__55_d44e70895
das	bv_doc_id__55_d44e70897
Problem	bv_doc_id__55_d44e70899
darauf	bv_doc_id__55_d44e70901
hinaus	bv_doc_id__55_d44e70903
<g/>
,	
ob	bv_doc_id__55_d44e70908
die	bv_doc_id__55_d44e70910
Kreditinanspruchnahme	bv_doc_id__55_d44e70912
<g/>
,	
wie	bv_doc_id__55_d44e70916
es	bv_doc_id__55_d44e70919
bis	bv_doc_id__55_d44e70921
jetzt	bv_doc_id__55_d44e70923
der	bv_doc_id__55_d44e70925
Fall	bv_doc_id__55_d44e70927
war	bv_doc_id__55_d44e70929
<g/>
,	
gänzlich	bv_doc_id__55_d44e70934
zentralifiert	bv_doc_id__55_d44e70936
und	bv_doc_id__55_d44e70938
vom	bv_doc_id__55_d44e70940
Staate	bv_doc_id__55_d44e70942
in	bv_doc_id__55_d44e70945
Anfpruch	bv_doc_id__55_d44e70947
genommen	bv_doc_id__55_d44e70949
<g/>
.	
und	bv_doc_id__55_d44e70953
den	bv_doc_id__55_d44e70955
Ländern	bv_doc_id__55_d44e70958
zur	bv_doc_id__55_d44e70960
Verfügung	bv_doc_id__55_d44e70962
gestellt	bv_doc_id__55_d44e70964
werden	bv_doc_id__55_d44e70966
<g/>
.	
soll	bv_doc_id__55_d44e70971
oder	bv_doc_id__55_d44e70973
ob	bv_doc_id__55_d44e70975
die	bv_doc_id__55_d44e70977
Kreditinanspruchnahme	bv_doc_id__55_d44e70979
dezentra238	bv_doc_id__55_d44e70981
46	bv_doc_id__55_d44e70986
lisiert	bv_doc_id__55_d44e70988
werden	bv_doc_id__55_d44e70990
soll	bv_doc_id__55_d44e70992
<g/>
.	
Ich	bv_doc_id__55_d44e70997
bin	bv_doc_id__55_d44e70999
fest	bv_doc_id__55_d44e71001
überzeugt	bv_doc_id__55_d44e71003
<g/>
,	
daß	bv_doc_id__55_d44e71007
heute	bv_doc_id__55_d44e71010
der	bv_doc_id__55_d44e71012
Kredit	bv_doc_id__55_d44e71014
der	bv_doc_id__55_d44e71016
Länder	bv_doc_id__55_d44e71018
befser	bv_doc_id__55_d44e71020
ist	bv_doc_id__55_d44e71023
als	bv_doc_id__55_d44e71025
der	bv_doc_id__55_d44e71027
des	bv_doc_id__55_d44e71029
Staates	bv_doc_id__55_d44e71031
<g/>
,	
aber	bv_doc_id__55_d44e71036
nur	bv_doc_id__55_d44e71038
deshalb	bv_doc_id__55_d44e71040
<g/>
,	
weil	bv_doc_id__55_d44e71044
sie	bv_doc_id__55_d44e71046
ihn	bv_doc_id__55_d44e71049
nicht	bv_doc_id__55_d44e71051
so	bv_doc_id__55_d44e71053
sehr	bv_doc_id__55_d44e71055
in	bv_doc_id__55_d44e71057
Anspruch	bv_doc_id__55_d44e71059
nehmen	bv_doc_id__55_d44e71062
<g/>
,	
weil	bv_doc_id__55_d44e71066
der	bv_doc_id__55_d44e71068
Staat	bv_doc_id__55_d44e71070
den	bv_doc_id__55_d44e71072
Ländern	bv_doc_id__55_d44e71075
die	bv_doc_id__55_d44e71077
Notwendigkeit	bv_doc_id__55_d44e71079
abnimmt	bv_doc_id__55_d44e71081
<g/>
,	
den	bv_doc_id__55_d44e71085
Kredit	bv_doc_id__55_d44e71088
in	bv_doc_id__55_d44e71090
Anfpruch	bv_doc_id__55_d44e71092
zu	bv_doc_id__55_d44e71094
nehmen	bv_doc_id__55_d44e71096
<g/>
.	
Gs	bv_doc_id__55_d44e71101
wäre	bv_doc_id__55_d44e71103
nicht	bv_doc_id__55_d44e71105
viel	bv_doc_id__55_d44e71107
anders	bv_doc_id__55_d44e71109
als	bv_doc_id__55_d44e71111
mit	bv_doc_id__55_d44e71114
dem	bv_doc_id__55_d44e71116
Landespabiergeld	bv_doc_id__55_d44e71118
<g/>
.	
Kleine	bv_doc_id__55_d44e71122
Quantitäten	bv_doc_id__55_d44e71124
des	bv_doc_id__55_d44e71127
Landespapiergeldes	bv_doc_id__55_d44e71129
find	bv_doc_id__55_d44e71131
fehr	bv_doc_id__55_d44e71133
begehrt	bv_doc_id__55_d44e71135
und	bv_doc_id__55_d44e71137
halten	bv_doc_id__55_d44e71140
guten	bv_doc_id__55_d44e71142
Kurs	bv_doc_id__55_d44e71144
<g/>
.	
Man	bv_doc_id__55_d44e71148
verwendet	bv_doc_id__55_d44e71150
fie	bv_doc_id__55_d44e71153
als	bv_doc_id__55_d44e71155
Anlagepapiere	bv_doc_id__55_d44e71157
<g/>
.	
Ganz	bv_doc_id__55_d44e71161
anders	bv_doc_id__55_d44e71163
aber	bv_doc_id__55_d44e71166
wird	bv_doc_id__55_d44e71168
die	bv_doc_id__55_d44e71170
Sache	bv_doc_id__55_d44e71172
<g/>
,	
wenn	bv_doc_id__55_d44e71176
ein	bv_doc_id__55_d44e71179
Land	bv_doc_id__55_d44e71181
gezwungen	bv_doc_id__55_d44e71183
wäre	bv_doc_id__55_d44e71185
<g/>
,	
Massenausgaben	bv_doc_id__55_d44e71189
auf	bv_doc_id__55_d44e71192
diesem	bv_doc_id__55_d44e71194
Wege	bv_doc_id__55_d44e71196
zu	bv_doc_id__55_d44e71198
beschaffen	bv_doc_id__55_d44e71200
<g/>
,	
dann	bv_doc_id__55_d44e71205
würde	bv_doc_id__55_d44e71207
die	bv_doc_id__55_d44e71209
Situation	bv_doc_id__55_d44e71211
ganz	bv_doc_id__55_d44e71213
anders	bv_doc_id__55_d44e71215
ausschauen	bv_doc_id__55_d44e71218
<g/>
.	
Das	bv_doc_id__55_d44e71222
öfterreichische	bv_doc_id__55_d44e71224
Pabiergeld	bv_doc_id__55_d44e71226
ist	bv_doc_id__55_d44e71228
kein	bv_doc_id__55_d44e71231
Muster	bv_doc_id__55_d44e71233
an	bv_doc_id__55_d44e71235
Wertbeständigkeit	bv_doc_id__55_d44e71237
und	bv_doc_id__55_d44e71239
dennoch	bv_doc_id__55_d44e71241
glaube	bv_doc_id__55_d44e71244
ich	bv_doc_id__55_d44e71246
<g/>
,	
daß	bv_doc_id__55_d44e71250
noch	bv_doc_id__55_d44e71252
immer	bv_doc_id__55_d44e71254
der	bv_doc_id__55_d44e71257
Kurs	bv_doc_id__55_d44e71259
eines	bv_doc_id__55_d44e71261
österreichischen	bv_doc_id__55_d44e71263
Papiergeldes	bv_doc_id__55_d44e71265
sich	bv_doc_id__55_d44e71267
günftiger	bv_doc_id__55_d44e71270
hält	bv_doc_id__55_d44e71272
als	bv_doc_id__55_d44e71274
der	bv_doc_id__55_d44e71276
des	bv_doc_id__55_d44e71278
Geldes	bv_doc_id__55_d44e71280
einzelner	bv_doc_id__55_d44e71283
Länder	bv_doc_id__55_d44e71285
bei	bv_doc_id__55_d44e71287
Ausgabe	bv_doc_id__55_d44e71289
im	bv_doc_id__55_d44e71291
großen	bv_doc_id__55_d44e71293
Stil	bv_doc_id__55_d44e71296
<g/>
.	
Ich	bv_doc_id__55_d44e71300
halte	bv_doc_id__55_d44e71302
es	bv_doc_id__55_d44e71304
für	bv_doc_id__55_d44e71306
ungemein	bv_doc_id__55_d44e71309
wichtig	bv_doc_id__55_d44e71311
<g/>
,	
daß	bv_doc_id__55_d44e71315
auf	bv_doc_id__55_d44e71317
diesen	bv_doc_id__55_d44e71319
Gesichtspunkt	bv_doc_id__55_d44e71322
Rücksicht	bv_doc_id__55_d44e71324
genommen	bv_doc_id__55_d44e71326
<g/>
.	
wird	bv_doc_id__55_d44e71330
<g/>
,	
daß	bv_doc_id__55_d44e71335
nicht	bv_doc_id__55_d44e71337
einseitig	bv_doc_id__55_d44e71339
die	bv_doc_id__55_d44e71341
Steuerbedeckung	bv_doc_id__55_d44e71343
des	bv_doc_id__55_d44e71345
Bundes	bv_doc_id__55_d44e71348
und	bv_doc_id__55_d44e71350
damit	bv_doc_id__55_d44e71352
der	bv_doc_id__55_d44e71354
österreichischen	bv_doc_id__55_d44e71356
Staatsnote	bv_doc_id__55_d44e71358
wir	bv_doc_id__55_d44e71361
haben	bv_doc_id__55_d44e71363
ja	bv_doc_id__55_d44e71365
feine	bv_doc_id__55_d44e71367
Danf-	bv_doc_id__55_d44e71369
<g/>
,	
sondern	bv_doc_id__55_d44e71374
eine	bv_doc_id__55_d44e71376
Staatsnote	bv_doc_id__55_d44e71378
—	bv_doc_id__55_d44e71380
dadurch	bv_doc_id__55_d44e71382
herabgefetzt	bv_doc_id__55_d44e71384
wird	bv_doc_id__55_d44e71387
<g/>
,	
daß	bv_doc_id__55_d44e71391
eine	bv_doc_id__55_d44e71393
verhältnismäßzig	bv_doc_id__55_d44e71395
zu	bv_doc_id__55_d44e71397
günftige	bv_doc_id__55_d44e71400
Steuerbedeckung	bv_doc_id__55_d44e71402
der	bv_doc_id__55_d44e71404
den	bv_doc_id__55_d44e71406
Ländern	bv_doc_id__55_d44e71408
zu	bv_doc_id__55_d44e71410
überweisenden	bv_doc_id__55_d44e71413
Ausgaben	bv_doc_id__55_d44e71415
erfolat	bv_doc_id__55_d44e71417
<g/>
.	
Ich	bv_doc_id__55_d44e71421
habe	bv_doc_id__55_d44e71423
versucht	bv_doc_id__55_d44e71426
<g/>
,	
mir	bv_doc_id__55_d44e71430
<g/>
,	
während	bv_doc_id__55_d44e71434
Herr	bv_doc_id__55_d44e71436
Dr	bv_doc_id__55_d44e71439
<g/>
.	
Steinwender	bv_doc_id__55_d44e71443
eine	bv_doc_id__55_d44e71445
letzten	bv_doc_id__55_d44e71447
Vorschläge	bv_doc_id__55_d44e71449
gemacht	bv_doc_id__55_d44e71452
hat	bv_doc_id__55_d44e71454
<g/>
,	
ihre	bv_doc_id__55_d44e71458
Wirkung	bv_doc_id__55_d44e71460
ziffermäßig	bv_doc_id__55_d44e71462
zusammenzustellen	bv_doc_id__55_d44e71465
und	bv_doc_id__55_d44e71467
bitte	bv_doc_id__55_d44e71469
<g/>
,	
selbst	bv_doc_id__55_d44e71473
bei	bv_doc_id__55_d44e71475
diesem	bv_doc_id__55_d44e71478
gewiß	bv_doc_id__55_d44e71480
nicht	bv_doc_id__55_d44e71482
übermäßigen	bv_doc_id__55_d44e71484
Steuerüberweisungsprogramm	bv_doc_id__55_d44e71486
mit	bv_doc_id__55_d44e71488
Realsteuern	bv_doc_id__55_d44e71491
150	bv_doc_id__55_d44e71493
Millionen	bv_doc_id__55_d44e71495
<g/>
,	
Mobiliargebühren	bv_doc_id__55_d44e71499
52	bv_doc_id__55_d44e71501
Millionen	bv_doc_id__55_d44e71504
<g/>
,	
halber	bv_doc_id__55_d44e71508
Erwerbsteuer	bv_doc_id__55_d44e71510
67	bv_doc_id__55_d44e71512
Millionen	bv_doc_id__55_d44e71514
<g/>
,	
halben	bv_doc_id__55_d44e71519
Getränfefteuern	bv_doc_id__55_d44e71521
182-7	bv_doc_id__55_d44e71523
Millionen	bv_doc_id__55_d44e71525
Kronen	bv_doc_id__55_d44e71527
—	bv_doc_id__55_d44e71530
ich	bv_doc_id__55_d44e71532
rechne	bv_doc_id__55_d44e71534
einschließlich	bv_doc_id__55_d44e71536
der	bv_doc_id__55_d44e71538
Erhöhung	bv_doc_id__55_d44e71540
—	bv_doc_id__55_d44e71543
würden	bv_doc_id__55_d44e71545
sich	bv_doc_id__55_d44e71547
452	bv_doc_id__55_d44e71549
Millionen	bv_doc_id__55_d44e71551
Kronen	bv_doc_id__55_d44e71553
überwiesene	bv_doc_id__55_d44e71556
Steuern	bv_doc_id__55_d44e71558
an	bv_doc_id__55_d44e71560
die	bv_doc_id__55_d44e71562
Länder	bv_doc_id__55_d44e71564
ergeben	bv_doc_id__55_d44e71566
<g/>
.	
Das	bv_doc_id__55_d44e71571
ist	bv_doc_id__55_d44e71573
schon	bv_doc_id__55_d44e71575
ein	bv_doc_id__55_d44e71577
ganz	bv_doc_id__55_d44e71579
anderes	bv_doc_id__55_d44e71582
Verhältnis	bv_doc_id__55_d44e71584
als	bv_doc_id__55_d44e71586
dasjenige	bv_doc_id__55_d44e71588
<g/>
,	
in	bv_doc_id__55_d44e71592
dem	bv_doc_id__55_d44e71595
der	bv_doc_id__55_d44e71597
Staat	bv_doc_id__55_d44e71599
feine	bv_doc_id__55_d44e71601
Ausgaben	bv_doc_id__55_d44e71603
durch	bv_doc_id__55_d44e71605
Steuern	bv_doc_id__55_d44e71608
deckt	bv_doc_id__55_d44e71610
<g/>
.	
Denn	bv_doc_id__55_d44e71614
wenn	bv_doc_id__55_d44e71616
die	bv_doc_id__55_d44e71618
neuen	bv_doc_id__55_d44e71621
Ausgaben	bv_doc_id__55_d44e71623
ganz	bv_doc_id__55_d44e71625
in	bv_doc_id__55_d44e71627
der	bv_doc_id__55_d44e71629
jetzigen	bv_doc_id__55_d44e71631
Weise	bv_doc_id__55_d44e71634
weiter	bv_doc_id__55_d44e71636
dem	bv_doc_id__55_d44e71638
Bunde	bv_doc_id__55_d44e71640
zur	bv_doc_id__55_d44e71642
Bestreitung	bv_doc_id__55_d44e71644
überlassen	bv_doc_id__55_d44e71647
werden	bv_doc_id__55_d44e71649
<g/>
,	
so	bv_doc_id__55_d44e71653
würden	bv_doc_id__55_d44e71655
an	bv_doc_id__55_d44e71657
Stelle	bv_doc_id__55_d44e71660
der	bv_doc_id__55_d44e71662
700	bv_doc_id__55_d44e71664
Millionen	bv_doc_id__55_d44e71666
bisheriger	bv_doc_id__55_d44e71668
Dotationen	bv_doc_id__55_d44e71670
ufw	bv_doc_id__55_d44e71673
452	bv_doc_id__55_d44e71675
Millionen	bv_doc_id__55_d44e71677
Kronen	bv_doc_id__55_d44e71679
treten	bv_doc_id__55_d44e71681
<g/>
.	
Gs	bv_doc_id__55_d44e71686
würde	bv_doc_id__55_d44e71688
dies	bv_doc_id__55_d44e71690
noch	bv_doc_id__55_d44e71692
immer	bv_doc_id__55_d44e71694
einer	bv_doc_id__55_d44e71696
Steuerdeckung	bv_doc_id__55_d44e71699
von	bv_doc_id__55_d44e71701
etwa	bv_doc_id__55_d44e71703
zwei	bv_doc_id__55_d44e71705
Drittel	bv_doc_id__55_d44e71707
entsprechen	bv_doc_id__55_d44e71709
<g/>
.	
Wenn	bv_doc_id__55_d44e71714
nun	bv_doc_id__55_d44e71716
die	bv_doc_id__55_d44e71718
Lösungsmöglichkeiten	bv_doc_id__55_d44e71720
erörtert	bv_doc_id__55_d44e71722
werden	bv_doc_id__55_d44e71725
sollen	bv_doc_id__55_d44e71727
<g/>
,	
so	bv_doc_id__55_d44e71731
ist	bv_doc_id__55_d44e71733
eigentlich	bv_doc_id__55_d44e71735
eine	bv_doc_id__55_d44e71738
Reihe	bv_doc_id__55_d44e71740
von	bv_doc_id__55_d44e71742
Dingen	bv_doc_id__55_d44e71744
<g/>
,	
die	bv_doc_id__55_d44e71748
ich	bv_doc_id__55_d44e71751
fagen	bv_doc_id__55_d44e71753
wollte	bv_doc_id__55_d44e71755
<g/>
,	
durch	bv_doc_id__55_d44e71759
die	bv_doc_id__55_d44e71761
ausgezeichneten	bv_doc_id__55_d44e71764
Ausführungen	bv_doc_id__55_d44e71766
des	bv_doc_id__55_d44e71768
Herrn	bv_doc_id__55_d44e71770
Landeshauptmannes	bv_doc_id__55_d44e71772
Dr	bv_doc_id__55_d44e71774
<g/>
.	
Gnder	bv_doc_id__55_d44e71779
gegenstandslos	bv_doc_id__55_d44e71781
geworden	bv_doc_id__55_d44e71783
<g/>
.	
Einer	bv_doc_id__55_d44e71787
der	bv_doc_id__55_d44e71790
wichtiaften	bv_doc_id__55_d44e71792
Bünfte	bv_doc_id__55_d44e71794
ift	bv_doc_id__55_d44e71796
zweifellos	bv_doc_id__55_d44e71798
der	bv_doc_id__55_d44e71800
<g/>
,	
daß	bv_doc_id__55_d44e71805
bei	bv_doc_id__55_d44e71807
der	bv_doc_id__55_d44e71809
Auswahl	bv_doc_id__55_d44e71811
und	bv_doc_id__55_d44e71813
der	bv_doc_id__55_d44e71816
Festsetzung	bv_doc_id__55_d44e71818
Ausmaßes	bv_doc_id__55_d44e71820
der	bv_doc_id__55_d44e71822
den	bv_doc_id__55_d44e71824
Ginzelstaaten	bv_doc_id__55_d44e71826
ganz	bv_doc_id__55_d44e71829
oder	bv_doc_id__55_d44e71831
einem	bv_doc_id__55_d44e71833
Teilertrage	bv_doc_id__55_d44e71835
zu	bv_doc_id__55_d44e71837
überlaffenden	bv_doc_id__55_d44e71839
Steuern	bv_doc_id__55_d44e71842
eine	bv_doc_id__55_d44e71844
Relation	bv_doc_id__55_d44e71846
hergeftellt	bv_doc_id__55_d44e71848
werden	bv_doc_id__55_d44e71850
muß	bv_doc_id__55_d44e71852
zu	bv_doc_id__55_d44e71855
den	bv_doc_id__55_d44e71857
Ausgaben	bv_doc_id__55_d44e71859
und	bv_doc_id__55_d44e71861
diese	bv_doc_id__55_d44e71863
Relation	bv_doc_id__55_d44e71865
ist	bv_doc_id__55_d44e71868
zweifellos	bv_doc_id__55_d44e71870
nicht	bv_doc_id__55_d44e71872
herzustellen	bv_doc_id__55_d44e71874
<g/>
,	
bevor	bv_doc_id__55_d44e71878
nicht	bv_doc_id__55_d44e71881
der	bv_doc_id__55_d44e71883
Entwurf	bv_doc_id__55_d44e71885
der	bv_doc_id__55_d44e71887
Verfassung	bv_doc_id__55_d44e71889
fertiggestellt	bv_doc_id__55_d44e71891
ift	bv_doc_id__55_d44e71894
und	bv_doc_id__55_d44e71896
im	bv_doc_id__55_d44e71898
Zusammenhange	bv_doc_id__55_d44e71900
mit	bv_doc_id__55_d44e71902
diesem	bv_doc_id__55_d44e71904
nicht	bv_doc_id__55_d44e71907
ganz	bv_doc_id__55_d44e71909
flar	bv_doc_id__55_d44e71911
geftellt	bv_doc_id__55_d44e71913
ift	bv_doc_id__55_d44e71915
<g/>
,	
welche	bv_doc_id__55_d44e71920
Auslagen	bv_doc_id__55_d44e71922
die	bv_doc_id__55_d44e71924
Länder	bv_doc_id__55_d44e71926
zu	bv_doc_id__55_d44e71928
tragen	bv_doc_id__55_d44e71930
haben	bv_doc_id__55_d44e71933
<g/>
.	
Gs	bv_doc_id__55_d44e71937
ift	bv_doc_id__55_d44e71939
heute	bv_doc_id__55_d44e71941
in	bv_doc_id__55_d44e71943
Diskussion	bv_doc_id__55_d44e71946
gestanden	bv_doc_id__55_d44e71948
<g/>
.	
Übernahme	bv_doc_id__55_d44e71952
der	bv_doc_id__55_d44e71954
Volksschule	bv_doc_id__55_d44e71956
<g/>
,	
die	bv_doc_id__55_d44e71961
Übernahme	bv_doc_id__55_d44e71963
der	bv_doc_id__55_d44e71965
Volksschule	bv_doc_id__55_d44e71970
durch	bv_doc_id__55_d44e71972
den	bv_doc_id__55_d44e71974
Bundesstaat	bv_doc_id__55_d44e71976
aus	bv_doc_id__55_d44e71978
Anlaßz	bv_doc_id__55_d44e71981
der	bv_doc_id__55_d44e71983
Töderalisierung	bv_doc_id__55_d44e71985
<g/>
.	
Ich	bv_doc_id__55_d44e71989
habe	bv_doc_id__55_d44e71991
keine	bv_doc_id__55_d44e71994
Daten	bv_doc_id__55_d44e71996
<g/>
,	
aber	bv_doc_id__55_d44e72000
ich	bv_doc_id__55_d44e72002
glaube	bv_doc_id__55_d44e72004
<g/>
,	
die	bv_doc_id__55_d44e72009
übernahme	bv_doc_id__55_d44e72011
des	bv_doc_id__55_d44e72013
Perfonalaufwandes	bv_doc_id__55_d44e72015
der	bv_doc_id__55_d44e72017
Volksschule	bv_doc_id__55_d44e72020
<g/>
,	
soweit	bv_doc_id__55_d44e72024
ihn	bv_doc_id__55_d44e72026
der	bv_doc_id__55_d44e72028
Staat	bv_doc_id__55_d44e72030
nicht	bv_doc_id__55_d44e72033
jetzt	bv_doc_id__55_d44e72035
schon	bv_doc_id__55_d44e72037
trägt	bv_doc_id__55_d44e72039
<g/>
,	
dürfte	bv_doc_id__55_d44e72043
350	bv_doc_id__55_d44e72046
Millionen	bv_doc_id__55_d44e72048
betragen	bv_doc_id__55_d44e72050
<g/>
.	
G8	bv_doc_id__55_d44e72054
ist	bv_doc_id__55_d44e72056
auch	bv_doc_id__55_d44e72059
in	bv_doc_id__55_d44e72061
Diskussion	bv_doc_id__55_d44e72063
gestanden	bv_doc_id__55_d44e72065
die	bv_doc_id__55_d44e72067
Gendarmerie	bv_doc_id__55_d44e72069
und	bv_doc_id__55_d44e72072
eine	bv_doc_id__55_d44e72074
ganze	bv_doc_id__55_d44e72076
Reihe	bv_doc_id__55_d44e72078
wichtiger	bv_doc_id__55_d44e72080
Auslagen	bv_doc_id__55_d44e72082
<g/>
,	
so	bv_doc_id__55_d44e72087
daß	bv_doc_id__55_d44e72089
es	bv_doc_id__55_d44e72091
unmöglich	bv_doc_id__55_d44e72093
ist	bv_doc_id__55_d44e72095
<g/>
,	
heute	bv_doc_id__55_d44e72100
schon	bv_doc_id__55_d44e72102
