<doc id="bv_doc_id__40" attrs="word lemma type">
Pretokel1	bv_doc_id__40_d30e240
"	bv_doc_id__40_d30e1517
über	bv_doc_id__40_d30e1520
kunsch	bv_doc_id__40_d30e1522
des	bv_doc_id__40_d30e1524
Staatsantes	bv_doc_id__40_d30e1526
fur	bv_doc_id__40_d30e1528
Justiz	bv_doc_id__40_d30e1530
aufgenommen	bv_doc_id__40_d30e1533
wurde	bv_doc_id__40_d30e1535
<g/>
,	
da	bv_doc_id__40_d30e1539
bei	bv_doc_id__40_d30e1541
diesen	bv_doc_id__40_d30e1543
Angelegenheiten	bv_doc_id__40_d30e1546
zweifel	bv_doc_id__40_d30e1548
eatstehen	bv_doc_id__40_d30e1550
könnten	bv_doc_id__40_d30e1552
<g/>
.	
In	bv_doc_id__40_d30e1556
der	bv_doc_id__40_d30e1559
folgenden	bv_doc_id__40_d30e1561
Wechselrede	bv_doc_id__40_d30e1563
findet	bv_doc_id__40_d30e1565
der	bv_doc_id__40_d30e1567
Versitzende	bv_doc_id__40_d30e1569
nach	bv_doc_id__40_d30e1572
einer	bv_doc_id__40_d30e1574
Erläuterung	bv_doc_id__40_d30e1576
Pref	bv_doc_id__40_d30e1578
<g/>
.	
Dr	bv_doc_id__40_d30e1582
<g/>
.	
kel	bv_doc_id__40_d30e1587
s	bv_doc_id__40_d30e1589
eas	bv_doc_id__40_d30e1591
<g/>
,	
daes	bv_doc_id__40_d30e1595
die	bv_doc_id__40_d30e1598
Ausdrucke	bv_doc_id__40_d30e1600
nicht	bv_doc_id__40_d30e1602
glücklich	bv_doc_id__40_d30e1604
gewählt	bv_doc_id__40_d30e1606
seien	bv_doc_id__40_d30e1608
<g/>
.	
Der	bv_doc_id__40_d30e1613
Berechlerstatter	bv_doc_id__40_d30e1615
findet	bv_doc_id__40_d30e1617
die	bv_doc_id__40_d30e1619
Aufzählung	bv_doc_id__40_d30e1621
bedenklich	bv_doc_id__40_d30e1624
<g/>
.	
Abgeordaeter	bv_doc_id__40_d30e1628
Fiak	bv_doc_id__40_d30e1630
erblickt	bv_doc_id__40_d30e1632
in	bv_doc_id__40_d30e1634
dieser	bv_doc_id__40_d30e1637
Bestimmung	bv_doc_id__40_d30e1639
aur	bv_doc_id__40_d30e1641
die	bv_doc_id__40_d30e1643
lex	bv_doc_id__40_d30e1645
Starzjaski	bv_doc_id__40_d30e1647
der	bv_doc_id__40_d30e1650
alten	bv_doc_id__40_d30e1652
Verfassung	bv_doc_id__40_d30e1654
<g/>
,	
eine	bv_doc_id__40_d30e1658
Errungenschaft	bv_doc_id__40_d30e1660
<g/>
,	
die	bv_doc_id__40_d30e1665
man	bv_doc_id__40_d30e1667
den	bv_doc_id__40_d30e1669
Ländern	bv_doc_id__40_d30e1671
irgendme	bv_doc_id__40_d30e1673
sichern	bv_doc_id__40_d30e1676
musste	bv_doc_id__40_d30e1678
<g/>
.	
Staatssekretär	bv_doc_id__40_d30e1682
Dr	bv_doc_id__40_d30e1684
<g/>
.	
Ma	bv_doc_id__40_d30e1689
yr	bv_doc_id__40_d30e1691
erklärt	bv_doc_id__40_d30e1693
<g/>
,	
keinen	bv_doc_id__40_d30e1697
Nert	bv_doc_id__40_d30e1699
<g/>
.	
634	bv_doc_id__40_d30e1708
4	bv_doc_id__40_d30e1712
Bestimmuaf	bv_doc_id__40_d30e1714
aur	bv_doc_id__40_d30e1716
die	bv_doc_id__40_d30e1719
lex	bv_doc_id__40_d30e1721
Starzfaski	bv_doc_id__40_d30e1723
der	bv_doc_id__40_d30e1725
alten	bv_doc_id__40_d30e1727
Verfassung	bv_doc_id__40_d30e1729
<g/>
,	
eine	bv_doc_id__40_d30e1734
Errungenschaft	bv_doc_id__40_d30e1736
<g/>
,	
die	bv_doc_id__40_d30e1740
man	bv_doc_id__40_d30e1742
den	bv_doc_id__40_d30e1745
Ländern	bv_doc_id__40_d30e1747
irgendwie	bv_doc_id__40_d30e1749
sichern	bv_doc_id__40_d30e1751
müßte	bv_doc_id__40_d30e1753
<g/>
.	
Staatssekretär	bv_doc_id__40_d30e1758
Dr	bv_doc_id__40_d30e1760
<g/>
.	
Wayr	bv_doc_id__40_d30e1764
erklärt	bv_doc_id__40_d30e1766
keinen	bv_doc_id__40_d30e1768
Wert	bv_doc_id__40_d30e1771
auf	bv_doc_id__40_d30e1773
die	bv_doc_id__40_d30e1775
Beibehaltung	bv_doc_id__40_d30e1777
der	bv_doc_id__40_d30e1779
Aufzählung	bv_doc_id__40_d30e1781
zu	bv_doc_id__40_d30e1784
legen	bv_doc_id__40_d30e1786
und	bv_doc_id__40_d30e1788
Dr	bv_doc_id__40_d30e1790
<g/>
.	
Seipel	bv_doc_id__40_d30e1794
schlägt	bv_doc_id__40_d30e1797
ver	bv_doc_id__40_d30e1799
<g/>
,	
den	bv_doc_id__40_d30e1803
Kunsch	bv_doc_id__40_d30e1805
des	bv_doc_id__40_d30e1807
erwähnten	bv_doc_id__40_d30e1810
Stastsantes	bv_doc_id__40_d30e1812
zu	bv_doc_id__40_d30e1814
Refriedigen	bv_doc_id__40_d30e1816
<g/>
,	
indem	bv_doc_id__40_d30e1820
man	bv_doc_id__40_d30e1823
die	bv_doc_id__40_d30e1825
Aufzählung	bv_doc_id__40_d30e1827
in	bv_doc_id__40_d30e1829
den	bv_doc_id__40_d30e1831
Motivenbericht	bv_doc_id__40_d30e1833
aufnimmt	bv_doc_id__40_d30e1836
<g/>
.	
Der	bv_doc_id__40_d30e1840
Schlußsatz	bv_doc_id__40_d30e1842
des	bv_doc_id__40_d30e1844
Abr	bv_doc_id__40_d30e1846
<g/>
.	
5	bv_doc_id__40_d30e1851
ist	bv_doc_id__40_d30e1853
schin	bv_doc_id__40_d30e1855
von	bv_doc_id__40_d30e1857
»insbescaderebis	bv_doc_id__40_d30e1859
<g/>
-	
Agrargeneinschaftenn	bv_doc_id__40_d30e1864
zu	bv_doc_id__40_d30e1866
streichen	bv_doc_id__40_d30e1868
<g/>
.	
fur	bv_doc_id__40_d30e1872
den	bv_doc_id__40_d30e1875
letzten	bv_doc_id__40_d30e1877
Absatz	bv_doc_id__40_d30e1879
sind	bv_doc_id__40_d30e1881
zwei	bv_doc_id__40_d30e1883
Passungen	bv_doc_id__40_d30e1885
beantragt	bv_doc_id__40_d30e1888
<g/>
:	
„Im	bv_doc_id__40_d30e1892
Zweifel	bv_doc_id__40_d30e1894
geht	bv_doc_id__40_d30e1896
Buadesrecht	bv_doc_id__40_d30e1898
vor	bv_doc_id__40_d30e1901
Landesrecht-	bv_doc_id__40_d30e1903
und	bv_doc_id__40_d30e1905
„Bundesrecht	bv_doc_id__40_d30e1907
bricht	bv_doc_id__40_d30e1909
kandesrecht	bv_doc_id__40_d30e1911
<g/>
.	
"	bv_doc_id__40_d30e1916
Professer	bv_doc_id__40_d30e1918
Kelsen	bv_doc_id__40_d30e1920
findet	bv_doc_id__40_d30e1922
die	bv_doc_id__40_d30e1924
Worte	bv_doc_id__40_d30e1927
»Im	bv_doc_id__40_d30e1929
Zweifelin	bv_doc_id__40_d30e1931
der	bv_doc_id__40_d30e1933
ersten	bv_doc_id__40_d30e1935
Fassung	bv_doc_id__40_d30e1937
unrichtig	bv_doc_id__40_d30e1940
und	bv_doc_id__40_d30e1942
hält	bv_doc_id__40_d30e1944
es	bv_doc_id__40_d30e1946
ebeüse	bv_doc_id__40_d30e1948
wie	bv_doc_id__40_d30e1950
der	bv_doc_id__40_d30e1953
Berichterstatter	bv_doc_id__40_d30e1955
fur	bv_doc_id__40_d30e1957
besser	bv_doc_id__40_d30e1959
die	bv_doc_id__40_d30e1961
ganze	bv_doc_id__40_d30e1963
Bestimmung	bv_doc_id__40_d30e1966
wegzulassen	bv_doc_id__40_d30e1968
<g/>
.	
Der	bv_doc_id__40_d30e1972
Vorsitzende	bv_doc_id__40_d30e1974
verweist	bv_doc_id__40_d30e1976
auf	bv_doc_id__40_d30e1979
mögliche	bv_doc_id__40_d30e1981
Schwierigkeiten	bv_doc_id__40_d30e1983
<g/>
,	
wenn	bv_doc_id__40_d30e1987
man	bv_doc_id__40_d30e1989
nur	bv_doc_id__40_d30e1992
den	bv_doc_id__40_d30e1994
Grundsetz	bv_doc_id__40_d30e1996
gelten	bv_doc_id__40_d30e1998
läßt	bv_doc_id__40_d30e2000
lex	bv_doc_id__40_d30e2002
posterior	bv_doc_id__40_d30e2005
derogat	bv_doc_id__40_d30e2007
prieri	bv_doc_id__40_d30e2009
<g/>
;	
es	bv_doc_id__40_d30e2013
konnte	bv_doc_id__40_d30e2015
der	bv_doc_id__40_d30e2018
Fall	bv_doc_id__40_d30e2020
eintreten	bv_doc_id__40_d30e2022
<g/>
,	
daß	bv_doc_id__40_d30e2026
Bund	bv_doc_id__40_d30e2028
und	bv_doc_id__40_d30e2031
Land	bv_doc_id__40_d30e2033
fortwahrend	bv_doc_id__40_d30e2035
neue	bv_doc_id__40_d30e2037
Gesetze	bv_doc_id__40_d30e2039
geben	bv_doc_id__40_d30e2041
um	bv_doc_id__40_d30e2044
stets	bv_doc_id__40_d30e2046
die	bv_doc_id__40_d30e2048
lex	bv_doc_id__40_d30e2050
posterier	bv_doc_id__40_d30e2052
zu	bv_doc_id__40_d30e2054
haben	bv_doc_id__40_d30e2057
<g/>
;	
die	bv_doc_id__40_d30e2061
Frage	bv_doc_id__40_d30e2063
sei	bv_doc_id__40_d30e2065
schon	bv_doc_id__40_d30e2067
im	bv_doc_id__40_d30e2070
alten	bv_doc_id__40_d30e2072
Oesterreich	bv_doc_id__40_d30e2074
kontrevers	bv_doc_id__40_d30e2076
gewesen	bv_doc_id__40_d30e2078
<g/>
.	
Kels	bv_doc_id__40_d30e2083
en	bv_doc_id__40_d30e2085
erwähnt	bv_doc_id__40_d30e2087
<g/>
,	
daß	bv_doc_id__40_d30e2091
dort	bv_doc_id__40_d30e2093
nach	bv_doc_id__40_d30e2096
herrschender	bv_doc_id__40_d30e2098
Ansicht	bv_doc_id__40_d30e2100
der	bv_doc_id__40_d30e2102
Grundsatz	bv_doc_id__40_d30e2104
der	bv_doc_id__40_d30e2106
lex	bv_doc_id__40_d30e2109
posterior	bv_doc_id__40_d30e2111
anzuwenden	bv_doc_id__40_d30e2113
war	bv_doc_id__40_d30e2115
<g/>
,	
sodaß	bv_doc_id__40_d30e2119
die	bv_doc_id__40_d30e2122
Monarchie	bv_doc_id__40_d30e2124
freier	bv_doc_id__40_d30e2126
als	bv_doc_id__40_d30e2128
der	bv_doc_id__40_d30e2130
Bundesstaat	bv_doc_id__40_d30e2132
gewesen	bv_doc_id__40_d30e2135
sei	bv_doc_id__40_d30e2137
<g/>
.	
Der	bv_doc_id__40_d30e2141
Setz	bv_doc_id__40_d30e2143
sei	bv_doc_id__40_d30e2145
entbehrlich	bv_doc_id__40_d30e2148
<g/>
,	
da	bv_doc_id__40_d30e2152
ja	bv_doc_id__40_d30e2154
ein	bv_doc_id__40_d30e2156
Gerichtahef	bv_doc_id__40_d30e2158
für	bv_doc_id__40_d30e2161
solche	bv_doc_id__40_d30e2163
Streitfälle	bv_doc_id__40_d30e2165
vorgesehen	bv_doc_id__40_d30e2167
sei	bv_doc_id__40_d30e2169
<g/>
,	
sodaß	bv_doc_id__40_d30e2174
der	bv_doc_id__40_d30e2176
Grundsatz	bv_doc_id__40_d30e2178
-Reichsrecht	bv_doc_id__40_d30e2180
bricht	bv_doc_id__40_d30e2182
landesrechte	bv_doc_id__40_d30e2184
durch	bv_doc_id__40_d30e2187
gerichtliche	bv_doc_id__40_d30e2189
Garantie	bv_doc_id__40_d30e2191
gesichert	bv_doc_id__40_d30e2193
sei	bv_doc_id__40_d30e2195
<g/>
.	
Der	bv_doc_id__40_d30e2200
Versitzende	bv_doc_id__40_d30e2202
lehat	bv_doc_id__40_d30e2204
die	bv_doc_id__40_d30e2206
Streichung	bv_doc_id__40_d30e2208
ab	bv_doc_id__40_d30e2210
<g/>
,	
weil	bv_doc_id__40_d30e2215
nicht	bv_doc_id__40_d30e2217
nur	bv_doc_id__40_d30e2219
reale	bv_doc_id__40_d30e2221
<g/>
,	
sondern	bv_doc_id__40_d30e2226
auch	bv_doc_id__40_d30e2228
ideale	bv_doc_id__40_d30e2230
konkurrierende	bv_doc_id__40_d30e2232
Kompetenz	bv_doc_id__40_d30e2234
besteht	bv_doc_id__40_d30e2236
<g/>
.	
So	bv_doc_id__40_d30e2241
konnte	bv_doc_id__40_d30e2243
zum	bv_doc_id__40_d30e2245
Beispiel	bv_doc_id__40_d30e2247
das	bv_doc_id__40_d30e2249
Bundesparlament	bv_doc_id__40_d30e2252
in	bv_doc_id__40_d30e2254
einem	bv_doc_id__40_d30e2256
großzugigen	bv_doc_id__40_d30e2258
Bodenreformgesetz	bv_doc_id__40_d30e2260
unter	bv_doc_id__40_d30e2262
anderem	bv_doc_id__40_d30e2265
auch	bv_doc_id__40_d30e2267
Bestimmungen	bv_doc_id__40_d30e2269
über	bv_doc_id__40_d30e2271
Kommassatioa	bv_doc_id__40_d30e2273
treffen	bv_doc_id__40_d30e2275
<g/>
:	
daraufhin	bv_doc_id__40_d30e2280
konne	bv_doc_id__40_d30e2282
ein	bv_doc_id__40_d30e2284
Landtag	bv_doc_id__40_d30e2286
die	bv_doc_id__40_d30e2288
bundesrechtlichen	bv_doc_id__40_d30e2291
Bestimmungen	bv_doc_id__40_d30e2293
über	bv_doc_id__40_d30e2295
Kommessatica	bv_doc_id__40_d30e2297
<g/>
,	
chae	bv_doc_id__40_d30e2301
daß	bv_doc_id__40_d30e2304
der	bv_doc_id__40_d30e2306
Verfassuagsgerichtshof	bv_doc_id__40_d30e2308
dagegen	bv_doc_id__40_d30e2310
einschreiten	bv_doc_id__40_d30e2312
konnte	bv_doc_id__40_d30e2314
<g/>
,	
weil	bv_doc_id__40_d30e2319
ein	bv_doc_id__40_d30e2321
Ge-	bv_doc_id__40_d30e2323
640	bv_doc_id__40_d30e2328
5	bv_doc_id__40_d30e2332
setz	bv_doc_id__40_d30e2337
mangelt	bv_doc_id__40_d30e2339
<g/>
.	
denzufelge	bv_doc_id__40_d30e2343
Kindesrecht	bv_doc_id__40_d30e2345
den	bv_doc_id__40_d30e2348
landesrecht	bv_doc_id__40_d30e2350
vorgeht	bv_doc_id__40_d30e2352
<g/>
.	
dr	bv_doc_id__40_d30e2356
<g/>
.	
Sei	bv_doc_id__40_d30e2361
pel	bv_doc_id__40_d30e2363
lehnt	bv_doc_id__40_d30e2365
die	bv_doc_id__40_d30e2367
Ruknehme	bv_doc_id__40_d30e2369
eines	bv_doc_id__40_d30e2371
solchen	bv_doc_id__40_d30e2374
Satzes	bv_doc_id__40_d30e2376
aus	bv_doc_id__40_d30e2378
politisch	bv_doc_id__40_d30e2380
taktischen	bv_doc_id__40_d30e2382
Gründen	bv_doc_id__40_d30e2384
ab	bv_doc_id__40_d30e2387
<g/>
,	
während	bv_doc_id__40_d30e2391
Aogeerdoster	bv_doc_id__40_d30e2393
Abr	bv_doc_id__40_d30e2395
am	bv_doc_id__40_d30e2397
einen	bv_doc_id__40_d30e2400
solchen	bv_doc_id__40_d30e2402
Fingerzeig	bv_doc_id__40_d30e2404
für	bv_doc_id__40_d30e2406
die	bv_doc_id__40_d30e2408
Länder	bv_doc_id__40_d30e2410
für	bv_doc_id__40_d30e2413
munschensnert	bv_doc_id__40_d30e2415
erachtet	bv_doc_id__40_d30e2417
<g/>
,	
Professer	bv_doc_id__40_d30e2421
Dr	bv_doc_id__40_d30e2423
<g/>
.	
Kelsen	bv_doc_id__40_d30e2428
hält	bv_doc_id__40_d30e2430
eine	bv_doc_id__40_d30e2432
Abgrenzung	bv_doc_id__40_d30e2434
enne	bv_doc_id__40_d30e2436
ergänzende	bv_doc_id__40_d30e2439
Judikatur	bv_doc_id__40_d30e2441
des	bv_doc_id__40_d30e2443
Verfassungsgerichtshefes	bv_doc_id__40_d30e2445
fur	bv_doc_id__40_d30e2447
unmöglich	bv_doc_id__40_d30e2449
<g/>
.	
Ueber	bv_doc_id__40_d30e2454
Antrag	bv_doc_id__40_d30e2456
des	bv_doc_id__40_d30e2458
Versitzenden	bv_doc_id__40_d30e2460
wird	bv_doc_id__40_d30e2462
dieser	bv_doc_id__40_d30e2465
Absatz	bv_doc_id__40_d30e2467
zunächst	bv_doc_id__40_d30e2469
zuruckgestellt	bv_doc_id__40_d30e2471
und	bv_doc_id__40_d30e2473
die	bv_doc_id__40_d30e2475
Finrerhung	bv_doc_id__40_d30e2478
ernes	bv_doc_id__40_d30e2480
entsprechenden	bv_doc_id__40_d30e2482
Petres	bv_doc_id__40_d30e2484
in	bv_doc_id__40_d30e2486
die	bv_doc_id__40_d30e2488
Verfassung	bv_doc_id__40_d30e2491
einer	bv_doc_id__40_d30e2493
späteren	bv_doc_id__40_d30e2495
Sitzung	bv_doc_id__40_d30e2497
verbenalten	bv_doc_id__40_d30e2499
<g/>
.	
in	bv_doc_id__40_d30e2504
weiteren	bv_doc_id__40_d30e2506
Verleuf	bv_doc_id__40_d30e2508
der	bv_doc_id__40_d30e2510
Beratungen	bv_doc_id__40_d30e2512
über	bv_doc_id__40_d30e2514
das	bv_doc_id__40_d30e2517
Vererdnungsrecht	bv_doc_id__40_d30e2519
<g/>
,	
an	bv_doc_id__40_d30e2523
der	bv_doc_id__40_d30e2525
sich	bv_doc_id__40_d30e2527
Stestssekretär	bv_doc_id__40_d30e2530
dr	bv_doc_id__40_d30e2532
<g/>
.	
Mayr	bv_doc_id__40_d30e2536
<g/>
.	
Dr	bv_doc_id__40_d30e2540
<g/>
.	
Denneberg	bv_doc_id__40_d30e2545
<g/>
.	
Dr	bv_doc_id__40_d30e2549
<g/>
.	
Seipel	bv_doc_id__40_d30e2553
<g/>
,	
Ministerialrst	bv_doc_id__40_d30e2558
dr	bv_doc_id__40_d30e2560
<g/>
.	
Frrehlich	bv_doc_id__40_d30e2564
und	bv_doc_id__40_d30e2566
Professer	bv_doc_id__40_d30e2569
br	bv_doc_id__40_d30e2571
<g/>
.	
felsen	bv_doc_id__40_d30e2575
beteiligen	bv_doc_id__40_d30e2577
<g/>
.	
wird	bv_doc_id__40_d30e2582
über	bv_doc_id__40_d30e2584
Antrag	bv_doc_id__40_d30e2586
des	bv_doc_id__40_d30e2588
Berichterstatters	bv_doc_id__40_d30e2590
die	bv_doc_id__40_d30e2592
Astinnung	bv_doc_id__40_d30e2595
über	bv_doc_id__40_d30e2597
Absatz	bv_doc_id__40_d30e2599
z	bv_doc_id__40_d30e2601
des	bv_doc_id__40_d30e2603
Artifels	bv_doc_id__40_d30e2605
Il	bv_doc_id__40_d30e2608
resssumert	bv_doc_id__40_d30e2610
<g/>
;	
während	bv_doc_id__40_d30e2614
dieser	bv_doc_id__40_d30e2616
Absatz	bv_doc_id__40_d30e2618
früher	bv_doc_id__40_d30e2621
abgelehnt	bv_doc_id__40_d30e2623
werden	bv_doc_id__40_d30e2625
wer	bv_doc_id__40_d30e2627
und	bv_doc_id__40_d30e2629
ein	bv_doc_id__40_d30e2631
Mincritätsvctun	bv_doc_id__40_d30e2634
dr	bv_doc_id__40_d30e2636
<g/>
.	
Danneber	bv_doc_id__40_d30e2640
8s	bv_doc_id__40_d30e2642
angemeldet	bv_doc_id__40_d30e2644
war	bv_doc_id__40_d30e2647
<g/>
,	
wird	bv_doc_id__40_d30e2651
er	bv_doc_id__40_d30e2653
nunnehr	bv_doc_id__40_d30e2655
in	bv_doc_id__40_d30e2657
der	bv_doc_id__40_d30e2660
Fassung	bv_doc_id__40_d30e2662
Die	bv_doc_id__40_d30e2664
Durchführungsverordnungen	bv_doc_id__40_d30e2666
zu	bv_doc_id__40_d30e2668
den	bv_doc_id__40_d30e2670
nach	bv_doc_id__40_d30e2673
dem	bv_doc_id__40_d30e2675
ersten	bv_doc_id__40_d30e2677
Ansatz	bv_doc_id__40_d30e2679
ergewenden	bv_doc_id__40_d30e2681
Gesetzen	bv_doc_id__40_d30e2683
sind	bv_doc_id__40_d30e2686
<g/>
,	
somert	bv_doc_id__40_d30e2690
in	bv_doc_id__40_d30e2692
diesen	bv_doc_id__40_d30e2694
Gesetzen	bv_doc_id__40_d30e2696
nichts	bv_doc_id__40_d30e2699
anderes	bv_doc_id__40_d30e2701
bestinnt	bv_doc_id__40_d30e2703
ist	bv_doc_id__40_d30e2705
<g/>
,	
vom	bv_doc_id__40_d30e2709
funde	bv_doc_id__40_d30e2712
zu	bv_doc_id__40_d30e2714
erlassen-	bv_doc_id__40_d30e2716
angenommen	bv_doc_id__40_d30e2718
<g/>
.	
wogegen	bv_doc_id__40_d30e2722
von	bv_doc_id__40_d30e2725
den	bv_doc_id__40_d30e2727
christlichsczielen	bv_doc_id__40_d30e2729
Uitgliedern	bv_doc_id__40_d30e2731
ein	bv_doc_id__40_d30e2733
Mrocritätsvctum	bv_doc_id__40_d30e2735
angemeldet	bv_doc_id__40_d30e2738
wird	bv_doc_id__40_d30e2740
<g/>
.	
Auch	bv_doc_id__40_d30e2744
Asatz	bv_doc_id__40_d30e2746
4	bv_doc_id__40_d30e2748
des	bv_doc_id__40_d30e2751
Art.	bv_doc_id__40_d30e2753
15	bv_doc_id__40_d30e2755
wird	bv_doc_id__40_d30e2757
angenenmen	bv_doc_id__40_d30e2759
<g/>
:	
els	bv_doc_id__40_d30e2764
jenen	bv_doc_id__40_d30e2766
Angelegenherten	bv_doc_id__40_d30e2768
<g/>
,	
die	bv_doc_id__40_d30e2772
noch	bv_doc_id__40_d30e2774
Artikel	bv_doc_id__40_d30e2777
11	bv_doc_id__40_d30e2779
und	bv_doc_id__40_d30e2781
12.	bv_doc_id__40_d30e2783
zur	bv_doc_id__40_d30e2785
Gänze	bv_doc_id__40_d30e2787
oder	bv_doc_id__40_d30e2790
der	bv_doc_id__40_d30e2792
Regelung	bv_doc_id__40_d30e2794
der	bv_doc_id__40_d30e2796
Grundsätze	bv_doc_id__40_d30e2798
nach	bv_doc_id__40_d30e2800
der	bv_doc_id__40_d30e2803
Bundesgesetzgelung	bv_doc_id__40_d30e2805
verbehalten	bv_doc_id__40_d30e2807
sind	bv_doc_id__40_d30e2809
<g/>
,	
steut	bv_doc_id__40_d30e2813
dem	bv_doc_id__40_d30e2816
Bunde	bv_doc_id__40_d30e2818
der	bv_doc_id__40_d30e2820
Fecht	bv_doc_id__40_d30e2822
zur	bv_doc_id__40_d30e2824
die	bv_doc_id__40_d30e2826
Einhaltung	bv_doc_id__40_d30e2829
der	bv_doc_id__40_d30e2831
von	bv_doc_id__40_d30e2833
ihm	bv_doc_id__40_d30e2835
erlassenen	bv_doc_id__40_d30e2837
Verschriften	bv_doc_id__40_d30e2839
wahrzunchnea	bv_doc_id__40_d30e2842
<g/>
.	
Bei	bv_doc_id__40_d30e2846
der	bv_doc_id__40_d30e2848
Feratung	bv_doc_id__40_d30e2850
des	bv_doc_id__40_d30e2852
frt	bv_doc_id__40_d30e2855
<g/>
.	
11	bv_doc_id__40_d30e2859
meint	bv_doc_id__40_d30e2861
Steatssekretär	bv_doc_id__40_d30e2863
Dr	bv_doc_id__40_d30e2865
<g/>
.	
Ks	bv_doc_id__40_d30e2870
y	bv_doc_id__40_d30e2872
F	bv_doc_id__40_d30e2874
<g/>
,	
man	bv_doc_id__40_d30e2878
könne	bv_doc_id__40_d30e2881
As	bv_doc_id__40_d30e2883
<g/>
.	
2	bv_doc_id__40_d30e2887
streichen	bv_doc_id__40_d30e2889
<g/>
,	
da	bv_doc_id__40_d30e2894
der	bv_doc_id__40_d30e2896
Bund	bv_doc_id__40_d30e2898
auch	bv_doc_id__40_d30e2900
ehne	bv_doc_id__40_d30e2902
verfassungsrechtliche	bv_doc_id__40_d30e2904
Ermächtigung	bv_doc_id__40_d30e2907
dazu	bv_doc_id__40_d30e2909
berechtigt	bv_doc_id__40_d30e2911
sei	bv_doc_id__40_d30e2913
<g/>
,	
Mährend	bv_doc_id__40_d30e2917
lr	bv_doc_id__40_d30e2920
<g/>
.	
Dennsberg	bv_doc_id__40_d30e2924
für	bv_doc_id__40_d30e2926
die	bv_doc_id__40_d30e2928
Berbehaltung	bv_doc_id__40_d30e2930
ist	bv_doc_id__40_d30e2933
<g/>
.	
Auch	bv_doc_id__40_d30e2937
641	bv_doc_id__40_d30e2942
6	bv_doc_id__40_d30e2946
1i	bv_doc_id__40_d30e2951
Professer	bv_doc_id__40_d30e2956
Kelsen	bv_doc_id__40_d30e2958
fniet	bv_doc_id__40_d30e2960
in	bv_doc_id__40_d30e2962
Fell	bv_doc_id__40_d30e2964
der	bv_doc_id__40_d30e2967
Streichung	bv_doc_id__40_d30e2969
verschiedene	bv_doc_id__40_d30e2971
Auffassungen	bv_doc_id__40_d30e2973
nöglich	bv_doc_id__40_d30e2975
<g/>
;	
dan	bv_doc_id__40_d30e2980
konnte	bv_doc_id__40_d30e2982
aldenfalls	bv_doc_id__40_d30e2984
vertreten	bv_doc_id__40_d30e2986
<g/>
.	
dass	bv_doc_id__40_d30e2990
Alles	bv_doc_id__40_d30e2993
<g/>
,	
was	bv_doc_id__40_d30e2997
der	bv_doc_id__40_d30e2999
Kundetun	bv_doc_id__40_d30e3001
darf	bv_doc_id__40_d30e3003
<g/>
,	
wenn	bv_doc_id__40_d30e3008
hr	bv_doc_id__40_d30e3010
Kemistenzen	bv_doc_id__40_d30e3012
des	bv_doc_id__40_d30e3014
Bundes	bv_doc_id__40_d30e3016
lekativ	bv_doc_id__40_d30e3019
aufgezähit	bv_doc_id__40_d30e3021
sind	bv_doc_id__40_d30e3023
<g/>
.	
ausdrücklich	bv_doc_id__40_d30e3027
angegeben	bv_doc_id__40_d30e3029
sein	bv_doc_id__40_d30e3032
müsse	bv_doc_id__40_d30e3034
<g/>
.	
sonst	bv_doc_id__40_d30e3038
könne	bv_doc_id__40_d30e3040
ein	bv_doc_id__40_d30e3042
lend	bv_doc_id__40_d30e3045
jede	bv_doc_id__40_d30e3047
privstwirtschaftliche	bv_doc_id__40_d30e3049
Tätigkert	bv_doc_id__40_d30e3051
des	bv_doc_id__40_d30e3053
Bundes	bv_doc_id__40_d30e3055
iegen	bv_doc_id__40_d30e3058
Mangels	bv_doc_id__40_d30e3060
einer	bv_doc_id__40_d30e3062
bezüglichen	bv_doc_id__40_d30e3064
Bestamrung	bv_doc_id__40_d30e3066
in	bv_doc_id__40_d30e3068
der	bv_doc_id__40_d30e3071
Verfassung	bv_doc_id__40_d30e3073
bekämpfen	bv_doc_id__40_d30e3075
<g/>
.	
nach	bv_doc_id__40_d30e3079
längerer	bv_doc_id__40_d30e3081
Nebstie	bv_doc_id__40_d30e3084
<g/>
,	
en	bv_doc_id__40_d30e3088
der	bv_doc_id__40_d30e3090
sich	bv_doc_id__40_d30e3092
der	bv_doc_id__40_d30e3094
Versitzende	bv_doc_id__40_d30e3097
Dr	bv_doc_id__40_d30e3099
<g/>
.	
Seipel	bv_doc_id__40_d30e3103
und	bv_doc_id__40_d30e3105
Sekt	bv_doc_id__40_d30e3107
<g/>
.	
hat	bv_doc_id__40_d30e3112
Dr	bv_doc_id__40_d30e3114
<g/>
.	
Msaalicher	bv_doc_id__40_d30e3118
beteilixen	bv_doc_id__40_d30e3120
<g/>
,	
wird	bv_doc_id__40_d30e3125
der	bv_doc_id__40_d30e3127
fhs	bv_doc_id__40_d30e3129
<g/>
.	
2	bv_doc_id__40_d30e3133
des	bv_doc_id__40_d30e3136
frt	bv_doc_id__40_d30e3138
<g/>
.	
11	bv_doc_id__40_d30e3142
gestrichen	bv_doc_id__40_d30e3144
<g/>
,	
weil	bv_doc_id__40_d30e3149
der	bv_doc_id__40_d30e3151
Innalt	bv_doc_id__40_d30e3153
sonchl	bv_doc_id__40_d30e3155
von	bv_doc_id__40_d30e3157
