<doc id="bv_doc_id__9" attrs="word lemma type">
Zweite	bv_doc_id__9_d57e407
der	bv_doc_id__9_d57e4177
in	bv_doc_id__9_d57e4179
Betracht	bv_doc_id__9_d57e4181
kommenden	bv_doc_id__9_d57e4184
Länder	bv_doc_id__9_d57e4186
zu	bv_doc_id__9_d57e4188
vollziehenden	bv_doc_id__9_d57e4190
Dienstwechsels	bv_doc_id__9_d57e4192
von	bv_doc_id__9_d57e4194
Land	bv_doc_id__9_d57e4197
zu	bv_doc_id__9_d57e4199
Land	bv_doc_id__9_d57e4201
<g/>
.	
<g/>
(	
1	bv_doc_id__9_d57e3655
<g/>
)	
1.	bv_doc_id__9_d57e3686
die	bv_doc_id__9_d57e3691
Organisation	bv_doc_id__9_d57e3693
der	bv_doc_id__9_d57e3695
Verwaltung	bv_doc_id__9_d57e3697
in	bv_doc_id__9_d57e3699
den	bv_doc_id__9_d57e3702
Ländern	bv_doc_id__9_d57e3704
<g/>
;	
2.	bv_doc_id__9_d57e3711
das	bv_doc_id__9_d57e3716
Verhältnis	bv_doc_id__9_d57e3718
zwischen	bv_doc_id__9_d57e3720
Schule	bv_doc_id__9_d57e3722
und	bv_doc_id__9_d57e3724
Kirche	bv_doc_id__9_d57e3727
<g/>
;	
die	bv_doc_id__9_d57e3731
Errichtung	bv_doc_id__9_d57e3733
und	bv_doc_id__9_d57e3735
Erhaltung	bv_doc_id__9_d57e3737
von	bv_doc_id__9_d57e3740
mittleren	bv_doc_id__9_d57e3742
und	bv_doc_id__9_d57e3744
niederen	bv_doc_id__9_d57e3746
Unterrichtsanstalten	bv_doc_id__9_d57e3748
<g/>
;	
den	bv_doc_id__9_d57e3753
Privatunterricht	bv_doc_id__9_d57e3755
und	bv_doc_id__9_d57e3757
das	bv_doc_id__9_d57e3759
Privatschulwesen	bv_doc_id__9_d57e3761
<g/>
;	
das	bv_doc_id__9_d57e3766
Volksbildungswesen	bv_doc_id__9_d57e3768
<g/>
;	
3.	bv_doc_id__9_d57e3775
das	bv_doc_id__9_d57e3781
Armenwesen	bv_doc_id__9_d57e3783
<g/>
;	
die	bv_doc_id__9_d57e3787
Bevölkerungspolitik	bv_doc_id__9_d57e3789
<g/>
;	
die	bv_doc_id__9_d57e3794
Mutterschafts-	bv_doc_id__9_d57e3796
<g/>
,	
Säuglings-	bv_doc_id__9_d57e3800
und	bv_doc_id__9_d57e3802
Jugendfürsorge	bv_doc_id__9_d57e3805
<g/>
:	
das	bv_doc_id__9_d57e3809
Heil-	bv_doc_id__9_d57e3811
und	bv_doc_id__9_d57e3813
Pflegeanstaltenwesen	bv_doc_id__9_d57e3815
einschließlich	bv_doc_id__9_d57e3818
der	bv_doc_id__9_d57e3820
Ambularien	bv_doc_id__9_d57e3822
<g/>
;	
die	bv_doc_id__9_d57e3826
Ausgrabung	bv_doc_id__9_d57e3828
und	bv_doc_id__9_d57e3831
Überführung	bv_doc_id__9_d57e3833
von	bv_doc_id__9_d57e3835
Leichen	bv_doc_id__9_d57e3837
<g/>
;	
4.	bv_doc_id__9_d57e3844
die	bv_doc_id__9_d57e3849
Einrichtungen	bv_doc_id__9_d57e3851
zum	bv_doc_id__9_d57e3853
Schutze	bv_doc_id__9_d57e3855
der	bv_doc_id__9_d57e3857
Gesellschaft	bv_doc_id__9_d57e3860
gegen	bv_doc_id__9_d57e3862
verbrecherische	bv_doc_id__9_d57e3864
<g/>
,	
verwahrloste	bv_doc_id__9_d57e3868
oder	bv_doc_id__9_d57e3870
sonst	bv_doc_id__9_d57e3873
gefährliche	bv_doc_id__9_d57e3875
Personen	bv_doc_id__9_d57e3877
<g/>
,	
wie	bv_doc_id__9_d57e3881
Zwangsarbeits-	bv_doc_id__9_d57e3883
und	bv_doc_id__9_d57e3886
ähnliche	bv_doc_id__9_d57e3888
Anstalten	bv_doc_id__9_d57e3890
<g/>
;	
die	bv_doc_id__9_d57e3894
Abschiebung	bv_doc_id__9_d57e3896
und	bv_doc_id__9_d57e3899
Abschaffung	bv_doc_id__9_d57e3901
aus	bv_doc_id__9_d57e3903
einem	bv_doc_id__9_d57e3905
in	bv_doc_id__9_d57e3907
ein	bv_doc_id__9_d57e3909
anderes	bv_doc_id__9_d57e3912
Land	bv_doc_id__9_d57e3914
<g/>
;	
5.	bv_doc_id__9_d57e3923
die	bv_doc_id__9_d57e3928
öffentlichen	bv_doc_id__9_d57e3930
Einrichtungen	bv_doc_id__9_d57e3932
zur	bv_doc_id__9_d57e3934
außergerichtlichen	bv_doc_id__9_d57e3936
Vermittlung	bv_doc_id__9_d57e3939
von	bv_doc_id__9_d57e3941
Streitigkeiten	bv_doc_id__9_d57e3943
<g/>
;	
6.	bv_doc_id__9_d57e3951
das	bv_doc_id__9_d57e3956
Arbeiterrecht	bv_doc_id__9_d57e3958
und	bv_doc_id__9_d57e3960
den	bv_doc_id__9_d57e3962
Arbeiter-	bv_doc_id__9_d57e3964
und	bv_doc_id__9_d57e3967
Angestelltenschutz	bv_doc_id__9_d57e3969
<g/>
,	
soweit	bv_doc_id__9_d57e3973
es	bv_doc_id__9_d57e3975
sich	bv_doc_id__9_d57e3977
um	bv_doc_id__9_d57e3980
land-	bv_doc_id__9_d57e3982
und	bv_doc_id__9_d57e3984
forstwirtschaftliche	bv_doc_id__9_d57e3986
Arbeiter	bv_doc_id__9_d57e3988
und	bv_doc_id__9_d57e3990
Angestellte	bv_doc_id__9_d57e3993
handelt	bv_doc_id__9_d57e3995
<g/>
;	
7.	bv_doc_id__9_d57e4002
die	bv_doc_id__9_d57e4007
beruflichen	bv_doc_id__9_d57e4009
Vertretungen	bv_doc_id__9_d57e4011
auf	bv_doc_id__9_d57e4013
land-	bv_doc_id__9_d57e4015
und	bv_doc_id__9_d57e4018
forstwirtschaftlichem	bv_doc_id__9_d57e4020
Gebiete	bv_doc_id__9_d57e4022
<g/>
;	
8.	bv_doc_id__9_d57e4029
die	bv_doc_id__9_d57e4034
Bodenreform	bv_doc_id__9_d57e4036
<g/>
(	
agrarische	bv_doc_id__9_d57e4040
Operationen	bv_doc_id__9_d57e4042
<g/>
,	
Wiederbesiedlung	bv_doc_id__9_d57e4047
usw	bv_doc_id__9_d57e4049
<g/>
.)	
und	bv_doc_id__9_d57e4053
die	bv_doc_id__9_d57e4055
Bodenentschuldung	bv_doc_id__9_d57e4058
<g/>
;	
das	bv_doc_id__9_d57e4062
Forstwesen	bv_doc_id__9_d57e4064
einschließlich	bv_doc_id__9_d57e4066
des	bv_doc_id__9_d57e4068
Triftwesens	bv_doc_id__9_d57e4071
<g/>
,	
jedoch	bv_doc_id__9_d57e4075
mit	bv_doc_id__9_d57e4077
Ausnahme	bv_doc_id__9_d57e4079
der	bv_doc_id__9_d57e4081
Forst-	bv_doc_id__9_d57e4084
und	bv_doc_id__9_d57e4086
Weideservituten	bv_doc_id__9_d57e4088
<g/>
;	
den	bv_doc_id__9_d57e4092
Schutz	bv_doc_id__9_d57e4094
der	bv_doc_id__9_d57e4097
Pflanzen	bv_doc_id__9_d57e4099
gegen	bv_doc_id__9_d57e4101
Krankheiten	bv_doc_id__9_d57e4103
und	bv_doc_id__9_d57e4105
Schädlinge	bv_doc_id__9_d57e4107
<g/>
;	
9.	bv_doc_id__9_d57e4116
das	bv_doc_id__9_d57e4121
Dienstrecht	bv_doc_id__9_d57e4123
der	bv_doc_id__9_d57e4125
Lehrpersonen	bv_doc_id__9_d57e4127
an	bv_doc_id__9_d57e4129
mittleren	bv_doc_id__9_d57e4132
Unterrichtsanstalten	bv_doc_id__9_d57e4134
und	bv_doc_id__9_d57e4136
der	bv_doc_id__9_d57e4138
Angestellten	bv_doc_id__9_d57e4140
jener	bv_doc_id__9_d57e4142
Landesbehörden	bv_doc_id__9_d57e4145
<g/>
,	
die	bv_doc_id__9_d57e4149
auch	bv_doc_id__9_d57e4151
Bundesangelegenheiten	bv_doc_id__9_d57e4153
zu	bv_doc_id__9_d57e4155
besorgen	bv_doc_id__9_d57e4158
haben	bv_doc_id__9_d57e4160
<g/>
,	
einschließlich	bv_doc_id__9_d57e4164
der	bv_doc_id__9_d57e4166
Regelung	bv_doc_id__9_d57e4168
des	bv_doc_id__9_d57e4171
im	bv_doc_id__9_d57e4173
Einvernehmen	bv_doc_id__9_d57e4175
der	bv_doc_id__9_d57e4177
in	bv_doc_id__9_d57e4179
Betracht	bv_doc_id__9_d57e4181
kommenden	bv_doc_id__9_d57e4184
Länder	bv_doc_id__9_d57e4186
zu	bv_doc_id__9_d57e4188
vollziehenden	bv_doc_id__9_d57e4190
Dienstwechsels	bv_doc_id__9_d57e4192
von	bv_doc_id__9_d57e4194
Land	bv_doc_id__9_d57e4197
zu	bv_doc_id__9_d57e4199
Land	bv_doc_id__9_d57e4201
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e4214
<g/>
)	
Die	bv_doc_id__9_d57e4219
Entscheidung-	bv_doc_id__9_d57e4221
oberster	bv_doc_id__9_d57e4223
Instanz	bv_doc_id__9_d57e4225
in	bv_doc_id__9_d57e4228
Angelegenheiten	bv_doc_id__9_d57e4230
der	bv_doc_id__9_d57e4232
Bodenreform	bv_doc_id__9_d57e4234
<g/>
(	
erster	bv_doc_id__9_d57e4238
Absatz	bv_doc_id__9_d57e4241
<g/>
,	
Punkt	bv_doc_id__9_d57e4245
8	bv_doc_id__9_d57e4247
<g/>
)	
wird	bv_doc_id__9_d57e4251
einer	bv_doc_id__9_d57e4254
vom	bv_doc_id__9_d57e4256
Bunde	bv_doc_id__9_d57e4258
eingesetzten	bv_doc_id__9_d57e4260
<g/>
,	
aus	bv_doc_id__9_d57e4264
Richtern	bv_doc_id__9_d57e4267
<g/>
,	
Verwaltungsbeamten	bv_doc_id__9_d57e4271
und	bv_doc_id__9_d57e4273
Sachverständigen	bv_doc_id__9_d57e4275
bestehenden	bv_doc_id__9_d57e4277
Kommission	bv_doc_id__9_d57e4280
übertragen	bv_doc_id__9_d57e4282
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e4214
<g/>
)	
Artikel	bv_doc_id__9_d57e4292
13.	bv_doc_id__9_d57e4294
<g/>
(	
1	bv_doc_id__9_d57e4303
<g/>
)	
Wenn	bv_doc_id__9_d57e4308
eine	bv_doc_id__9_d57e4310
Angelegenheit	bv_doc_id__9_d57e4312
nicht	bv_doc_id__9_d57e4314
ausdrücklich	bv_doc_id__9_d57e4317
durch	bv_doc_id__9_d57e4319
die	bv_doc_id__9_d57e4321
Bundesverfassung	bv_doc_id__9_d57e4323
der	bv_doc_id__9_d57e4325
Gesetzgebung	bv_doc_id__9_d57e4327
oder	bv_doc_id__9_d57e4330
auch	bv_doc_id__9_d57e4332
der	bv_doc_id__9_d57e4334
Vollziehung	bv_doc_id__9_d57e4336
des	bv_doc_id__9_d57e4338
Bundes	bv_doc_id__9_d57e4340
übertragen	bv_doc_id__9_d57e4343
ist	bv_doc_id__9_d57e4345
<g/>
,	
verbleibt	bv_doc_id__9_d57e4349
sie	bv_doc_id__9_d57e4351
im	bv_doc_id__9_d57e4353
Wirkungsbereiche	bv_doc_id__9_d57e4356
der	bv_doc_id__9_d57e4358
Länder	bv_doc_id__9_d57e4360
<g/>
.	
Soferne	bv_doc_id__9_d57e4364
jedoch	bv_doc_id__9_d57e4366
in	bv_doc_id__9_d57e4369
solchen	bv_doc_id__9_d57e4371
Angelegenheiten	bv_doc_id__9_d57e4373
ein	bv_doc_id__9_d57e4375
Akt	bv_doc_id__9_d57e4377
der	bv_doc_id__9_d57e4379
vollziehenden	bv_doc_id__9_d57e4382
Gewalt	bv_doc_id__9_d57e4384
für	bv_doc_id__9_d57e4386
mehrere	bv_doc_id__9_d57e4388
Länder	bv_doc_id__9_d57e4390
Rechtswirksamkeit	bv_doc_id__9_d57e4392
äußern	bv_doc_id__9_d57e4395
soll	bv_doc_id__9_d57e4397
<g/>
,	
geht	bv_doc_id__9_d57e4401
die	bv_doc_id__9_d57e4403
Zuständigkeit	bv_doc_id__9_d57e4405
für	bv_doc_id__9_d57e4408
diesen	bv_doc_id__9_d57e4410
Vollzugsakt	bv_doc_id__9_d57e4412
auf	bv_doc_id__9_d57e4414
den	bv_doc_id__9_d57e4416
Bund	bv_doc_id__9_d57e4418
über	bv_doc_id__9_d57e4421
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e4432
<g/>
)	
Insoweit	bv_doc_id__9_d57e4437
der	bv_doc_id__9_d57e4439
Bundesgesetzgebung	bv_doc_id__9_d57e4441
bloß	bv_doc_id__9_d57e4443
die	bv_doc_id__9_d57e4446
Regelung	bv_doc_id__9_d57e4448
der	bv_doc_id__9_d57e4450
Grundzüge	bv_doc_id__9_d57e4452
vorbehalten	bv_doc_id__9_d57e4454
ist	bv_doc_id__9_d57e4456
<g/>
,	
obliegt	bv_doc_id__9_d57e4461
die	bv_doc_id__9_d57e4463
nähere	bv_doc_id__9_d57e4465
Durchführung	bv_doc_id__9_d57e4467
der	bv_doc_id__9_d57e4469
Landesgesetzgebung	bv_doc_id__9_d57e4472
innerhalb	bv_doc_id__9_d57e4474
des	bv_doc_id__9_d57e4476
bundesgesetzlich	bv_doc_id__9_d57e4478
festgelegten	bv_doc_id__9_d57e4480
Rahmens	bv_doc_id__9_d57e4482
<g/>
.	
<g/>
(	
3	bv_doc_id__9_d57e4494
<g/>
)	
Die	bv_doc_id__9_d57e4499
Länder	bv_doc_id__9_d57e4501
sind	bv_doc_id__9_d57e4503
im	bv_doc_id__9_d57e4505
Bereiche	bv_doc_id__9_d57e4508
ihres	bv_doc_id__9_d57e4510
Gesetzgebungsrechtes	bv_doc_id__9_d57e4512
befugt	bv_doc_id__9_d57e4514
<g/>
,	
die	bv_doc_id__9_d57e4518
zur	bv_doc_id__9_d57e4521
Regelung	bv_doc_id__9_d57e4523
des	bv_doc_id__9_d57e4525
Gegenstandes	bv_doc_id__9_d57e4527
erforderlichen	bv_doc_id__9_d57e4529
Bestimmungen	bv_doc_id__9_d57e4531
auch	bv_doc_id__9_d57e4534
auf	bv_doc_id__9_d57e4536
dem	bv_doc_id__9_d57e4538
Gebiete	bv_doc_id__9_d57e4540
des	bv_doc_id__9_d57e4542
Straf-	bv_doc_id__9_d57e4544
und	bv_doc_id__9_d57e4547
Zivilrechtes	bv_doc_id__9_d57e4549
zu	bv_doc_id__9_d57e4551
treffen	bv_doc_id__9_d57e4553
<g/>
.	
Insbesondere	bv_doc_id__9_d57e4557
gilt	bv_doc_id__9_d57e4560
dies	bv_doc_id__9_d57e4562
auch	bv_doc_id__9_d57e4564
für	bv_doc_id__9_d57e4566
die	bv_doc_id__9_d57e4568
Angelegenheiten	bv_doc_id__9_d57e4570
der	bv_doc_id__9_d57e4573
Landeskultur	bv_doc_id__9_d57e4575
<g/>
,	
wie	bv_doc_id__9_d57e4579
Höferecht	bv_doc_id__9_d57e4581
<g/>
,	
Anerbenrecht	bv_doc_id__9_d57e4586
<g/>
,	
Jagd	bv_doc_id__9_d57e4590
<g/>
,	
Fischerei	bv_doc_id__9_d57e4594
<g/>
,	
landwirtschaftliche	bv_doc_id__9_d57e4599
Dienstverträge	bv_doc_id__9_d57e4601
und	bv_doc_id__9_d57e4603
Zusammenlegung	bv_doc_id__9_d57e4605
von	bv_doc_id__9_d57e4607
Grundstücken	bv_doc_id__9_d57e4609
und	bv_doc_id__9_d57e4612
Neuordnung	bv_doc_id__9_d57e4614
der	bv_doc_id__9_d57e4616
Agrargemeinschaften	bv_doc_id__9_d57e4618
<g/>
.	
<g/>
(	
4	bv_doc_id__9_d57e4629
<g/>
)	
Im	bv_doc_id__9_d57e4634
Zweifel	bv_doc_id__9_d57e4636
geht	bv_doc_id__9_d57e4638
Bundesrecht	bv_doc_id__9_d57e4640
vor	bv_doc_id__9_d57e4643
Landesrecht	bv_doc_id__9_d57e4645
<g/>
.	
Artikel	bv_doc_id__9_d57e4292
13.	bv_doc_id__9_d57e4294
<g/>
(	
1	bv_doc_id__9_d57e4303
<g/>
)	
Wenn	bv_doc_id__9_d57e4308
eine	bv_doc_id__9_d57e4310
Angelegenheit	bv_doc_id__9_d57e4312
nicht	bv_doc_id__9_d57e4314
ausdrücklich	bv_doc_id__9_d57e4317
durch	bv_doc_id__9_d57e4319
die	bv_doc_id__9_d57e4321
Bundesverfassung	bv_doc_id__9_d57e4323
der	bv_doc_id__9_d57e4325
Gesetzgebung	bv_doc_id__9_d57e4327
oder	bv_doc_id__9_d57e4330
auch	bv_doc_id__9_d57e4332
der	bv_doc_id__9_d57e4334
Vollziehung	bv_doc_id__9_d57e4336
des	bv_doc_id__9_d57e4338
Bundes	bv_doc_id__9_d57e4340
übertragen	bv_doc_id__9_d57e4343
ist	bv_doc_id__9_d57e4345
<g/>
,	
verbleibt	bv_doc_id__9_d57e4349
sie	bv_doc_id__9_d57e4351
im	bv_doc_id__9_d57e4353
Wirkungsbereiche	bv_doc_id__9_d57e4356
der	bv_doc_id__9_d57e4358
Länder	bv_doc_id__9_d57e4360
<g/>
.	
Soferne	bv_doc_id__9_d57e4364
jedoch	bv_doc_id__9_d57e4366
in	bv_doc_id__9_d57e4369
solchen	bv_doc_id__9_d57e4371
Angelegenheiten	bv_doc_id__9_d57e4373
ein	bv_doc_id__9_d57e4375
Akt	bv_doc_id__9_d57e4377
der	bv_doc_id__9_d57e4379
vollziehenden	bv_doc_id__9_d57e4382
Gewalt	bv_doc_id__9_d57e4384
für	bv_doc_id__9_d57e4386
mehrere	bv_doc_id__9_d57e4388
Länder	bv_doc_id__9_d57e4390
Rechtswirksamkeit	bv_doc_id__9_d57e4392
äußern	bv_doc_id__9_d57e4395
soll	bv_doc_id__9_d57e4397
<g/>
,	
geht	bv_doc_id__9_d57e4401
die	bv_doc_id__9_d57e4403
Zuständigkeit	bv_doc_id__9_d57e4405
für	bv_doc_id__9_d57e4408
diesen	bv_doc_id__9_d57e4410
Vollzugsakt	bv_doc_id__9_d57e4412
auf	bv_doc_id__9_d57e4414
den	bv_doc_id__9_d57e4416
Bund	bv_doc_id__9_d57e4418
über	bv_doc_id__9_d57e4421
<g/>
.	
<g/>
(	
1	bv_doc_id__9_d57e4303
<g/>
)	
<g/>
(	
2	bv_doc_id__9_d57e4432
<g/>
)	
Insoweit	bv_doc_id__9_d57e4437
der	bv_doc_id__9_d57e4439
Bundesgesetzgebung	bv_doc_id__9_d57e4441
bloß	bv_doc_id__9_d57e4443
die	bv_doc_id__9_d57e4446
Regelung	bv_doc_id__9_d57e4448
der	bv_doc_id__9_d57e4450
Grundzüge	bv_doc_id__9_d57e4452
vorbehalten	bv_doc_id__9_d57e4454
ist	bv_doc_id__9_d57e4456
<g/>
,	
obliegt	bv_doc_id__9_d57e4461
die	bv_doc_id__9_d57e4463
nähere	bv_doc_id__9_d57e4465
Durchführung	bv_doc_id__9_d57e4467
der	bv_doc_id__9_d57e4469
Landesgesetzgebung	bv_doc_id__9_d57e4472
innerhalb	bv_doc_id__9_d57e4474
des	bv_doc_id__9_d57e4476
bundesgesetzlich	bv_doc_id__9_d57e4478
festgelegten	bv_doc_id__9_d57e4480
Rahmens	bv_doc_id__9_d57e4482
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e4432
<g/>
)	
<g/>
(	
3	bv_doc_id__9_d57e4494
<g/>
)	
Die	bv_doc_id__9_d57e4499
Länder	bv_doc_id__9_d57e4501
sind	bv_doc_id__9_d57e4503
im	bv_doc_id__9_d57e4505
Bereiche	bv_doc_id__9_d57e4508
ihres	bv_doc_id__9_d57e4510
Gesetzgebungsrechtes	bv_doc_id__9_d57e4512
befugt	bv_doc_id__9_d57e4514
<g/>
,	
die	bv_doc_id__9_d57e4518
zur	bv_doc_id__9_d57e4521
Regelung	bv_doc_id__9_d57e4523
des	bv_doc_id__9_d57e4525
Gegenstandes	bv_doc_id__9_d57e4527
erforderlichen	bv_doc_id__9_d57e4529
Bestimmungen	bv_doc_id__9_d57e4531
auch	bv_doc_id__9_d57e4534
auf	bv_doc_id__9_d57e4536
dem	bv_doc_id__9_d57e4538
Gebiete	bv_doc_id__9_d57e4540
des	bv_doc_id__9_d57e4542
Straf-	bv_doc_id__9_d57e4544
und	bv_doc_id__9_d57e4547
Zivilrechtes	bv_doc_id__9_d57e4549
zu	bv_doc_id__9_d57e4551
treffen	bv_doc_id__9_d57e4553
<g/>
.	
Insbesondere	bv_doc_id__9_d57e4557
gilt	bv_doc_id__9_d57e4560
dies	bv_doc_id__9_d57e4562
auch	bv_doc_id__9_d57e4564
für	bv_doc_id__9_d57e4566
die	bv_doc_id__9_d57e4568
Angelegenheiten	bv_doc_id__9_d57e4570
der	bv_doc_id__9_d57e4573
Landeskultur	bv_doc_id__9_d57e4575
<g/>
,	
wie	bv_doc_id__9_d57e4579
Höferecht	bv_doc_id__9_d57e4581
<g/>
,	
Anerbenrecht	bv_doc_id__9_d57e4586
<g/>
,	
Jagd	bv_doc_id__9_d57e4590
<g/>
,	
Fischerei	bv_doc_id__9_d57e4594
<g/>
,	
landwirtschaftliche	bv_doc_id__9_d57e4599
Dienstverträge	bv_doc_id__9_d57e4601
und	bv_doc_id__9_d57e4603
Zusammenlegung	bv_doc_id__9_d57e4605
von	bv_doc_id__9_d57e4607
Grundstücken	bv_doc_id__9_d57e4609
und	bv_doc_id__9_d57e4612
Neuordnung	bv_doc_id__9_d57e4614
der	bv_doc_id__9_d57e4616
Agrargemeinschaften	bv_doc_id__9_d57e4618
<g/>
.	
<g/>
(	
3	bv_doc_id__9_d57e4494
<g/>
)	
<g/>
(	
4	bv_doc_id__9_d57e4629
<g/>
)	
Im	bv_doc_id__9_d57e4634
Zweifel	bv_doc_id__9_d57e4636
geht	bv_doc_id__9_d57e4638
Bundesrecht	bv_doc_id__9_d57e4640
vor	bv_doc_id__9_d57e4643
Landesrecht	bv_doc_id__9_d57e4645
<g/>
.	
<g/>
(	
4	bv_doc_id__9_d57e4629
<g/>
)	
Artikel	bv_doc_id__9_d57e4655
14.	bv_doc_id__9_d57e4657
<g/>
(	
1	bv_doc_id__9_d57e4666
<g/>
)	
Durch	bv_doc_id__9_d57e4671
die	bv_doc_id__9_d57e4673
Bestimmungen	bv_doc_id__9_d57e4675
der	bv_doc_id__9_d57e4677
Artikel	bv_doc_id__9_d57e4680
10	bv_doc_id__9_d57e4682
bis	bv_doc_id__9_d57e4684
13	bv_doc_id__9_d57e4686
über	bv_doc_id__9_d57e4688
die	bv_doc_id__9_d57e4690
Zuständigkeit	bv_doc_id__9_d57e4693
in	bv_doc_id__9_d57e4695
Gesetzgebung	bv_doc_id__9_d57e4697
und	bv_doc_id__9_d57e4699
Vollziehung	bv_doc_id__9_d57e4701
wird	bv_doc_id__9_d57e4703
die	bv_doc_id__9_d57e4706
Stellung	bv_doc_id__9_d57e4708
des	bv_doc_id__9_d57e4710
Bundes	bv_doc_id__9_d57e4712
als	bv_doc_id__9_d57e4714
Träger	bv_doc_id__9_d57e4716
von	bv_doc_id__9_d57e4719
Privatrechten	bv_doc_id__9_d57e4721
<g/>
(	
Eigentümer	bv_doc_id__9_d57e4725
<g/>
,	
Unternehmer	bv_doc_id__9_d57e4729
<g/>
,	
Pächter	bv_doc_id__9_d57e4734
usw	bv_doc_id__9_d57e4736
<g/>
.)	
in	bv_doc_id__9_d57e4740
keiner	bv_doc_id__9_d57e4742
Weise	bv_doc_id__9_d57e4745
berührt	bv_doc_id__9_d57e4747
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e4760
<g/>
)	
Ebenso	bv_doc_id__9_d57e4765
bleibt	bv_doc_id__9_d57e4767
es	bv_doc_id__9_d57e4769
dem	bv_doc_id__9_d57e4772
Bunde	bv_doc_id__9_d57e4774
auch	bv_doc_id__9_d57e4776
unbenommen	bv_doc_id__9_d57e4778
<g/>
,	
zur	bv_doc_id__9_d57e4782
Förderung	bv_doc_id__9_d57e4785
des	bv_doc_id__9_d57e4787
wirtschaftlichen	bv_doc_id__9_d57e4789
und	bv_doc_id__9_d57e4791
kulturellen	bv_doc_id__9_d57e4793
Lebens	bv_doc_id__9_d57e4795
auf	bv_doc_id__9_d57e4798
allen	bv_doc_id__9_d57e4800
Gebieten	bv_doc_id__9_d57e4802
Unternehmungen	bv_doc_id__9_d57e4804
und	bv_doc_id__9_d57e4806
Einrichtungen	bv_doc_id__9_d57e4808
zu	bv_doc_id__9_d57e4811
schaffen	bv_doc_id__9_d57e4813
und	bv_doc_id__9_d57e4815
zu	bv_doc_id__9_d57e4817
erhalten	bv_doc_id__9_d57e4819
<g/>
,	
Veranstaltungen	bv_doc_id__9_d57e4824
zu	bv_doc_id__9_d57e4826
treffen	bv_doc_id__9_d57e4828
und	bv_doc_id__9_d57e4830
finanzielle	bv_doc_id__9_d57e4832
Mittel	bv_doc_id__9_d57e4834
zur	bv_doc_id__9_d57e4837
Verfügung	bv_doc_id__9_d57e4839
zu	bv_doc_id__9_d57e4841
stellen	bv_doc_id__9_d57e4843
<g/>
.	
<g/>
(	
3	bv_doc_id__9_d57e4854
<g/>
)	
Der	bv_doc_id__9_d57e4859
Bund	bv_doc_id__9_d57e4861
kann	bv_doc_id__9_d57e4863
in	bv_doc_id__9_d57e4865
allen	bv_doc_id__9_d57e4868
diesen	bv_doc_id__9_d57e4870
Rechtsbeziehungen	bv_doc_id__9_d57e4872
durch	bv_doc_id__9_d57e4874
die	bv_doc_id__9_d57e4876
Landesgesetzgebung	bv_doc_id__9_d57e4878
niemals	bv_doc_id__9_d57e4881
ungünstiger	bv_doc_id__9_d57e4883
gestellt	bv_doc_id__9_d57e4885
werden	bv_doc_id__9_d57e4887
als	bv_doc_id__9_d57e4889
das	bv_doc_id__9_d57e4891
betreffende	bv_doc_id__9_d57e4894
Land	bv_doc_id__9_d57e4896
selbst	bv_doc_id__9_d57e4898
<g/>
.	
Artikel	bv_doc_id__9_d57e4655
14.	bv_doc_id__9_d57e4657
<g/>
(	
1	bv_doc_id__9_d57e4666
<g/>
)	
Durch	bv_doc_id__9_d57e4671
die	bv_doc_id__9_d57e4673
Bestimmungen	bv_doc_id__9_d57e4675
der	bv_doc_id__9_d57e4677
Artikel	bv_doc_id__9_d57e4680
10	bv_doc_id__9_d57e4682
bis	bv_doc_id__9_d57e4684
13	bv_doc_id__9_d57e4686
über	bv_doc_id__9_d57e4688
die	bv_doc_id__9_d57e4690
Zuständigkeit	bv_doc_id__9_d57e4693
in	bv_doc_id__9_d57e4695
Gesetzgebung	bv_doc_id__9_d57e4697
und	bv_doc_id__9_d57e4699
Vollziehung	bv_doc_id__9_d57e4701
wird	bv_doc_id__9_d57e4703
die	bv_doc_id__9_d57e4706
Stellung	bv_doc_id__9_d57e4708
des	bv_doc_id__9_d57e4710
Bundes	bv_doc_id__9_d57e4712
als	bv_doc_id__9_d57e4714
Träger	bv_doc_id__9_d57e4716
von	bv_doc_id__9_d57e4719
Privatrechten	bv_doc_id__9_d57e4721
<g/>
(	
Eigentümer	bv_doc_id__9_d57e4725
<g/>
,	
Unternehmer	bv_doc_id__9_d57e4729
<g/>
,	
Pächter	bv_doc_id__9_d57e4734
usw	bv_doc_id__9_d57e4736
<g/>
.)	
in	bv_doc_id__9_d57e4740
keiner	bv_doc_id__9_d57e4742
Weise	bv_doc_id__9_d57e4745
berührt	bv_doc_id__9_d57e4747
<g/>
.	
<g/>
(	
1	bv_doc_id__9_d57e4666
<g/>
)	
<g/>
(	
2	bv_doc_id__9_d57e4760
<g/>
)	
Ebenso	bv_doc_id__9_d57e4765
bleibt	bv_doc_id__9_d57e4767
es	bv_doc_id__9_d57e4769
dem	bv_doc_id__9_d57e4772
Bunde	bv_doc_id__9_d57e4774
auch	bv_doc_id__9_d57e4776
unbenommen	bv_doc_id__9_d57e4778
<g/>
,	
zur	bv_doc_id__9_d57e4782
