<doc id="bv_doc_id__68" attrs="word lemma type">
Vorentwurf	bv_doc_id__68_d52e312
Rechtes	bv_doc_id__68_d52e5699
zu	bv_doc_id__68_d52e5701
verleihen	bv_doc_id__68_d52e5703
<g/>
.	
Als	bv_doc_id__68_d52e5708
solche	bv_doc_id__68_d52e5710
ist	bv_doc_id__68_d52e5712
sie	bv_doc_id__68_d52e5714
berechtigt	bv_doc_id__68_d52e5716
<g/>
,	
von	bv_doc_id__68_d52e5721
ihren	bv_doc_id__68_d52e5723
Anhängern	bv_doc_id__68_d52e5725
Steuern	bv_doc_id__68_d52e5727
zu	bv_doc_id__68_d52e5729
erheben	bv_doc_id__68_d52e5732
<g/>
.	
Hinsichtlich	bv_doc_id__68_d52e5736
ihrer	bv_doc_id__68_d52e5738
Vermögens=	bv_doc_id__68_d52e5740
und	bv_doc_id__68_d52e5742
Erwerbsfähigkeit	bv_doc_id__68_d52e5745
stehen	bv_doc_id__68_d52e5747
die	bv_doc_id__68_d52e5749
Religionsgesellschaften	bv_doc_id__68_d52e5751
den	bv_doc_id__68_d52e5753
weltlichen	bv_doc_id__68_d52e5755
Gesellschaften	bv_doc_id__68_d52e5758
gleich	bv_doc_id__68_d52e5760
Sonntage	bv_doc_id__68_d52e5762
und	bv_doc_id__68_d52e5764
staatlich	bv_doc_id__68_d52e5766
anerkannte	bv_doc_id__68_d52e5768
Feiertage	bv_doc_id__68_d52e5771
bleiben	bv_doc_id__68_d52e5773
Tage	bv_doc_id__68_d52e5775
der	bv_doc_id__68_d52e5777
Arbeitsruhe	bv_doc_id__68_d52e5779
<g/>
.	
Art.	bv_doc_id__68_d52e5789
25.	bv_doc_id__68_d52e5791
Die	bv_doc_id__68_d52e5796
staatsbürgerlichen	bv_doc_id__68_d52e5798
Rechte	bv_doc_id__68_d52e5800
werden	bv_doc_id__68_d52e5802
durch	bv_doc_id__68_d52e5804
das	bv_doc_id__68_d52e5807
religiöse	bv_doc_id__68_d52e5809
Bekenntnis	bv_doc_id__68_d52e5811
weder	bv_doc_id__68_d52e5813
bedingt	bv_doc_id__68_d52e5815
noch	bv_doc_id__68_d52e5817
beschränkt	bv_doc_id__68_d52e5820
<g/>
;	
den	bv_doc_id__68_d52e5824
staatsbürgerlichen	bv_doc_id__68_d52e5826
Pflichten	bv_doc_id__68_d52e5828
darf	bv_doc_id__68_d52e5830
es	bv_doc_id__68_d52e5833
keinen	bv_doc_id__68_d52e5835
Abbruch	bv_doc_id__68_d52e5837
tun	bv_doc_id__68_d52e5839
<g/>
.	
Niemand	bv_doc_id__68_d52e5843
darf	bv_doc_id__68_d52e5846
zu	bv_doc_id__68_d52e5848
einer	bv_doc_id__68_d52e5850
religiösen	bv_doc_id__68_d52e5852
Handlung	bv_doc_id__68_d52e5854
<g/>
,	
Feierlichkeit	bv_doc_id__68_d52e5859
oder	bv_doc_id__68_d52e5861
Übung	bv_doc_id__68_d52e5863
gezwungen	bv_doc_id__68_d52e5865
werden	bv_doc_id__68_d52e5867
<g/>
.	
Das	bv_doc_id__68_d52e5872
religiöse	bv_doc_id__68_d52e5874
Bekenntnis	bv_doc_id__68_d52e5876
der	bv_doc_id__68_d52e5878
Kinder	bv_doc_id__68_d52e5880
unter	bv_doc_id__68_d52e5882
14	bv_doc_id__68_d52e5885
Jahren	bv_doc_id__68_d52e5887
bestimmt	bv_doc_id__68_d52e5889
<g/>
,	
wer	bv_doc_id__68_d52e5893
die	bv_doc_id__68_d52e5895
väterliche	bv_doc_id__68_d52e5898
Gewalt	bv_doc_id__68_d52e5900
ausübt	bv_doc_id__68_d52e5902
Die	bv_doc_id__68_d52e5904
Teilnahme	bv_doc_id__68_d52e5906
schulpflichtiger	bv_doc_id__68_d52e5908
Kinder	bv_doc_id__68_d52e5911
<g/>
,	
die	bv_doc_id__68_d52e5915
einer	bv_doc_id__68_d52e5917
religiösen	bv_doc_id__68_d52e5919
Gesellschaft	bv_doc_id__68_d52e5921
angehören	bv_doc_id__68_d52e5924
<g/>
,	
an	bv_doc_id__68_d52e5928
religiösen	bv_doc_id__68_d52e5930
Unterrichtsfächern	bv_doc_id__68_d52e5932
<g/>
,	
Feiern	bv_doc_id__68_d52e5937
und	bv_doc_id__68_d52e5939
Handlungen	bv_doc_id__68_d52e5941
<g/>
,	
wird	bv_doc_id__68_d52e5945
durch	bv_doc_id__68_d52e5947
die	bv_doc_id__68_d52e5950
Schulgesetze	bv_doc_id__68_d52e5952
geregelt	bv_doc_id__68_d52e5954
<g/>
.	
<g/>
-	
6	bv_doc_id__68_d52e5963
<g/>
-	
Das	bv_doc_id__68_d52e5971
Recht	bv_doc_id__68_d52e5973
auf	bv_doc_id__68_d52e5975
Unterricht	bv_doc_id__68_d52e5977
<g/>
.	
Art.	bv_doc_id__68_d52e5988
26.	bv_doc_id__68_d52e5990
Die	bv_doc_id__68_d52e5995
Kunst	bv_doc_id__68_d52e5997
<g/>
,	
die	bv_doc_id__68_d52e6001
Wissenschaft	bv_doc_id__68_d52e6003
und	bv_doc_id__68_d52e6006
ihre	bv_doc_id__68_d52e6008
Lehre	bv_doc_id__68_d52e6010
sind	bv_doc_id__68_d52e6012
frei	bv_doc_id__68_d52e6014
<g/>
.	
Art.	bv_doc_id__68_d52e6025
27.	bv_doc_id__68_d52e6027
Jeder	bv_doc_id__68_d52e6032
Staatsbürger	bv_doc_id__68_d52e6034
hat	bv_doc_id__68_d52e6036
nach	bv_doc_id__68_d52e6038
Maßgabe	bv_doc_id__68_d52e6040
der	bv_doc_id__68_d52e6043
Gesetze	bv_doc_id__68_d52e6045
Anspruch	bv_doc_id__68_d52e6047
<g/>
,	
daß	bv_doc_id__68_d52e6051
durch	bv_doc_id__68_d52e6053
Schulbildung	bv_doc_id__68_d52e6056
seine	bv_doc_id__68_d52e6058
geistigen	bv_doc_id__68_d52e6060
Kräfte	bv_doc_id__68_d52e6062
entwickelt	bv_doc_id__68_d52e6064
werden	bv_doc_id__68_d52e6066
<g/>
.	
Es	bv_doc_id__68_d52e6071
besteht	bv_doc_id__68_d52e6073
allgemeine	bv_doc_id__68_d52e6075
Schulpflicht	bv_doc_id__68_d52e6077
für	bv_doc_id__68_d52e6079
Volksschulen	bv_doc_id__68_d52e6082
in	bv_doc_id__68_d52e6084
der	bv_doc_id__68_d52e6086
Dauer	bv_doc_id__68_d52e6088
von	bv_doc_id__68_d52e6090
mindestens	bv_doc_id__68_d52e6092
8	bv_doc_id__68_d52e6095
Jahren	bv_doc_id__68_d52e6097
<g/>
,	
für	bv_doc_id__68_d52e6101
Fortbildungsschulen	bv_doc_id__68_d52e6103
bis	bv_doc_id__68_d52e6105
zum	bv_doc_id__68_d52e6108
vollendeten	bv_doc_id__68_d52e6110
18.	bv_doc_id__68_d52e6112
Lebensjahre	bv_doc_id__68_d52e6114
<g/>
.	
Die	bv_doc_id__68_d52e6118
Erfüllung	bv_doc_id__68_d52e6121
der	bv_doc_id__68_d52e6123
Schulpflicht	bv_doc_id__68_d52e6125
erfolgt	bv_doc_id__68_d52e6127
grundsätzlich	bv_doc_id__68_d52e6129
in	bv_doc_id__68_d52e6131
öffentlichen	bv_doc_id__68_d52e6134
Volks=	bv_doc_id__68_d52e6136
und	bv_doc_id__68_d52e6138
Fortbildungsschulen	bv_doc_id__68_d52e6140
<g/>
.	
Privatschulcen	bv_doc_id__68_d52e6144
können	bv_doc_id__68_d52e6147
nur	bv_doc_id__68_d52e6149
auf	bv_doc_id__68_d52e6151
Grund	bv_doc_id__68_d52e6153
einer	bv_doc_id__68_d52e6155
Bewilligung	bv_doc_id__68_d52e6157
der	bv_doc_id__68_d52e6160
Länder	bv_doc_id__68_d52e6162
errichtet	bv_doc_id__68_d52e6164
werden	bv_doc_id__68_d52e6166
<g/>
,	
wenn	bv_doc_id__68_d52e6170
sie	bv_doc_id__68_d52e6173
den	bv_doc_id__68_d52e6175
Bedingungen	bv_doc_id__68_d52e6177
der	bv_doc_id__68_d52e6179
öffentlichen	bv_doc_id__68_d52e6181
Schulen	bv_doc_id__68_d52e6183
entsprechen	bv_doc_id__68_d52e6186
<g/>
.	
Der	bv_doc_id__68_d52e6190
Unterricht	bv_doc_id__68_d52e6192
an	bv_doc_id__68_d52e6194
öffentlichen	bv_doc_id__68_d52e6196
Volks-	bv_doc_id__68_d52e6199
und	bv_doc_id__68_d52e6201
Fortbildungsschulen	bv_doc_id__68_d52e6203
ist	bv_doc_id__68_d52e6205
unentgeltlich	bv_doc_id__68_d52e6207
<g/>
.	
Art.	bv_doc_id__68_d52e6217
28.	bv_doc_id__68_d52e6219
Die	bv_doc_id__68_d52e6224
Gesetzgebung	bv_doc_id__68_d52e6226
und	bv_doc_id__68_d52e6228
Verwaltung	bv_doc_id__68_d52e6230
der	bv_doc_id__68_d52e6232
Volks-	bv_doc_id__68_d52e6235
<g/>
,	
Mittel=	bv_doc_id__68_d52e6239
und	bv_doc_id__68_d52e6241
Hochschulen	bv_doc_id__68_d52e6243
steht	bv_doc_id__68_d52e6245
dem	bv_doc_id__68_d52e6248
Bunde	bv_doc_id__68_d52e6250
zu	bv_doc_id__68_d52e6252
<g/>
.	
Für	bv_doc_id__68_d52e6256
den	bv_doc_id__68_d52e6258
Besuch	bv_doc_id__68_d52e6261
höherer	bv_doc_id__68_d52e6263
Schulen	bv_doc_id__68_d52e6265
durch	bv_doc_id__68_d52e6267
Minderbemittelte	bv_doc_id__68_d52e6269
sind	bv_doc_id__68_d52e6271
Erziehungsbeihilfen	bv_doc_id__68_d52e6274
aus	bv_doc_id__68_d52e6276
öffentlichen	bv_doc_id__68_d52e6278
Mitteln	bv_doc_id__68_d52e6280
beizustellen	bv_doc_id__68_d52e6282
<g/>
.	
Art.	bv_doc_id__68_d52e6292
29.	bv_doc_id__68_d52e6294
In	bv_doc_id__68_d52e6299
allen	bv_doc_id__68_d52e6301
Schulen	bv_doc_id__68_d52e6303
ist	bv_doc_id__68_d52e6305
sittliche	bv_doc_id__68_d52e6307
Bildung	bv_doc_id__68_d52e6310
<g/>
,	
staatsbürgerliche	bv_doc_id__68_d52e6314
Gesinnung	bv_doc_id__68_d52e6316
<g/>
,	
persönliche	bv_doc_id__68_d52e6320
und	bv_doc_id__68_d52e6323
berufliche	bv_doc_id__68_d52e6325
Tüchtigkeit	bv_doc_id__68_d52e6327
zu	bv_doc_id__68_d52e6329
erstreben	bv_doc_id__68_d52e6331
<g/>
.	
Der	bv_doc_id__68_d52e6336
Religionsunterricht	bv_doc_id__68_d52e6338
ist	bv_doc_id__68_d52e6340
ordentliches	bv_doc_id__68_d52e6342
Lehrfach	bv_doc_id__68_d52e6344
<g/>
.	
Einführung	bv_doc_id__68_d52e6349
und	bv_doc_id__68_d52e6351
Dauer	bv_doc_id__68_d52e6353
werden	bv_doc_id__68_d52e6355
durch	bv_doc_id__68_d52e6357
ein	bv_doc_id__68_d52e6359
besonderes	bv_doc_id__68_d52e6362
Gesetz	bv_doc_id__68_d52e6364
bestimmt	bv_doc_id__68_d52e6366
<g/>
.	
Er	bv_doc_id__68_d52e6370
wird	bv_doc_id__68_d52e6372
in	bv_doc_id__68_d52e6375
Übereinstimmung	bv_doc_id__68_d52e6377
mit	bv_doc_id__68_d52e6379
den	bv_doc_id__68_d52e6381
Grundsätzen	bv_doc_id__68_d52e6383
der	bv_doc_id__68_d52e6385
betreffenden	bv_doc_id__68_d52e6388
Religionsgesellschaft	bv_doc_id__68_d52e6390
<g/>
,	
jedoch	bv_doc_id__68_d52e6394
unter	bv_doc_id__68_d52e6396
Aufsicht	bv_doc_id__68_d52e6398
des	bv_doc_id__68_d52e6401
Staates	bv_doc_id__68_d52e6403
erteilt	bv_doc_id__68_d52e6405
<g/>
.	
Art.	bv_doc_id__68_d52e6415
30.	bv_doc_id__68_d52e6417
Die	bv_doc_id__68_d52e6424
Ehe	bv_doc_id__68_d52e6426
<g/>
.	
Die	bv_doc_id__68_d52e6431
Ehe	bv_doc_id__68_d52e6433
steht	bv_doc_id__68_d52e6435
als	bv_doc_id__68_d52e6437
Grundlage	bv_doc_id__68_d52e6440
des	bv_doc_id__68_d52e6442
Familienlebens	bv_doc_id__68_d52e6444
unter	bv_doc_id__68_d52e6446
dem	bv_doc_id__68_d52e6448
Schutze	bv_doc_id__68_d52e6450
der	bv_doc_id__68_d52e6453
Verfassung	bv_doc_id__68_d52e6455
Nur	bv_doc_id__68_d52e6457
die	bv_doc_id__68_d52e6459
Einehe	bv_doc_id__68_d52e6461
ist	bv_doc_id__68_d52e6463
gesetzlich	bv_doc_id__68_d52e6466
zulässig	bv_doc_id__68_d52e6468
<g/>
.	
Zur	bv_doc_id__68_d52e6472
bürgerlichen	bv_doc_id__68_d52e6474
Gültigkeit	bv_doc_id__68_d52e6476
der	bv_doc_id__68_d52e6479
Ehe	bv_doc_id__68_d52e6481
ist	bv_doc_id__68_d52e6483
die	bv_doc_id__68_d52e6485
Eheschließung	bv_doc_id__68_d52e6487
vor	bv_doc_id__68_d52e6489
dem	bv_doc_id__68_d52e6492
staatlichen	bv_doc_id__68_d52e6494
Organ	bv_doc_id__68_d52e6496
erforderlich	bv_doc_id__68_d52e6498
<g/>
.	
Es	bv_doc_id__68_d52e6502
steht	bv_doc_id__68_d52e6505
jedem	bv_doc_id__68_d52e6507
frei	bv_doc_id__68_d52e6509
<g/>
,	
neben	bv_doc_id__68_d52e6513
der	bv_doc_id__68_d52e6515
Ziviltrauung	bv_doc_id__68_d52e6518
entsprechend	bv_doc_id__68_d52e6520
den	bv_doc_id__68_d52e6522
Vorschriften	bv_doc_id__68_d52e6524
seiner	bv_doc_id__68_d52e6526
Religionsgesellschaft	bv_doc_id__68_d52e6528
die	bv_doc_id__68_d52e6531
religiöse	bv_doc_id__68_d52e6533
Trauung	bv_doc_id__68_d52e6535
vornehmen	bv_doc_id__68_d52e6537
zu	bv_doc_id__68_d52e6539
lassen	bv_doc_id__68_d52e6541
<g/>
.	
Art.	bv_doc_id__68_d52e6552
31.	bv_doc_id__68_d52e6554
Der	bv_doc_id__68_d52e6561
Schutz	bv_doc_id__68_d52e6563
der	bv_doc_id__68_d52e6565
Kinder	bv_doc_id__68_d52e6567
<g/>
.	
Der	bv_doc_id__68_d52e6572
Schutz	bv_doc_id__68_d52e6574
der	bv_doc_id__68_d52e6576
Mutterschaft	bv_doc_id__68_d52e6578
und	bv_doc_id__68_d52e6581
die	bv_doc_id__68_d52e6583
Fürsorge	bv_doc_id__68_d52e6585
für	bv_doc_id__68_d52e6587
kinderreiche	bv_doc_id__68_d52e6589
Familien	bv_doc_id__68_d52e6591
ist	bv_doc_id__68_d52e6594
durch	bv_doc_id__68_d52e6596
besondere	bv_doc_id__68_d52e6598
Gesetze	bv_doc_id__68_d52e6600
zu	bv_doc_id__68_d52e6602
regeln	bv_doc_id__68_d52e6604
<g/>
.	
Die	bv_doc_id__68_d52e6609
Erziehung	bv_doc_id__68_d52e6611
der	bv_doc_id__68_d52e6613
Kinder	bv_doc_id__68_d52e6615
zur	bv_doc_id__68_d52e6617
leiblichen	bv_doc_id__68_d52e6620
<g/>
,	
seelischen	bv_doc_id__68_d52e6624
und	bv_doc_id__68_d52e6626
gesellschaftlichen	bv_doc_id__68_d52e6628
Tüchtigkeit	bv_doc_id__68_d52e6630
ist	bv_doc_id__68_d52e6633
Pflicht	bv_doc_id__68_d52e6635
und	bv_doc_id__68_d52e6637
Recht	bv_doc_id__68_d52e6639
der	bv_doc_id__68_d52e6641
Eltern	bv_doc_id__68_d52e6643
<g/>
.	
Inwieweit	bv_doc_id__68_d52e6648
Eltern	bv_doc_id__68_d52e6650
und	bv_doc_id__68_d52e6652
ihre	bv_doc_id__68_d52e6654
Stellvertreter	bv_doc_id__68_d52e6656
zur	bv_doc_id__68_d52e6659
Einhaltung	bv_doc_id__68_d52e6661
ihrer	bv_doc_id__68_d52e6663
Pflichten	bv_doc_id__68_d52e6665
zu	bv_doc_id__68_d52e6667
zwingen	bv_doc_id__68_d52e6669
sind	bv_doc_id__68_d52e6672
<g/>
,	
inwieweit	bv_doc_id__68_d52e6676
die	bv_doc_id__68_d52e6678
Fürsorgeerziehung	bv_doc_id__68_d52e6680
der	bv_doc_id__68_d52e6682
Gesamtheit	bv_doc_id__68_d52e6685
einzutreten	bv_doc_id__68_d52e6687
hat	bv_doc_id__68_d52e6689
<g/>
,	
ist	bv_doc_id__68_d52e6693
durch	bv_doc_id__68_d52e6695
besonderes	bv_doc_id__68_d52e6698
Gesetz	bv_doc_id__68_d52e6700
festzustellen	bv_doc_id__68_d52e6702
<g/>
.	
Wirtschaftliche	bv_doc_id__68_d52e6708
Rechte	bv_doc_id__68_d52e6710
<g/>
.	
Art.	bv_doc_id__68_d52e6721
32.	bv_doc_id__68_d52e6723
Das	bv_doc_id__68_d52e6728
Verhältnis	bv_doc_id__68_d52e6730
der	bv_doc_id__68_d52e6732
Gesamtheit	bv_doc_id__68_d52e6734
zu	bv_doc_id__68_d52e6736
den	bv_doc_id__68_d52e6739
Wirtschaftsverhällnissen	bv_doc_id__68_d52e6741
<g/>
.	
Die	bv_doc_id__68_d52e6745
Ordnung	bv_doc_id__68_d52e6747
des	bv_doc_id__68_d52e6749
Wirtschaftslebens	bv_doc_id__68_d52e6752
muß	bv_doc_id__68_d52e6754
den	bv_doc_id__68_d52e6756
Grundsätzen	bv_doc_id__68_d52e6758
der	bv_doc_id__68_d52e6760
Gerechtigkeit	bv_doc_id__68_d52e6762
mit	bv_doc_id__68_d52e6765
dem	bv_doc_id__68_d52e6767
Ziele	bv_doc_id__68_d52e6769
der	bv_doc_id__68_d52e6771
angemessenen	bv_doc_id__68_d52e6773
Anteilnahme	bv_doc_id__68_d52e6775
aller	bv_doc_id__68_d52e6778
Schaffenden	bv_doc_id__68_d52e6780
an	bv_doc_id__68_d52e6782
dem	bv_doc_id__68_d52e6784
Ertrag	bv_doc_id__68_d52e6786
der	bv_doc_id__68_d52e6788
Volkswirtschaft	bv_doc_id__68_d52e6791
entsprechen	bv_doc_id__68_d52e6793
<g/>
.	
Aufgabe	bv_doc_id__68_d52e6797
des	bv_doc_id__68_d52e6799
Staates	bv_doc_id__68_d52e6801
ist	bv_doc_id__68_d52e6804
es	bv_doc_id__68_d52e6806
<g/>
,	
alle	bv_doc_id__68_d52e6810
wirtschaftlichen	bv_doc_id__68_d52e6812
Kräfte	bv_doc_id__68_d52e6814
zur	bv_doc_id__68_d52e6817
größtmöglichen	bv_doc_id__68_d52e6819
Leistung	bv_doc_id__68_d52e6821
im	bv_doc_id__68_d52e6823
Dienste	bv_doc_id__68_d52e6825
der	bv_doc_id__68_d52e6827
Gesamtheit	bv_doc_id__68_d52e6830
zu	bv_doc_id__68_d52e6832
entwickeln	bv_doc_id__68_d52e6834
<g/>
.	
Durch	bv_doc_id__68_d52e6840
Bundesgesetz	bv_doc_id__68_d52e6843
kann	bv_doc_id__68_d52e6845
festgestellt	bv_doc_id__68_d52e6847
werden	bv_doc_id__68_d52e6849
<g/>
,	
inwieweit	bv_doc_id__68_d52e6853
zu	bv_doc_id__68_d52e6856
diesem	bv_doc_id__68_d52e6858
Zwecke	bv_doc_id__68_d52e6860
für	bv_doc_id__68_d52e6862
gewisse	bv_doc_id__68_d52e6864
wirtschaftliche	bv_doc_id__68_d52e6866
Zweige	bv_doc_id__68_d52e6869
die	bv_doc_id__68_d52e6871
Vereinigung	bv_doc_id__68_d52e6873
von	bv_doc_id__68_d52e6875
Betrieben	bv_doc_id__68_d52e6877
oder	bv_doc_id__68_d52e6879
eine	bv_doc_id__68_d52e6882
gemeinsame	bv_doc_id__68_d52e6884
Planwirtschaft	bv_doc_id__68_d52e6886
vorzusehen	bv_doc_id__68_d52e6888
ist	bv_doc_id__68_d52e6890
<g/>
,	
durch	bv_doc_id__68_d52e6895
welche	bv_doc_id__68_d52e6897
gesellschaftlichen	bv_doc_id__68_d52e6899
Organe	bv_doc_id__68_d52e6901
unter	bv_doc_id__68_d52e6903
Mitwirkung	bv_doc_id__68_d52e6905
und	bv_doc_id__68_d52e6908
Mitbeteiligung	bv_doc_id__68_d52e6910
des	bv_doc_id__68_d52e6912
Staates	bv_doc_id__68_d52e6914
diese	bv_doc_id__68_d52e6916
Planwirtschaft	bv_doc_id__68_d52e6918
durchzuführen	bv_doc_id__68_d52e6921
ist	bv_doc_id__68_d52e6923
<g/>
.	
Innerhalb	bv_doc_id__68_d52e6927
dieser	bv_doc_id__68_d52e6929
Grenzen	bv_doc_id__68_d52e6931
ist	bv_doc_id__68_d52e6934
die	bv_doc_id__68_d52e6936
Freiheit	bv_doc_id__68_d52e6938
der	bv_doc_id__68_d52e6940
Arbeitskraft	bv_doc_id__68_d52e6942
und	bv_doc_id__68_d52e6944
des	bv_doc_id__68_d52e6947
Eigentums	bv_doc_id__68_d52e6949
gewährleistet	bv_doc_id__68_d52e6951
<g/>
.	
Art.	bv_doc_id__68_d52e6962
33.	bv_doc_id__68_d52e6964
Freiheit	bv_doc_id__68_d52e6971
der	bv_doc_id__68_d52e6973
Berufswahl	bv_doc_id__68_d52e6975
<g/>
.	
Jedem	bv_doc_id__68_d52e6980
Staatsbürger	bv_doc_id__68_d52e6982
steht	bv_doc_id__68_d52e6984
es	bv_doc_id__68_d52e6986
frei	bv_doc_id__68_d52e6989
<g/>
,	
einen	bv_doc_id__68_d52e6993
Beruf	bv_doc_id__68_d52e6995
zu	bv_doc_id__68_d52e6997
wählen	bv_doc_id__68_d52e6999
und	bv_doc_id__68_d52e7002
sich	bv_doc_id__68_d52e7004
darin	bv_doc_id__68_d52e7006
auszubilden	bv_doc_id__68_d52e7008
<g/>
.	
Alle	bv_doc_id__68_d52e7012
Staatsbürger	bv_doc_id__68_d52e7015
sind	bv_doc_id__68_d52e7017
nach	bv_doc_id__68_d52e7019
Maßgabe	bv_doc_id__68_d52e7021
der	bv_doc_id__68_d52e7023
Gesetze	bv_doc_id__68_d52e7025
und	bv_doc_id__68_d52e7028
entsprechend	bv_doc_id__68_d52e7030
ihrer	bv_doc_id__68_d52e7032
Befähigung	bv_doc_id__68_d52e7034
und	bv_doc_id__68_d52e7036
Ihrer	bv_doc_id__68_d52e7038
Leistung	bv_doc_id__68_d52e7041
zu	bv_doc_id__68_d52e7043
den	bv_doc_id__68_d52e7045
öffentlichen	bv_doc_id__68_d52e7047
Ämtern	bv_doc_id__68_d52e7049
zuzulassen	bv_doc_id__68_d52e7051
<g/>
.	
Die	bv_doc_id__68_d52e7056
weiblichen	bv_doc_id__68_d52e7058
Angestellten	bv_doc_id__68_d52e7060
sind	bv_doc_id__68_d52e7062
den	bv_doc_id__68_d52e7064
männlichen	bv_doc_id__68_d52e7067
gleichgestellt	bv_doc_id__68_d52e7069
Nationalen	bv_doc_id__68_d52e7071
Minderheiten	bv_doc_id__68_d52e7073
gebührt	bv_doc_id__68_d52e7075
dieser	bv_doc_id__68_d52e7077
Anteil	bv_doc_id__68_d52e7080
nur	bv_doc_id__68_d52e7082
im	bv_doc_id__68_d52e7084
Verhältnis	bv_doc_id__68_d52e7086
ihrer	bv_doc_id__68_d52e7088
Zahl	bv_doc_id__68_d52e7090
zur	bv_doc_id__68_d52e7093
Gesamtbevölkerung	bv_doc_id__68_d52e7095
<g/>
.	
Art.	bv_doc_id__68_d52e7105
34.	bv_doc_id__68_d52e7107
Die	bv_doc_id__68_d52e7114
Freiheit	bv_doc_id__68_d52e7116
des	bv_doc_id__68_d52e7118
Eigentums	bv_doc_id__68_d52e7120
<g/>
.	
Das	bv_doc_id__68_d52e7125
Eigentum	bv_doc_id__68_d52e7127
wird	bv_doc_id__68_d52e7129
gewährleistet	bv_doc_id__68_d52e7131
<g/>
.	
Eine	bv_doc_id__68_d52e7136
Enteignung	bv_doc_id__68_d52e7138
darf	bv_doc_id__68_d52e7140
nur	bv_doc_id__68_d52e7142
auf	bv_doc_id__68_d52e7144
Grund	bv_doc_id__68_d52e7147
der	bv_doc_id__68_d52e7149
Gesetze	bv_doc_id__68_d52e7151
zum	bv_doc_id__68_d52e7153
gemeinsamen	bv_doc_id__68_d52e7155
Besten	bv_doc_id__68_d52e7157
gegen	bv_doc_id__68_d52e7160
angemessene	bv_doc_id__68_d52e7162
Entschädigung	bv_doc_id__68_d52e7164
erfolgen	bv_doc_id__68_d52e7166
<g/>
.	
Die	bv_doc_id__68_d52e7170
Enteignung	bv_doc_id__68_d52e7173
kann	bv_doc_id__68_d52e7175
für	bv_doc_id__68_d52e7177
zulässig	bv_doc_id__68_d52e7179
erklärt	bv_doc_id__68_d52e7181
werden	bv_doc_id__68_d52e7183
<g/>
,	
wenn	bv_doc_id__68_d52e7188
Grund	bv_doc_id__68_d52e7190
und	bv_doc_id__68_d52e7192
Boden	bv_doc_id__68_d52e7194
zur	bv_doc_id__68_d52e7196
Befriedigung	bv_doc_id__68_d52e7199
des	bv_doc_id__68_d52e7201
Wohnungsbedürfnisses	bv_doc_id__68_d52e7203
<g/>
,	
zur	bv_doc_id__68_d52e7207
Siedlung	bv_doc_id__68_d52e7209
und	bv_doc_id__68_d52e7212
Urbarmachung	bv_doc_id__68_d52e7214
<g/>
,	
zu	bv_doc_id__68_d52e7218
Hebung	bv_doc_id__68_d52e7220
der	bv_doc_id__68_d52e7222
Landwirtschaft	bv_doc_id__68_d52e7225
und	bv_doc_id__68_d52e7227
zur	bv_doc_id__68_d52e7229
Schaffung	bv_doc_id__68_d52e7231
von	bv_doc_id__68_d52e7233
Verkehrswegen	bv_doc_id__68_d52e7235
nötig	bv_doc_id__68_d52e7238
ist	bv_doc_id__68_d52e7240
<g/>
,	
wenn	bv_doc_id__68_d52e7244
Grund	bv_doc_id__68_d52e7246
und	bv_doc_id__68_d52e7248
Boden	bv_doc_id__68_d52e7251
<g/>
,	
Bodenschätze	bv_doc_id__68_d52e7255
<g/>
,	
wirtschaftlich	bv_doc_id__68_d52e7259
nutz	bv_doc_id__68_d52e7261
bare	bv_doc_id__68_d52e7264
Naturkräfte	bv_doc_id__68_d52e7266
oder	bv_doc_id__68_d52e7268
Betriebsmittel	bv_doc_id__68_d52e7270
in	bv_doc_id__68_d52e7272
das	bv_doc_id__68_d52e7274
Eigentum	bv_doc_id__68_d52e7277
der	bv_doc_id__68_d52e7279
Gesamtheit	bv_doc_id__68_d52e7281
überführt	bv_doc_id__68_d52e7283
oder	bv_doc_id__68_d52e7285
einer	bv_doc_id__68_d52e7287
Planwirtschaft	bv_doc_id__68_d52e7290
angegliedert	bv_doc_id__68_d52e7292
werden	bv_doc_id__68_d52e7294
sollen	bv_doc_id__68_d52e7296
<g/>
.	
Über	bv_doc_id__68_d52e7300
die	bv_doc_id__68_d52e7303
Zulässigkeit	bv_doc_id__68_d52e7305
der	bv_doc_id__68_d52e7307
Enteignung	bv_doc_id__68_d52e7309
und	bv_doc_id__68_d52e7311
über	bv_doc_id__68_d52e7313
die	bv_doc_id__68_d52e7316
Höhe	bv_doc_id__68_d52e7318
der	bv_doc_id__68_d52e7320
Entschädigung	bv_doc_id__68_d52e7322
entscheidet	bv_doc_id__68_d52e7324
im	bv_doc_id__68_d52e7326
Streitfall	bv_doc_id__68_d52e7329
das	bv_doc_id__68_d52e7331
ordentliche	bv_doc_id__68_d52e7333
Gericht	bv_doc_id__68_d52e7335
Art.	bv_doc_id__68_d52e7343
35.	bv_doc_id__68_d52e7345
Freiheit	bv_doc_id__68_d52e7352
der	bv_doc_id__68_d52e7354
Arbeitskraft	bv_doc_id__68_d52e7356
<g/>
.	
Die	bv_doc_id__68_d52e7361
Arbeitskraft	bv_doc_id__68_d52e7363
<g/>
,	
körperliche	bv_doc_id__68_d52e7367
und	bv_doc_id__68_d52e7370
geistige	bv_doc_id__68_d52e7372
<g/>
,	
steht	bv_doc_id__68_d52e7376
