<doc id="bv_doc_id__50" attrs="word lemma type">
Protokollder	bv_doc_id__50_d39e271
Bildung	bv_doc_id__50_d39e4347
von	bv_doc_id__50_d39e4349
Kreisen	bv_doc_id__50_d39e4351
Abstand	bv_doc_id__50_d39e4353
genommen	bv_doc_id__50_d39e4355
worden	bv_doc_id__50_d39e4357
sei	bv_doc_id__50_d39e4360
<g/>
,	
wan	bv_doc_id__50_d39e4364
bedarf	bv_doc_id__50_d39e4366
aber	bv_doc_id__50_d39e4368
einer	bv_doc_id__50_d39e4370
Sicherung	bv_doc_id__50_d39e4373
<g/>
,	
daß	bv_doc_id__50_d39e4377
sie	bv_doc_id__50_d39e4379
in	bv_doc_id__50_d39e4381
Nieder-	bv_doc_id__50_d39e4383
und	bv_doc_id__50_d39e4386
Ober-Oestes	bv_doc_id__50_d39e4388
reich	bv_doc_id__50_d39e4390
sowie	bv_doc_id__50_d39e4392
in	bv_doc_id__50_d39e4394
Steiermark	bv_doc_id__50_d39e4396
eingeführt	bv_doc_id__50_d39e4399
werden	bv_doc_id__50_d39e4401
<g/>
,	
sonst	bv_doc_id__50_d39e4405
sei	bv_doc_id__50_d39e4407
die	bv_doc_id__50_d39e4409
Zustimmung	bv_doc_id__50_d39e4412
der	bv_doc_id__50_d39e4414
Vertreter	bv_doc_id__50_d39e4416
dieser	bv_doc_id__50_d39e4418
Länder	bv_doc_id__50_d39e4420
nicht	bv_doc_id__50_d39e4422
zu	bv_doc_id__50_d39e4425
erlangen	bv_doc_id__50_d39e4427
<g/>
.	
Der	bv_doc_id__50_d39e4431
Unterausschuß	bv_doc_id__50_d39e4433
nimmt	bv_doc_id__50_d39e4435
nach	bv_doc_id__50_d39e4438
längerer	bv_doc_id__50_d39e4440
Debatte	bv_doc_id__50_d39e4442
folgende	bv_doc_id__50_d39e4444
Fassung	bv_doc_id__50_d39e4446
des	bv_doc_id__50_d39e4448
Artikels	bv_doc_id__50_d39e4451
97	bv_doc_id__50_d39e4453
b	bv_doc_id__50_d39e4455
an	bv_doc_id__50_d39e4457
<g/>
:	
Artikel	bv_doc_id__50_d39e4461
97	bv_doc_id__50_d39e4464
b	bv_doc_id__50_d39e4466
<g/>
.	
<g/>
(	
1	bv_doc_id__50_d39e4472
<g/>
)	
Verwaltungssprengel	bv_doc_id__50_d39e4477
und	bv_doc_id__50_d39e4479
Selbstverwaltungskörper	bv_doc_id__50_d39e4481
<g/>
,	
in	bv_doc_id__50_d39e4485
welche	bv_doc_id__50_d39e4487
sich	bv_doc_id__50_d39e4490
die	bv_doc_id__50_d39e4492
Länder	bv_doc_id__50_d39e4494
gliedern	bv_doc_id__50_d39e4496
<g/>
,	
sind	bv_doc_id__50_d39e4500
die	bv_doc_id__50_d39e4503
Ortsgemeinden	bv_doc_id__50_d39e4505
und	bv_doc_id__50_d39e4507
die	bv_doc_id__50_d39e4509
Gebietsgemeinden	bv_doc_id__50_d39e4511
<g/>
.	
<g/>
(	
2	bv_doc_id__50_d39e4518
<g/>
)	
Die	bv_doc_id__50_d39e4522
Ortsgemeinden	bv_doc_id__50_d39e4524
sind	bv_doc_id__50_d39e4526
den	bv_doc_id__50_d39e4529
Gebietsgemeinden	bv_doc_id__50_d39e4531
und	bv_doc_id__50_d39e4533
diese	bv_doc_id__50_d39e4535
den	bv_doc_id__50_d39e4537
Ländern	bv_doc_id__50_d39e4539
untergeerdnet	bv_doc_id__50_d39e4542
<g/>
,	
Riegegen	bv_doc_id__50_d39e4546
meldet	bv_doc_id__50_d39e4548
Dr	bv_doc_id__50_d39e4550
<g/>
.	
Danneberg	bv_doc_id__50_d39e4555
ein	bv_doc_id__50_d39e4557
Mineritätsvotum	bv_doc_id__50_d39e4559
an	bv_doc_id__50_d39e4561
Ein	bv_doc_id__50_d39e4563
Antrag	bv_doc_id__50_d39e4565
des	bv_doc_id__50_d39e4568
Abgeerdneten	bv_doc_id__50_d39e4570
Fink	bv_doc_id__50_d39e4572
nur	bv_doc_id__50_d39e4574
den	bv_doc_id__50_d39e4576
Städten	bv_doc_id__50_d39e4578
mit	bv_doc_id__50_d39e4581
20000	bv_doc_id__50_d39e4583
<g/>
,	
nicht	bv_doc_id__50_d39e4587
auch	bv_doc_id__50_d39e4589
denen	bv_doc_id__50_d39e4591
mit	bv_doc_id__50_d39e4594
15000	bv_doc_id__50_d39e4596
Ernwohnern	bv_doc_id__50_d39e4598
den	bv_doc_id__50_d39e4600
Anspruch	bv_doc_id__50_d39e4602
auf	bv_doc_id__50_d39e4604
Erklärung	bv_doc_id__50_d39e4607
zu	bv_doc_id__50_d39e4609
Gebietsgemeinden	bv_doc_id__50_d39e4611
zuzuerkennen	bv_doc_id__50_d39e4613
<g/>
,	
wird	bv_doc_id__50_d39e4617
abgelehnt	bv_doc_id__50_d39e4620
<g/>
,	
da	bv_doc_id__50_d39e4624
Abgeerdaeter	bv_doc_id__50_d39e4626
Dr	bv_doc_id__50_d39e4628
<g/>
.	
Danneberg	bv_doc_id__50_d39e4633
nachweist	bv_doc_id__50_d39e4635
<g/>
,	
daß	bv_doc_id__50_d39e4639
es	bv_doc_id__50_d39e4641
sich	bv_doc_id__50_d39e4643
im	bv_doc_id__50_d39e4646
Ganzen	bv_doc_id__50_d39e4648
um	bv_doc_id__50_d39e4650
4	bv_doc_id__50_d39e4652
Gemeinden	bv_doc_id__50_d39e4654
handelt	bv_doc_id__50_d39e4656
<g/>
,	
nämlich	bv_doc_id__50_d39e4661
um	bv_doc_id__50_d39e4663
MädlungHels	bv_doc_id__50_d39e4665
<g/>
.	
Eggenberg	bv_doc_id__50_d39e4669
und	bv_doc_id__50_d39e4672
Dunawitz	bv_doc_id__50_d39e4674
<g/>
,	
denen	bv_doc_id__50_d39e4678
man	bv_doc_id__50_d39e4680
wohl	bv_doc_id__50_d39e4682
dieselben	bv_doc_id__50_d39e4685
Rechte	bv_doc_id__50_d39e4687
wie	bv_doc_id__50_d39e4689
Weidhofen	bv_doc_id__50_d39e4691
a	bv_doc_id__50_d39e4693
<g/>
.	
d	bv_doc_id__50_d39e4698
<g/>
.	
Hbbs	bv_doc_id__50_d39e4702
gewähren	bv_doc_id__50_d39e4704
könne	bv_doc_id__50_d39e4706
<g/>
.	
Sinngemäß	bv_doc_id__50_d39e4711
wird	bv_doc_id__50_d39e4713
Artikel	bv_doc_id__50_d39e4715
97	bv_doc_id__50_d39e4717
c	bv_doc_id__50_d39e4719
unter	bv_doc_id__50_d39e4721
Streichung	bv_doc_id__50_d39e4724
des	bv_doc_id__50_d39e4726
zweiten	bv_doc_id__50_d39e4728
Absatzes	bv_doc_id__50_d39e4730
folgendermaßen	bv_doc_id__50_d39e4732
abgeändert	bv_doc_id__50_d39e4734
<g/>
.	
Artikel	bv_doc_id__50_d39e4739
97	bv_doc_id__50_d39e4741
c	bv_doc_id__50_d39e4743
<g/>
.	
<g/>
(	
1	bv_doc_id__50_d39e4750
<g/>
)	
Ortsgemeinden	bv_doc_id__50_d39e4754
mit	bv_doc_id__50_d39e4756
mehr	bv_doc_id__50_d39e4758
als	bv_doc_id__50_d39e4760
15000	bv_doc_id__50_d39e4763
Einwehnern	bv_doc_id__50_d39e4765
sind	bv_doc_id__50_d39e4767
auf	bv_doc_id__50_d39e4769
ihren	bv_doc_id__50_d39e4771
Antrag	bv_doc_id__50_d39e4773
zu	bv_doc_id__50_d39e4776
Gebietsgemeinden	bv_doc_id__50_d39e4778
zu	bv_doc_id__50_d39e4780
erklären	bv_doc_id__50_d39e4782
<g/>
.	
Bei	bv_doc_id__50_d39e4786
ihnen	bv_doc_id__50_d39e4789
fällt	bv_doc_id__50_d39e4791
die	bv_doc_id__50_d39e4793
Gemeindeverwaltung	bv_doc_id__50_d39e4795
mit	bv_doc_id__50_d39e4797
der	bv_doc_id__50_d39e4799
Gebietsgemeindeverwaltung	bv_doc_id__50_d39e4802
zusammen	bv_doc_id__50_d39e4804
<g/>
.	
<g/>
(	
2	bv_doc_id__50_d39e4810
<g/>
)	
Die	bv_doc_id__50_d39e4815
bisherigen	bv_doc_id__50_d39e4817
Städte	bv_doc_id__50_d39e4819
mit	bv_doc_id__50_d39e4821
eigenem	bv_doc_id__50_d39e4823
Statut	bv_doc_id__50_d39e4825
werden	bv_doc_id__50_d39e4828
Gebietsgeweinden	bv_doc_id__50_d39e4830
<g/>
.	
Ferher	bv_doc_id__50_d39e4834
hat	bv_doc_id__50_d39e4836
der	bv_doc_id__50_d39e4838
Beginn	bv_doc_id__50_d39e4841
des	bv_doc_id__50_d39e4843
Artikels	bv_doc_id__50_d39e4845
97	bv_doc_id__50_d39e4847
d	bv_doc_id__50_d39e4849
zu	bv_doc_id__50_d39e4851
lauten	bv_doc_id__50_d39e4854
<g/>
:	
