<doc id="bv_doc_id__52" attrs="word lemma type">
4277	bv_doc_id__52_d41e261
Brukgung	bv_doc_id__52_d41e3967
zu	bv_doc_id__52_d41e3969
ziehen	bv_doc_id__52_d41e3971
<g/>
.	
MixRatertner	bv_doc_id__52_d41e3975
findst	bv_doc_id__52_d41e3977
über	bv_doc_id__52_d41e3980
Befrager	bv_doc_id__52_d41e3982
die	bv_doc_id__52_d41e3984
Formuliezung	bv_doc_id__52_d41e3986
der	bv_doc_id__52_d41e3988
christlichsozlalen	bv_doc_id__52_d41e3990
Partei	bv_doc_id__52_d41e3993
aus	bv_doc_id__52_d41e3995
dem	bv_doc_id__52_d41e3997
grunde	bv_doc_id__52_d41e3999
gut	bv_doc_id__52_d41e4001
<g/>
,	
weil	bv_doc_id__52_d41e4006
es	bv_doc_id__52_d41e4008
dannricht	bv_doc_id__52_d41e4010
meir	bv_doc_id__52_d41e4012
möglich	bv_doc_id__52_d41e4014
sein	bv_doc_id__52_d41e4016
wird	bv_doc_id__52_d41e4019
<g/>
,	
daß	bv_doc_id__52_d41e4023
in	bv_doc_id__52_d41e4025
Abständen	bv_doc_id__52_d41e4027
von	bv_doc_id__52_d41e4029
weniger	bv_doc_id__52_d41e4032
Kilometern	bv_doc_id__52_d41e4034
andere	bv_doc_id__52_d41e4036
Elektrizitätswerke	bv_doc_id__52_d41e4038
mit	bv_doc_id__52_d41e4040
anderen	bv_doc_id__52_d41e4042
Stromstärkem	bv_doc_id__52_d41e4045
etc	bv_doc_id__52_d41e4047
<g/>
.	
srrichtet	bv_doc_id__52_d41e4051
werden	bv_doc_id__52_d41e4053
können	bv_doc_id__52_d41e4055
<g/>
.	
Bo	bv_doc_id__52_d41e4060
könne	bv_doc_id__52_d41e4062
es	bv_doc_id__52_d41e4064
vielleicht	bv_doc_id__52_d41e4066
gelingen	bv_doc_id__52_d41e4068
<g/>
,	
die	bv_doc_id__52_d41e4073
Thase	bv_doc_id__52_d41e4075
der	bv_doc_id__52_d41e4077
Zwergkraftwerke	bv_doc_id__52_d41e4079
zu	bv_doc_id__52_d41e4081
überwinden	bv_doc_id__52_d41e4084
<g/>
.	
Die	bv_doc_id__52_d41e4088
Formel	bv_doc_id__52_d41e4090
biete	bv_doc_id__52_d41e4092
aber	bv_doc_id__52_d41e4094
noch	bv_doc_id__52_d41e4097
nicht	bv_doc_id__52_d41e4099
die	bv_doc_id__52_d41e4101
Möglichkeit	bv_doc_id__52_d41e4103
<g/>
,	
das	bv_doc_id__52_d41e4107
Großkraftwerk	bv_doc_id__52_d41e4110
wirklich	bv_doc_id__52_d41e4112
durchzuführen	bv_doc_id__52_d41e4114
<g/>
.	
Die	bv_doc_id__52_d41e4118
Wasserkraftverwertung	bv_doc_id__52_d41e4120
müsse	bv_doc_id__52_d41e4123
nach	bv_doc_id__52_d41e4125
einheitlichen	bv_doc_id__52_d41e4127
Gezichtspunkten	bv_doc_id__52_d41e4129
ausgeführt	bv_doc_id__52_d41e4131
werden	bv_doc_id__52_d41e4133
<g/>
.	
Mit	bv_doc_id__52_d41e4138
rein	bv_doc_id__52_d41e4140
technischen	bv_doc_id__52_d41e4142
Veraugsetzungen	bv_doc_id__52_d41e4144
sei	bv_doc_id__52_d41e4146
kein	bv_doc_id__52_d41e4149
Erfolg	bv_doc_id__52_d41e4151
zu	bv_doc_id__52_d41e4153
erzlelen	bv_doc_id__52_d41e4155
<g/>
.	
Auch	bv_doc_id__52_d41e4159
in	bv_doc_id__52_d41e4162
einigen	bv_doc_id__52_d41e4164
Fragen	bv_doc_id__52_d41e4166
der	bv_doc_id__52_d41e4168
Elektrizitätswirtschaft	bv_doc_id__52_d41e4170
<g/>
,	
die	bv_doc_id__52_d41e4175
mit	bv_doc_id__52_d41e4177
tschniechen	bv_doc_id__52_d41e4179
Fragen	bv_doc_id__52_d41e4181
untrennbar	bv_doc_id__52_d41e4183
verknüpft	bv_doc_id__52_d41e4185
ssi	bv_doc_id__52_d41e4188
<g/>
,	
könne	bv_doc_id__52_d41e4192
auf	bv_doc_id__52_d41e4194
eine	bv_doc_id__52_d41e4196
gewiese	bv_doc_id__52_d41e4198
Einheitlichkeit	bv_doc_id__52_d41e4201
nicht	bv_doc_id__52_d41e4203
verzichtet	bv_doc_id__52_d41e4205
werden	bv_doc_id__52_d41e4207
<g/>
;	
ansonsten	bv_doc_id__52_d41e4211
würden	bv_doc_id__52_d41e4214
die	bv_doc_id__52_d41e4216
Voraussetzungen	bv_doc_id__52_d41e4218
für	bv_doc_id__52_d41e4220
eine	bv_doc_id__52_d41e4222
grosszügigs	bv_doc_id__52_d41e4224
technische	bv_doc_id__52_d41e4227
Lörung	bv_doc_id__52_d41e4229
des	bv_doc_id__52_d41e4231
Warverkraft-	bv_doc_id__52_d41e4233
und	bv_doc_id__52_d41e4235
Elsktrizitätewirtechafteproblems	bv_doc_id__52_d41e4237
fehlen	bv_doc_id__52_d41e4240
und	bv_doc_id__52_d41e4242
une	bv_doc_id__52_d41e4244
die	bv_doc_id__52_d41e4246
Möglichkeit	bv_doc_id__52_d41e4248
benommen	bv_doc_id__52_d41e4250
sein	bv_doc_id__52_d41e4253
<g/>
,	
dieess	bv_doc_id__52_d41e4257
technisch	bv_doc_id__52_d41e4259
unbestrittens	bv_doc_id__52_d41e4261
Ziel	bv_doc_id__52_d41e4263
zu	bv_doc_id__52_d41e4266
erreichen	bv_doc_id__52_d41e4268
<g/>
,	
ein	bv_doc_id__52_d41e4272
ziel	bv_doc_id__52_d41e4274
<g/>
;	
dae	bv_doc_id__52_d41e4279
die	bv_doc_id__52_d41e4281
Setweiz	bv_doc_id__52_d41e4283
bereite	bv_doc_id__52_d41e4285
erreicht	bv_doc_id__52_d41e4287
habe	bv_doc_id__52_d41e4289
als	bv_doc_id__52_d41e4292
folgs	bv_doc_id__52_d41e4294
dar	bv_doc_id__52_d41e4296
schweizeri	bv_doc_id__52_d41e4298
<g/>
!	
echen	bv_doc_id__52_d41e4302
Bundse-	bv_doc_id__52_d41e4305
und	bv_doc_id__52_d41e4307
Kantonal-Gesetzgebung	bv_doc_id__52_d41e4309
<g/>
,	
die	bv_doc_id__52_d41e4313
dem	bv_doc_id__52_d41e4315
Bunde	bv_doc_id__52_d41e4318
die	bv_doc_id__52_d41e4320
Führung	bv_doc_id__52_d41e4322
aller	bv_doc_id__52_d41e4324
einschlägigen	bv_doc_id__52_d41e4326
Angelegenneiten	bv_doc_id__52_d41e4328
zugestaht	bv_doc_id__52_d41e4331
<g/>
.	
107	bv_doc_id__52_d41e4338
8	bv_doc_id__52_d41e4342
ProfsFr	bv_doc_id__52_d41e4347
<g/>
.	
AEIF	bv_doc_id__52_d41e4351
dI	bv_doc_id__52_d41e4353
wbnacht	bv_doc_id__52_d41e4355
die	bv_doc_id__52_d41e4358
Debatts	bv_doc_id__52_d41e4360
über	bv_doc_id__52_d41e4362
die	bv_doc_id__52_d41e4364
vorgelegten	bv_doc_id__52_d41e4366
Fasgungen	bv_doc_id__52_d41e4368
in	bv_doc_id__52_d41e4371
der	bv_doc_id__52_d41e4373
nächsten	bv_doc_id__52_d41e4375
Iitzung	bv_doc_id__52_d41e4377
gemeinsan	bv_doc_id__52_d41e4379
mit	bv_doc_id__52_d41e4381
der	bv_doc_id__52_d41e4384
über	bv_doc_id__52_d41e4386
die	bv_doc_id__52_d41e4388
anderen	bv_doc_id__52_d41e4390
strittigen	bv_doc_id__52_d41e4392
Fragen	bv_doc_id__52_d41e4394
abzuführen	bv_doc_id__52_d41e4397
und	bv_doc_id__52_d41e4399
ertallt	bv_doc_id__52_d41e4401
zur	bv_doc_id__52_d41e4403
technischen	bv_doc_id__52_d41e4405
legung	bv_doc_id__52_d41e4407
Praf	bv_doc_id__52_d41e4410
<g/>
.	
Dr	bv_doc_id__52_d41e4414
<g/>
.	
Kisan	bv_doc_id__52_d41e4418
das	bv_doc_id__52_d41e4420
Hort	bv_doc_id__52_d41e4423
<g/>
.	
Dieser	bv_doc_id__52_d41e4427
bittet	bv_doc_id__52_d41e4429
vorerst	bv_doc_id__52_d41e4431
zur	bv_doc_id__52_d41e4433
Kennteis	bv_doc_id__52_d41e4436
zu	bv_doc_id__52_d41e4438
nehmen	bv_doc_id__52_d41e4440
<g/>
,	
daß	bv_doc_id__52_d41e4444
die	bv_doc_id__52_d41e4446
verliegenden	bv_doc_id__52_d41e4449
Anträge	bv_doc_id__52_d41e4451
gemeinsan	bv_doc_id__52_d41e4453
von	bv_doc_id__52_d41e4455
ihm	bv_doc_id__52_d41e4457
uni	bv_doc_id__52_d41e4459
den	bv_doc_id__52_d41e4462
Herren	bv_doc_id__52_d41e4464
der	bv_doc_id__52_d41e4466
Staatskanzlat	bv_doc_id__52_d41e4468
ausgsarheitst	bv_doc_id__52_d41e4470
wurden	bv_doc_id__52_d41e4472
<g/>
,	
mit	bv_doc_id__52_d41e4477
denen	bv_doc_id__52_d41e4479
er	bv_doc_id__52_d41e4481
prinzipiell	bv_doc_id__52_d41e4483
im	bv_doc_id__52_d41e4485
Einvernehmen	bv_doc_id__52_d41e4488
stehe	bv_doc_id__52_d41e4490
<g/>
.	
in	bv_doc_id__52_d41e4494
sächlicher	bv_doc_id__52_d41e4496
Beziehung	bv_doc_id__52_d41e4498
erlaube	bv_doc_id__52_d41e4501
er	bv_doc_id__52_d41e4503
sich	bv_doc_id__52_d41e4505
folgenden	bv_doc_id__52_d41e4507
Eitel	bv_doc_id__52_d41e4509
für	bv_doc_id__52_d41e4511
das	bv_doc_id__52_d41e4514
Gegetz	bv_doc_id__52_d41e4516
vorzuachlegen	bv_doc_id__52_d41e4518
<g/>
.	
Gesetz	bv_doc_id__52_d41e4522
<g/>
,	
nomit	bv_doc_id__52_d41e4527
die	bv_doc_id__52_d41e4529
Ragublik	bv_doc_id__52_d41e4531
Oesterzeich	bv_doc_id__52_d41e4533
als	bv_doc_id__52_d41e4535
Bundegstaat	bv_doc_id__52_d41e4537
givgerichtet	bv_doc_id__52_d41e4540
wird	bv_doc_id__52_d41e4542
<g/>
(	
Bunder-Verfarsungegesetzle	bv_doc_id__52_d41e4546
<g/>
.	
Der	bv_doc_id__52_d41e4550
in	bv_doc_id__52_d41e4553
Klammer	bv_doc_id__52_d41e4555
beigenetzte	bv_doc_id__52_d41e4557
auert	bv_doc_id__52_d41e4559
tital	bv_doc_id__52_d41e4561
nach	bv_doc_id__52_d41e4563
engliachem	bv_doc_id__52_d41e4566
Beiepleie	bv_doc_id__52_d41e4568
hei	bv_doc_id__52_d41e4570
zwecke	bv_doc_id__52_d41e4572
Zitierung	bv_doc_id__52_d41e4574
nstwendig	bv_doc_id__52_d41e4576
<g/>
.	
Die	bv_doc_id__52_d41e4581
vorgeschlagene	bv_doc_id__52_d41e4583
Fassung	bv_doc_id__52_d41e4585
wird	bv_doc_id__52_d41e4587
angepommen	bv_doc_id__52_d41e4589
<g/>
.	
Redner	bv_doc_id__52_d41e4594
schlägt	bv_doc_id__52_d41e4596
waiter	bv_doc_id__52_d41e4598
vor	bv_doc_id__52_d41e4600
<g/>
,	
das	bv_doc_id__52_d41e4605
erste	bv_doc_id__52_d41e4607
Hauptstünk	bv_doc_id__52_d41e4609
folgendermaßen	bv_doc_id__52_d41e4611
zu	bv_doc_id__52_d41e4613
gliedern	bv_doc_id__52_d41e4615
und	bv_doc_id__52_d41e4618
mit	bv_doc_id__52_d41e4620
Untertiteln	bv_doc_id__52_d41e4622
zu	bv_doc_id__52_d41e4624
versehenisR	bv_doc_id__52_d41e4626
<g/>
.	
Staataform	bv_doc_id__52_d41e4631
<g/>
,	
Bundesgablet	bv_doc_id__52_d41e4635
<g/>
,	
Bandsavolk	bv_doc_id__52_d41e4639
(Art.	bv_doc_id__52_d41e4641
1	bv_doc_id__52_d41e4644
die	bv_doc_id__52_d41e4646
8	bv_doc_id__52_d41e4648
<g/>
):	
B	bv_doc_id__52_d41e4652
<g/>
.	
Verteilung	bv_doc_id__52_d41e4657
der	bv_doc_id__52_d41e4659
Zuständigzeit	bv_doc_id__52_d41e4661
(Art.	bv_doc_id__52_d41e4663
7	bv_doc_id__52_d41e4665
bie	bv_doc_id__52_d41e4667
24	bv_doc_id__52_d41e4670
a	bv_doc_id__52_d41e4672
<g/>
);	
G	bv_doc_id__52_d41e4676
<g/>
.	
Organer	bv_doc_id__52_d41e4680
und	bv_doc_id__52_d41e4683
bittet	bv_doc_id__52_d41e4685
grat	bv_doc_id__52_d41e4687
nach	bv_doc_id__52_d41e4689
erfelgter	bv_doc_id__52_d41e4691
Legung	bv_doc_id__52_d41e4693
der	bv_doc_id__52_d41e4696
betroffenden	bv_doc_id__52_d41e4698
Artikol	bv_doc_id__52_d41e4700
darüber	bv_doc_id__52_d41e4702
zu	bv_doc_id__52_d41e4704
entscheiden	bv_doc_id__52_d41e4706
<g/>
.	
An	bv_doc_id__52_d41e4711
dar	bv_doc_id__52_d41e4713
Famguag	bv_doc_id__52_d41e4715
des	bv_doc_id__52_d41e4717
Art.I,	bv_doc_id__52_d41e4719
Abs	bv_doc_id__52_d41e4722
<g/>
.	
R	bv_doc_id__52_d41e4726
haben	bv_doc_id__52_d41e4728
zahlreiche	bv_doc_id__52_d41e4730
ProLaasoren	bv_doc_id__52_d41e4732
ausgesetzt	bv_doc_id__52_d41e4735
<g/>
,	
daß	bv_doc_id__52_d41e4739
der	bv_doc_id__52_d41e4741
Arbjektabegriff	bv_doc_id__52_d41e4743
in	bv_doc_id__52_d41e4745
deppeltem	bv_doc_id__52_d41e4748
Sinne	bv_doc_id__52_d41e4750
gebraucht	bv_doc_id__52_d41e4752
wird	bv_doc_id__52_d41e4754
<g/>
,	
u	bv_doc_id__52_d41e4758
<g/>
.	
zw	bv_doc_id__52_d41e4763
<g/>
.	
senahl	bv_doc_id__52_d41e4767
ale	bv_doc_id__52_d41e4769
Organ	bv_doc_id__52_d41e4771
wie	bv_doc_id__52_d41e4774
als	bv_doc_id__52_d41e4776
Kompstanz	bv_doc_id__52_d41e4778
<g/>
,	
nämlich	bv_doc_id__52_d41e4782
als	bv_doc_id__52_d41e4784
Organweingesetzte	bv_doc_id__52_d41e4787
<g/>
,	
aber	bv_doc_id__52_d41e4791
ale	bv_doc_id__52_d41e4793
Kompstenz	bv_doc_id__52_d41e4795
"ausgeühte	bv_doc_id__52_d41e4797
<g/>
.	
Der	bv_doc_id__52_d41e4802
Unterausschuß	bv_doc_id__52_d41e4804
beschließt	bv_doc_id__52_d41e4806
auf	bv_doc_id__52_d41e4808
Antrag	bv_doc_id__52_d41e4810
Prof	bv_doc_id__52_d41e4813
<g/>
.	
Dr	bv_doc_id__52_d41e4817
<g/>
.	
F«1-	bv_doc_id__52_d41e4821
615	bv_doc_id__52_d41e4823
Artikel	bv_doc_id__52_d41e4830
l	bv_doc_id__52_d41e4832
<g/>
.	
deaterreich	bv_doc_id__52_d41e4839
ist	bv_doc_id__52_d41e4841
eine	bv_doc_id__52_d41e4843
demokratioche	bv_doc_id__52_d41e4845
Republik	bv_doc_id__52_d41e4847
<g/>
.	
Ihr	bv_doc_id__52_d41e4852
Recht	bv_doc_id__52_d41e4854
gräb	bv_doc_id__52_d41e4856
von	bv_doc_id__52_d41e4858
Volke	bv_doc_id__52_d41e4860
ausf	bv_doc_id__52_d41e4863
<g/>
.	
Ferner	bv_doc_id__52_d41e4867
<g/>
/	
in	bv_doc_id__52_d41e4871
Art.2	bv_doc_id__52_d41e4873
nach	bv_doc_id__52_d41e4876
Wiederösterreich	bv_doc_id__52_d41e4878
in	bv_doc_id__52_d41e4880
Klammer	bv_doc_id__52_d41e4882
einzuerhalten	bv_doc_id__52_d41e4884
<g/>
(	
Nigägrystarreich-	bv_doc_id__52_d41e4889
Land	bv_doc_id__52_d41e4891
und	bv_doc_id__52_d41e4893
Kiea	bv_doc_id__52_d41e4895
<g/>
),	
nach	bv_doc_id__52_d41e4899
Analogle	bv_doc_id__52_d41e4902
der	bv_doc_id__52_d41e4904
Schwelzer	bv_doc_id__52_d41e4906
Verfassung	bv_doc_id__52_d41e4908
<g/>
:	
Besel-	bv_doc_id__52_d41e4912
Land	bv_doc_id__52_d41e4915
und	bv_doc_id__52_d41e4917
Bassl-Stadt	bv_doc_id__52_d41e4919
<g/>
.	
22	bv_doc_id__52_d41e4928
Art.3,	bv_doc_id__52_d41e4931
Abs	bv_doc_id__52_d41e4933
<g/>
.	
l	bv_doc_id__52_d41e4937
schlägt	bv_doc_id__52_d41e4940
Prof	bv_doc_id__52_d41e4942
<g/>
.	
Dr	bv_doc_id__52_d41e4946
<g/>
.	
Kelsen	bv_doc_id__52_d41e4950
die	bv_doc_id__52_d41e4953
Strei	bv_doc_id__52_d41e4955
9	bv_doc_id__52_d41e4959
chung	bv_doc_id__52_d41e4964
des	bv_doc_id__52_d41e4966
zweiten	bv_doc_id__52_d41e4968
Satzen	bv_doc_id__52_d41e4970
<g/>
,	
Re	bv_doc_id__52_d41e4975
steht	bv_doc_id__52_d41e4977
unter	bv_doc_id__52_d41e4979
dem	bv_doc_id__52_d41e4981
Bghutz	bv_doc_id__52_d41e4983
des	bv_doc_id__52_d41e4985
Bundee	bv_doc_id__52_d41e4988
vor	bv_doc_id__52_d41e4990
<g/>
,	
da	bv_doc_id__52_d41e4994
hierin	bv_doc_id__52_d41e4996
kein	bv_doc_id__52_d41e4998
neuer	bv_doc_id__52_d41e5001
Gedanke	bv_doc_id__52_d41e5003
ausgedrückt	bv_doc_id__52_d41e5005
sei	bv_doc_id__52_d41e5007
<g/>
.	
Der	bv_doc_id__52_d41e5011
Unterausschuß	bv_doc_id__52_d41e5014
beschließt	bv_doc_id__52_d41e5016
die	bv_doc_id__52_d41e5018
Etrgichung	bv_doc_id__52_d41e5020
und	bv_doc_id__52_d41e5022
formuliert	bv_doc_id__52_d41e5024
auf	bv_doc_id__52_d41e5027
Antrag	bv_doc_id__52_d41e5029
Eelsene	bv_doc_id__52_d41e5031
den	bv_doc_id__52_d41e5033
dritten	bv_doc_id__52_d41e5035
Absatz	bv_doc_id__52_d41e5037
folgendermaßen	bv_doc_id__52_d41e5040
<g/>
:	
„	bv_doc_id__52_d41e5044
<g/>
(	
3	bv_doc_id__52_d41e5048
<g/>
)	
Dze	bv_doc_id__52_d41e5053
für	bv_doc_id__52_d41e5055
Fiederöstezzeich-Land	bv_doc_id__52_d41e5057
und	bv_doc_id__52_d41e5059
Wien	bv_doc_id__52_d41e5061
geltenden	bv_doc_id__52_d41e5063
Sonderbestimmungen	bv_doc_id__52_d41e5066
enthalt	bv_doc_id__52_d41e5068
das	bv_doc_id__52_d41e5070
glerte	bv_doc_id__52_d41e5072
Hauptstück-	bv_doc_id__52_d41e5074
<g/>
.	
mit	bv_doc_id__52_d41e5079
Rücksicht	bv_doc_id__52_d41e5081
desanf	bv_doc_id__52_d41e5083
<g/>
,	
das	bv_doc_id__52_d41e5087
Die	bv_doc_id__52_d41e5089
Staatskanzleischähgt	bv_doc_id__52_d41e5092
die	bv_doc_id__52_d41e5094
Frage	bv_doc_id__52_d41e5096
der	bv_doc_id__52_d41e5098
Flagge	bv_doc_id__52_d41e5100
<g/>
,	
des	bv_doc_id__52_d41e5105
Wappens	bv_doc_id__52_d41e5107
und	bv_doc_id__52_d41e5109
des	bv_doc_id__52_d41e5111
Staatssiegels	bv_doc_id__52_d41e5113
theoretisch	bv_doc_id__52_d41e5115
zu	bv_doc_id__52_d41e5118
den	bv_doc_id__52_d41e5120
wichtigsten	bv_doc_id__52_d41e5122
verfasnungerechtlichen	bv_doc_id__52_d41e5124
Bestlumungen	bv_doc_id__52_d41e5126
537	bv_doc_id__52_d41e5128
gehöre	bv_doc_id__52_d41e5131
<g/>
,	
fäte	bv_doc_id__52_d41e5135
bezüglichen	bv_doc_id__52_d41e5137
Artikel	bv_doc_id__52_d41e5139
des	bv_doc_id__52_d41e5141
Einzer	bv_doc_id__52_d41e5144
Entwurfes	bv_doc_id__52_d41e5146
in	bv_doc_id__52_d41e5148
die	bv_doc_id__52_d41e5150
VerFassung	bv_doc_id__52_d41e5152
aufzuhehmen	bv_doc_id__52_d41e5154
<g/>
,	
was	bv_doc_id__52_d41e5159
der	bv_doc_id__52_d41e5161
Unterausachuß	bv_doc_id__52_d41e5163
jedoch	bv_doc_id__52_d41e5165
ablehnt	bv_doc_id__52_d41e5167
<g/>
.	
Zu	bv_doc_id__52_d41e5172
Art.1	bv_doc_id__52_d41e5174
bringen	bv_doc_id__52_d41e5176
sowohl	bv_doc_id__52_d41e5178
Prof	bv_doc_id__52_d41e5180
<g/>
.	
Dr	bv_doc_id__52_d41e5185
<g/>
.	
Falsaa	bv_doc_id__52_d41e5189
als	bv_doc_id__52_d41e5191
auch	bv_doc_id__52_d41e5193
Dr	bv_doc_id__52_d41e5196
<g/>
.	
Danneberg	bv_doc_id__52_d41e5200
mehrfache	bv_doc_id__52_d41e5202
Abänderungevorschläge	bv_doc_id__52_d41e5204
vor	bv_doc_id__52_d41e5206
<g/>
.	
Ereterer	bv_doc_id__52_d41e5211
verweint	bv_doc_id__52_d41e5213
auf	bv_doc_id__52_d41e5215
eine	bv_doc_id__52_d41e5217
Anfräge	bv_doc_id__52_d41e5219
des	bv_doc_id__52_d41e5222
Präsidenten	bv_doc_id__52_d41e5224
3	bv_doc_id__52_d41e5231
«	bv_doc_id__52_d41e5234
itz	bv_doc_id__52_d41e5236
<g/>
,	
daß	bv_doc_id__52_d41e5240
das	bv_doc_id__52_d41e5243
Optionsrecht	bv_doc_id__52_d41e5245
in	bv_doc_id__52_d41e5247
den	bv_doc_id__52_d41e5249
Fabergangabestimmungen	bv_doc_id__52_d41e5251
bereits	bv_doc_id__52_d41e5253
berücksichtigt	bv_doc_id__52_d41e5256
sei-	bv_doc_id__52_d41e5258
und	bv_doc_id__52_d41e5260
findet	bv_doc_id__52_d41e5262
<g/>
,	
daß	bv_doc_id__52_d41e5266
in	bv_doc_id__52_d41e5269
der	bv_doc_id__52_d41e5271
nunmehrigen	bv_doc_id__52_d41e5273
Fasgung	bv_doc_id__52_d41e5275
<g/>
,	
in	bv_doc_id__52_d41e5279
der	bv_doc_id__52_d41e5282
Staatsbürgerschaft	bv_doc_id__52_d41e5284
und	bv_doc_id__52_d41e5286
Heimatrecht	bv_doc_id__52_d41e5288
durch	bv_doc_id__52_d41e5290
Art.10	bv_doc_id__52_d41e5292
der	bv_doc_id__52_d41e5295
Gesetzgebung	bv_doc_id__52_d41e5297
und	bv_doc_id__52_d41e5299
Vollziehung	bv_doc_id__52_d41e5301
dem	bv_doc_id__52_d41e5303
Bund	bv_doc_id__52_d41e5305
überwiesen	bv_doc_id__52_d41e5308
sind	bv_doc_id__52_d41e5310
<g/>
,	
ATt	bv_doc_id__52_d41e5314
<g/>
.	
4	bv_doc_id__52_d41e5318
<g/>
,	
Abs	bv_doc_id__52_d41e5323
<g/>
.	
1	bv_doc_id__52_d41e5327
bis	bv_doc_id__52_d41e5329
3	bv_doc_id__52_d41e5331
<g/>
,	
übernaupt	bv_doc_id__52_d41e5336
gestrichen	bv_doc_id__52_d41e5338
werden	bv_doc_id__52_d41e5340
könnte	bv_doc_id__52_d41e5342
<g/>
.	
Man	bv_doc_id__52_d41e5347
könde	bv_doc_id__52_d41e5349
sachlich	bv_doc_id__52_d41e5351
die	bv_doc_id__52_d41e5353
Vollziehung	bv_doc_id__52_d41e5355
bezüglich	bv_doc_id__52_d41e5357
Landesbürgerschaft	bv_doc_id__52_d41e5360
und	bv_doc_id__52_d41e5362
Heimatrecht	bv_doc_id__52_d41e5364
den	bv_doc_id__52_d41e5366
Ländern	bv_doc_id__52_d41e5368
überlassen	bv_doc_id__52_d41e5370
<g/>
,	
bleibt	bv_doc_id__52_d41e5375
es	bv_doc_id__52_d41e5377
aber	bv_doc_id__52_d41e5379
bei	bv_doc_id__52_d41e5381
der	bv_doc_id__52_d41e5383
jetzigen	bv_doc_id__52_d41e5386
Kompatanzverteilung	bv_doc_id__52_d41e5388
<g/>
,	
dann	bv_doc_id__52_d41e5392
könne	bv_doc_id__52_d41e5394
der	bv_doc_id__52_d41e5396
Artikel	bv_doc_id__52_d41e5399
bie	bv_doc_id__52_d41e5401
auf	bv_doc_id__52_d41e5403
den	bv_doc_id__52_d41e5405
rierten	bv_doc_id__52_d41e5407
Absatz	bv_doc_id__52_d41e5409
gestrichen	bv_doc_id__52_d41e5412
werden	bv_doc_id__52_d41e5414
<g/>
.	
Präsident	bv_doc_id__52_d41e5418
Seitz	bv_doc_id__52_d41e5420
meint	bv_doc_id__52_d41e5422
jedach	bv_doc_id__52_d41e5425
<g/>
,	
daß	bv_doc_id__52_d41e5429
es	bv_doc_id__52_d41e5431
der	bv_doc_id__52_d41e5433
Arbeiterschaft	bv_doc_id__52_d41e5435
nicht	bv_doc_id__52_d41e5438
gleichgültig	bv_doc_id__52_d41e5440
ssin	bv_doc_id__52_d41e5442
könne	bv_doc_id__52_d41e5444
<g/>
,	
daß	bv_doc_id__52_d41e5448
in	bv_doc_id__52_d41e5451
Leinatrechtsfragen	bv_doc_id__52_d41e5453
der	bv_doc_id__52_d41e5455
Rechtezug	bv_doc_id__52_d41e5457
nicht	bv_doc_id__52_d41e5459
bei	bv_doc_id__52_d41e5461
den	bv_doc_id__52_d41e5464
Ländern	bv_doc_id__52_d41e5466
endigt	bv_doc_id__52_d41e5468
<g/>
.	
Ebense	bv_doc_id__52_d41e5472
sei	bv_doc_id__52_d41e5474
ea	bv_doc_id__52_d41e5477
wegen	bv_doc_id__52_d41e5479
der	bv_doc_id__52_d41e5481
Invalidenversorgung	bv_doc_id__52_d41e5483
für	bv_doc_id__52_d41e5485
den	bv_doc_id__52_d41e5487
Bund	bv_doc_id__52_d41e5490
von	bv_doc_id__52_d41e5492
Richtigkeitsin	bv_doc_id__52_d41e5494
letzter	bv_doc_id__52_d41e5496
Instanz	bv_doc_id__52_d41e5498
zu	bv_doc_id__52_d41e5500
entscheiden	bv_doc_id__52_d41e5503
<g/>
.	
Nachden	bv_doc_id__52_d41e5507
der	bv_doc_id__52_d41e5509
Unterausschud	bv_doc_id__52_d41e5511
für	bv_doc_id__52_d41e5513
dts	bv_doc_id__52_d41e5516
<g/>
.	
1	bv_doc_id__52_d41e5520
das	bv_doc_id__52_d41e5522
Art.4	bv_doc_id__52_d41e5524
folgenden	bv_doc_id__52_d41e5526
Wortlaut	bv_doc_id__52_d41e5529
zugestimmt	bv_doc_id__52_d41e5531
hat	bv_doc_id__52_d41e5533
<g/>
:	
"42	bv_doc_id__52_d41e5537
<g/>
)	
Für	bv_doc_id__52_d41e5542
jedes	bv_doc_id__52_d41e5544
Land	bv_doc_id__52_d41e5546
besteht	bv_doc_id__52_d41e5548
eine	bv_doc_id__52_d41e5550
Landesbärgerschaft	bv_doc_id__52_d41e5552
<g/>
.	
Veraussetzung	bv_doc_id__52_d41e5557
der	bv_doc_id__52_d41e5559
Landesburgerschaft	bv_doc_id__52_d41e5561
ist	bv_doc_id__52_d41e5563
das	bv_doc_id__52_d41e5565
Heimatrecht	bv_doc_id__52_d41e5568
in	bv_doc_id__52_d41e5570
einer	bv_doc_id__52_d41e5572
138	bv_doc_id__52_d41e5578
-10-	bv_doc_id__52_d41e5582
Gemeinde	bv_doc_id__52_d41e5584
des	bv_doc_id__52_d41e5586
Landen	bv_doc_id__52_d41e5589
<g/>
.	
Die	bv_doc_id__52_d41e5593
Bedingungen	bv_doc_id__52_d41e5595
für	bv_doc_id__52_d41e5597
den	bv_doc_id__52_d41e5599
Erwerb	bv_doc_id__52_d41e5602
und	bv_doc_id__52_d41e5604
den	bv_doc_id__52_d41e5606
Verlust	bv_doc_id__52_d41e5608
der	bv_doc_id__52_d41e5610
Landesbürgerschaft	bv_doc_id__52_d41e5612
