<doc id="bv_doc_id__21" attrs="word lemma type">
Fassung	bv_doc_id__21_d12e331
46.	bv_doc_id__21_d12e12455
Die	bv_doc_id__21_d12e12460
Mitglieder	bv_doc_id__21_d12e12462
der	bv_doc_id__21_d12e12464
Bundesregierung	bv_doc_id__21_d12e12466
sowie	bv_doc_id__21_d12e12468
die	bv_doc_id__21_d12e12471
von	bv_doc_id__21_d12e12473
ihnen	bv_doc_id__21_d12e12475
entsendeten	bv_doc_id__21_d12e12477
Vertreter	bv_doc_id__21_d12e12479
sind	bv_doc_id__21_d12e12481
berechtigt	bv_doc_id__21_d12e12484
<g/>
,	
an	bv_doc_id__21_d12e12488
allen	bv_doc_id__21_d12e12490
Beratungen	bv_doc_id__21_d12e12492
des	bv_doc_id__21_d12e12494
Nationalrates	bv_doc_id__21_d12e12497
<g/>
,	
des	bv_doc_id__21_d12e12501
Bundesrates	bv_doc_id__21_d12e12503
und	bv_doc_id__21_d12e12505
der	bv_doc_id__21_d12e12507
Bundesversammlung	bv_doc_id__21_d12e12510
sowie	bv_doc_id__21_d12e12512
der	bv_doc_id__21_d12e12514
Ausschüsse	bv_doc_id__21_d12e12516
dieser	bv_doc_id__21_d12e12518
Vertretungskörper	bv_doc_id__21_d12e12520
teilzunehmen	bv_doc_id__21_d12e12523
<g/>
,	
an	bv_doc_id__21_d12e12527
den	bv_doc_id__21_d12e12529
Beratungen	bv_doc_id__21_d12e12531
des	bv_doc_id__21_d12e12533
Hauptausschusses	bv_doc_id__21_d12e12536
des	bv_doc_id__21_d12e12538
Nationalrates	bv_doc_id__21_d12e12540
jedoch	bv_doc_id__21_d12e12542
nur	bv_doc_id__21_d12e12544
auf	bv_doc_id__21_d12e12546
besondere	bv_doc_id__21_d12e12549
Einladung	bv_doc_id__21_d12e12551
<g/>
.	
Sie	bv_doc_id__21_d12e12555
müssen	bv_doc_id__21_d12e12557
auf	bv_doc_id__21_d12e12559
ihr	bv_doc_id__21_d12e12562
Verlangen	bv_doc_id__21_d12e12564
jedesmal	bv_doc_id__21_d12e12566
gehört	bv_doc_id__21_d12e12568
werden	bv_doc_id__21_d12e12570
<g/>
.	
Der	bv_doc_id__21_d12e12575
Nationalrat	bv_doc_id__21_d12e12577
<g/>
,	
der	bv_doc_id__21_d12e12581
Bundesrat	bv_doc_id__21_d12e12583
und	bv_doc_id__21_d12e12585
die	bv_doc_id__21_d12e12588
Bundesversammlung	bv_doc_id__21_d12e12590
sowie	bv_doc_id__21_d12e12592
deren	bv_doc_id__21_d12e12594
Ausschüsse	bv_doc_id__21_d12e12596
können	bv_doc_id__21_d12e12598
die	bv_doc_id__21_d12e12601
Anwesenheit	bv_doc_id__21_d12e12603
der	bv_doc_id__21_d12e12605
Mitglieder	bv_doc_id__21_d12e12607
der	bv_doc_id__21_d12e12609
Bundesregierung	bv_doc_id__21_d12e12611
verlangen	bv_doc_id__21_d12e12614
<g/>
.	
Artikel	bv_doc_id__21_d12e12624
47.	bv_doc_id__21_d12e12626
Der	bv_doc_id__21_d12e12631
Nationalrat	bv_doc_id__21_d12e12633
und	bv_doc_id__21_d12e12635
der	bv_doc_id__21_d12e12637
Bundesrat	bv_doc_id__21_d12e12639
sind	bv_doc_id__21_d12e12642
befugt	bv_doc_id__21_d12e12644
<g/>
,	
die	bv_doc_id__21_d12e12648
Geschäftsführung	bv_doc_id__21_d12e12650
der	bv_doc_id__21_d12e12652
Bundesregierung	bv_doc_id__21_d12e12655
zu	bv_doc_id__21_d12e12657
überprüfen	bv_doc_id__21_d12e12659
<g/>
,	
deren	bv_doc_id__21_d12e12663
Mitglieder	bv_doc_id__21_d12e12665
über	bv_doc_id__21_d12e12668
alle	bv_doc_id__21_d12e12670
Gegenstände	bv_doc_id__21_d12e12672
der	bv_doc_id__21_d12e12674
Vollziehung	bv_doc_id__21_d12e12676
zu	bv_doc_id__21_d12e12678
befragen	bv_doc_id__21_d12e12681
und	bv_doc_id__21_d12e12683
alle	bv_doc_id__21_d12e12685
einschlägigen	bv_doc_id__21_d12e12687
Auskünfte	bv_doc_id__21_d12e12689
zu	bv_doc_id__21_d12e12691
verlangen	bv_doc_id__21_d12e12694
sowie	bv_doc_id__21_d12e12696
ihren	bv_doc_id__21_d12e12698
Wünschen	bv_doc_id__21_d12e12700
über	bv_doc_id__21_d12e12702
die	bv_doc_id__21_d12e12704
Ausübung	bv_doc_id__21_d12e12707
der	bv_doc_id__21_d12e12709
Regierungs=	bv_doc_id__21_d12e12711
und	bv_doc_id__21_d12e12713
Vollzugsgewalt	bv_doc_id__21_d12e12715
in	bv_doc_id__21_d12e12717
Entschließungen	bv_doc_id__21_d12e12720
Ausdruck	bv_doc_id__21_d12e12722
zu	bv_doc_id__21_d12e12724
geben	bv_doc_id__21_d12e12726
<g/>
.	
Artikel	bv_doc_id__21_d12e12736
48.	bv_doc_id__21_d12e12738
<g/>
(	
1	bv_doc_id__21_d12e12747
<g/>
)	
Der	bv_doc_id__21_d12e12752
Nationalrat	bv_doc_id__21_d12e12754
kann	bv_doc_id__21_d12e12756
durch	bv_doc_id__21_d12e12758
Beschluß	bv_doc_id__21_d12e12761
Untersuchungsausschüsse	bv_doc_id__21_d12e12763
einsetzen	bv_doc_id__21_d12e12765
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e12776
<g/>
)	
Die	bv_doc_id__21_d12e12781
Gerichte	bv_doc_id__21_d12e12783
und	bv_doc_id__21_d12e12785
alle	bv_doc_id__21_d12e12787
anderen	bv_doc_id__21_d12e12790
Behörden	bv_doc_id__21_d12e12792
sind	bv_doc_id__21_d12e12794
verpflichtet	bv_doc_id__21_d12e12796
<g/>
,	
dem	bv_doc_id__21_d12e12800
Ersuchen	bv_doc_id__21_d12e12803
dieser	bv_doc_id__21_d12e12805
Ausschüsse	bv_doc_id__21_d12e12807
um	bv_doc_id__21_d12e12809
Beweiserhebungen	bv_doc_id__21_d12e12811
Folge	bv_doc_id__21_d12e12813
zu	bv_doc_id__21_d12e12816
leisten	bv_doc_id__21_d12e12818
<g/>
;	
alle	bv_doc_id__21_d12e12822
öffentlichen	bv_doc_id__21_d12e12824
Ämter	bv_doc_id__21_d12e12826
haben	bv_doc_id__21_d12e12829
auf	bv_doc_id__21_d12e12831
Verlangen	bv_doc_id__21_d12e12833
ihre	bv_doc_id__21_d12e12835
Akten	bv_doc_id__21_d12e12837
vorzulegen	bv_doc_id__21_d12e12839
<g/>
.	
<g/>
(	
3	bv_doc_id__21_d12e12851
<g/>
)	
Das	bv_doc_id__21_d12e12856
Verfahren	bv_doc_id__21_d12e12858
der	bv_doc_id__21_d12e12860
Untersuchungsausschüsse	bv_doc_id__21_d12e12862
wird	bv_doc_id__21_d12e12865
durch	bv_doc_id__21_d12e12867
das	bv_doc_id__21_d12e12869
Geschäftsordnungsgesetz	bv_doc_id__21_d12e12871
geregelt	bv_doc_id__21_d12e12873
<g/>
.	
Drittes	bv_doc_id__21_d12e12885
Hauptstück	bv_doc_id__21_d12e12887
<g/>
.	
Von	bv_doc_id__21_d12e12894
der	bv_doc_id__21_d12e12896
Vollziehung	bv_doc_id__21_d12e12898
des	bv_doc_id__21_d12e12900
Bundes	bv_doc_id__21_d12e12902
<g/>
.	
A	bv_doc_id__21_d12e12912
<g/>
.	
Von	bv_doc_id__21_d12e12916
der	bv_doc_id__21_d12e12918
Regierungsgewalt	bv_doc_id__21_d12e12920
des	bv_doc_id__21_d12e12923
Bundes	bv_doc_id__21_d12e12925
<g/>
.	
1.	bv_doc_id__21_d12e12934
Der	bv_doc_id__21_d12e12936
Bundespräsident	bv_doc_id__21_d12e12938
<g/>
.	
Artikel	bv_doc_id__21_d12e12947
49.	bv_doc_id__21_d12e12949
<g/>
(	
1	bv_doc_id__21_d12e12958
<g/>
)	
Der	bv_doc_id__21_d12e12963
Bundespräsident	bv_doc_id__21_d12e12965
wird	bv_doc_id__21_d12e12967
von	bv_doc_id__21_d12e12969
der	bv_doc_id__21_d12e12972
Bundesversammlung	bv_doc_id__21_d12e12974
gemäß	bv_doc_id__21_d12e12976
Artikel	bv_doc_id__21_d12e12978
29	bv_doc_id__21_d12e12980
a	bv_doc_id__21_d12e12982
in	bv_doc_id__21_d12e12985
namentlicher	bv_doc_id__21_d12e12987
Abstimmung	bv_doc_id__21_d12e12989
mit	bv_doc_id__21_d12e12991
Stimmzetteln	bv_doc_id__21_d12e12993
gewählt	bv_doc_id__21_d12e12995
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e13007
<g/>
)	
Sein	bv_doc_id__21_d12e13012
Amt	bv_doc_id__21_d12e13014
dauert	bv_doc_id__21_d12e13016
vier	bv_doc_id__21_d12e13018
Jahre	bv_doc_id__21_d12e13021
<g/>
.	
Einmalige	bv_doc_id__21_d12e13025
Wiederwahl	bv_doc_id__21_d12e13027
ist	bv_doc_id__21_d12e13029
zulässig	bv_doc_id__21_d12e13031
<g/>
.	
<g/>
(	
3	bv_doc_id__21_d12e13043
<g/>
)	
Zum	bv_doc_id__21_d12e13048
Bundespräsidenten	bv_doc_id__21_d12e13050
kann	bv_doc_id__21_d12e13052
nur	bv_doc_id__21_d12e13054
gewählt	bv_doc_id__21_d12e13057
werden	bv_doc_id__21_d12e13059
<g/>
,	
wer	bv_doc_id__21_d12e13063
das	bv_doc_id__21_d12e13065
aktive	bv_doc_id__21_d12e13067
Wahlrecht	bv_doc_id__21_d12e13070
zum	bv_doc_id__21_d12e13072
Nationalrat	bv_doc_id__21_d12e13074
und	bv_doc_id__21_d12e13076
vor	bv_doc_id__21_d12e13078
dem	bv_doc_id__21_d12e13080
1.	bv_doc_id__21_d12e13083
Jänner	bv_doc_id__21_d12e13085
des	bv_doc_id__21_d12e13087
Jahres	bv_doc_id__21_d12e13089
der	bv_doc_id__21_d12e13091
Wahl	bv_doc_id__21_d12e13093
das	bv_doc_id__21_d12e13096
35.	bv_doc_id__21_d12e13098
Lebensjahr	bv_doc_id__21_d12e13100
überschritten	bv_doc_id__21_d12e13102
hat	bv_doc_id__21_d12e13104
<g/>
.	
<g/>
(	
4	bv_doc_id__21_d12e13115
<g/>
)	
Ausgeschlossen	bv_doc_id__21_d12e13120
von	bv_doc_id__21_d12e13122
der	bv_doc_id__21_d12e13124
Wählbarkeit	bv_doc_id__21_d12e13126
sind	bv_doc_id__21_d12e13129
Mitglieder	bv_doc_id__21_d12e13131
regierender	bv_doc_id__21_d12e13133
oder	bv_doc_id__21_d12e13135
ehemals	bv_doc_id__21_d12e13137
regierender	bv_doc_id__21_d12e13139
Häuser	bv_doc_id__21_d12e13142
<g/>
.	
<g/>
(	
5	bv_doc_id__21_d12e13154
<g/>
)	
Gewählt	bv_doc_id__21_d12e13159
ist	bv_doc_id__21_d12e13161
<g/>
,	
wer	bv_doc_id__21_d12e13165
mehr	bv_doc_id__21_d12e13168
als	bv_doc_id__21_d12e13170
die	bv_doc_id__21_d12e13172
Hälfte	bv_doc_id__21_d12e13174
aller	bv_doc_id__21_d12e13176
abgegebenen	bv_doc_id__21_d12e13178
Stimmen	bv_doc_id__21_d12e13181
für	bv_doc_id__21_d12e13183
sich	bv_doc_id__21_d12e13185
hat	bv_doc_id__21_d12e13187
<g/>
.	
Kommt	bv_doc_id__21_d12e13191
eine	bv_doc_id__21_d12e13194
solche	bv_doc_id__21_d12e13196
Mehrheit	bv_doc_id__21_d12e13198
nicht	bv_doc_id__21_d12e13200
zustande	bv_doc_id__21_d12e13202
<g/>
,	
werden	bv_doc_id__21_d12e13207
die	bv_doc_id__21_d12e13209
Wahlgänge	bv_doc_id__21_d12e13211
solange	bv_doc_id__21_d12e13213
wiederholt	bv_doc_id__21_d12e13215
<g/>
,	
bis	bv_doc_id__21_d12e13220
sich	bv_doc_id__21_d12e13222
eine	bv_doc_id__21_d12e13224
unbedingte	bv_doc_id__21_d12e13226
Mehrheit	bv_doc_id__21_d12e13228
für	bv_doc_id__21_d12e13230
eine	bv_doc_id__21_d12e13233
Person	bv_doc_id__21_d12e13235
ergibt	bv_doc_id__21_d12e13237
<g/>
.	
Artikel	bv_doc_id__21_d12e13247
50.	bv_doc_id__21_d12e13249
Der	bv_doc_id__21_d12e13254
Bundespräsident	bv_doc_id__21_d12e13256
darf	bv_doc_id__21_d12e13258
während	bv_doc_id__21_d12e13260
seiner	bv_doc_id__21_d12e13262
Amtstätigkeit	bv_doc_id__21_d12e13265
keiner	bv_doc_id__21_d12e13267
politischen	bv_doc_id__21_d12e13269
Körperschaft	bv_doc_id__21_d12e13271
angehören	bv_doc_id__21_d12e13273
und	bv_doc_id__21_d12e13275
keinen	bv_doc_id__21_d12e13278
anderen	bv_doc_id__21_d12e13280
Beruf	bv_doc_id__21_d12e13282
ausüben	bv_doc_id__21_d12e13284
<g/>
.	
Artikel	bv_doc_id__21_d12e13296
51.	bv_doc_id__21_d12e13298
Der	bv_doc_id__21_d12e13303
Bundespräsident	bv_doc_id__21_d12e13305
leistet	bv_doc_id__21_d12e13307
bei	bv_doc_id__21_d12e13309
Antritt	bv_doc_id__21_d12e13311
seines	bv_doc_id__21_d12e13314
Amtes	bv_doc_id__21_d12e13316
vor	bv_doc_id__21_d12e13318
der	bv_doc_id__21_d12e13320
Bundesversammlung	bv_doc_id__21_d12e13322
das	bv_doc_id__21_d12e13324
Gelöbnis	bv_doc_id__21_d12e13327
<g/>
:	
„Ich	bv_doc_id__21_d12e13334
gelobe	bv_doc_id__21_d12e13336
<g/>
,	
daß	bv_doc_id__21_d12e13340
ich	bv_doc_id__21_d12e13342
die	bv_doc_id__21_d12e13345
Verfassung	bv_doc_id__21_d12e13347
und	bv_doc_id__21_d12e13349
alle	bv_doc_id__21_d12e13351
Gesetze	bv_doc_id__21_d12e13353
der	bv_doc_id__21_d12e13355
Republik	bv_doc_id__21_d12e13358
getreulich	bv_doc_id__21_d12e13360
beobachten	bv_doc_id__21_d12e13362
und	bv_doc_id__21_d12e13364
meine	bv_doc_id__21_d12e13366
Pflicht	bv_doc_id__21_d12e13368
nach	bv_doc_id__21_d12e13371
bestem	bv_doc_id__21_d12e13373
Wissen	bv_doc_id__21_d12e13375
und	bv_doc_id__21_d12e13377
Gewissen	bv_doc_id__21_d12e13379
erfüllen	bv_doc_id__21_d12e13381
werde	bv_doc_id__21_d12e13384
<g/>
.	
Artikel	bv_doc_id__21_d12e13394
52.	bv_doc_id__21_d12e13396
<g/>
(	
1	bv_doc_id__21_d12e13405
<g/>
)	
Eine	bv_doc_id__21_d12e13410
behördliche	bv_doc_id__21_d12e13412
Verfolgung	bv_doc_id__21_d12e13414
des	bv_doc_id__21_d12e13416
Bundespräsidenten	bv_doc_id__21_d12e13419
ist	bv_doc_id__21_d12e13421
nur	bv_doc_id__21_d12e13423
zulässig	bv_doc_id__21_d12e13425
<g/>
,	
wenn	bv_doc_id__21_d12e13429
ihr	bv_doc_id__21_d12e13432
die	bv_doc_id__21_d12e13434
Bundesversammlung	bv_doc_id__21_d12e13436
zugestimmt	bv_doc_id__21_d12e13438
hat	bv_doc_id__21_d12e13440
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e13451
<g/>
)	
Der	bv_doc_id__21_d12e13456
Antrag	bv_doc_id__21_d12e13458
auf	bv_doc_id__21_d12e13460
Verfolgung	bv_doc_id__21_d12e13462
des	bv_doc_id__21_d12e13465
Bundespräsidenten	bv_doc_id__21_d12e13467
ist	bv_doc_id__21_d12e13469
von	bv_doc_id__21_d12e13471
der	bv_doc_id__21_d12e13473
zuständigen	bv_doc_id__21_d12e13475
Behörde	bv_doc_id__21_d12e13478
beim	bv_doc_id__21_d12e13480
Nationalrat	bv_doc_id__21_d12e13482
zu	bv_doc_id__21_d12e13484
stellen	bv_doc_id__21_d12e13486
<g/>
,	
welcher	bv_doc_id__21_d12e13491
beschließt	bv_doc_id__21_d12e13493
<g/>
,	
ob	bv_doc_id__21_d12e13497
die	bv_doc_id__21_d12e13499
Spricht	bv_doc_id__21_d12e13501
Bundesversammlung	bv_doc_id__21_d12e13504
damit	bv_doc_id__21_d12e13506
zu	bv_doc_id__21_d12e13508
befassen	bv_doc_id__21_d12e13510
ist	bv_doc_id__21_d12e13512
<g/>
.	
sich	bv_doc_id__21_d12e13517
der	bv_doc_id__21_d12e13519
Nationalrat	bv_doc_id__21_d12e13521
für	bv_doc_id__21_d12e13523
die	bv_doc_id__21_d12e13525
Befassung	bv_doc_id__21_d12e13527
aus	bv_doc_id__21_d12e13530
<g/>
,	
hat	bv_doc_id__21_d12e13534
der	bv_doc_id__21_d12e13536
Bundeskanzler	bv_doc_id__21_d12e13538
die	bv_doc_id__21_d12e13540
Bundesversammlung	bv_doc_id__21_d12e13543
innerhalb	bv_doc_id__21_d12e13545
dreier	bv_doc_id__21_d12e13547
Wochen	bv_doc_id__21_d12e13549
einzuberufen	bv_doc_id__21_d12e13551
<g/>
.	
Artikel	bv_doc_id__21_d12e13562
53.	bv_doc_id__21_d12e13564
<g/>
(	
1	bv_doc_id__21_d12e13573
<g/>
)	
Wenn	bv_doc_id__21_d12e13578
der	bv_doc_id__21_d12e13580
Bundespräsident	bv_doc_id__21_d12e13582
verhindert	bv_doc_id__21_d12e13584
oder	bv_doc_id__21_d12e13587
wenn	bv_doc_id__21_d12e13589
eine	bv_doc_id__21_d12e13591
Stelle	bv_doc_id__21_d12e13593
dauernd	bv_doc_id__21_d12e13595
erledigt	bv_doc_id__21_d12e13597
ist	bv_doc_id__21_d12e13600
<g/>
,	
in	bv_doc_id__21_d12e13604
letzterem	bv_doc_id__21_d12e13606
Falle	bv_doc_id__21_d12e13608
bis	bv_doc_id__21_d12e13610
zu	bv_doc_id__21_d12e13613
der	bv_doc_id__21_d12e13615
Wahl	bv_doc_id__21_d12e13617
seines	bv_doc_id__21_d12e13619
Nachfolgers	bv_doc_id__21_d12e13621
<g/>
,	
gehen	bv_doc_id__21_d12e13626
alle	bv_doc_id__21_d12e13628
Funktionen	bv_doc_id__21_d12e13630
des	bv_doc_id__21_d12e13632
Bundespräsidenten	bv_doc_id__21_d12e13634
auf	bv_doc_id__21_d12e13636
den	bv_doc_id__21_d12e13639
Bundeskanzler	bv_doc_id__21_d12e13641
über	bv_doc_id__21_d12e13643
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e13654
<g/>
)	
Dieser	bv_doc_id__21_d12e13659
hat	bv_doc_id__21_d12e13661
im	bv_doc_id__21_d12e13663
Falle	bv_doc_id__21_d12e13665
der	bv_doc_id__21_d12e13668
dauernden	bv_doc_id__21_d12e13670
Erledigung	bv_doc_id__21_d12e13672
der	bv_doc_id__21_d12e13674
Stelle	bv_doc_id__21_d12e13676
des	bv_doc_id__21_d12e13678
Bundespräsidenten	bv_doc_id__21_d12e13681
sofort	bv_doc_id__21_d12e13683
die	bv_doc_id__21_d12e13685
Neuwahl	bv_doc_id__21_d12e13687
auszuschreiben	bv_doc_id__21_d12e13689
und	bv_doc_id__21_d12e13691
durchzuführen	bv_doc_id__21_d12e13694
<g/>
.	
Artikel	bv_doc_id__21_d12e13704
54.	bv_doc_id__21_d12e13706
<g/>
(	
1	bv_doc_id__21_d12e13715
<g/>
)	
Der	bv_doc_id__21_d12e13720
Bundespräsident	bv_doc_id__21_d12e13722
vertritt	bv_doc_id__21_d12e13724
die	bv_doc_id__21_d12e13726
Republik	bv_doc_id__21_d12e13729
nach	bv_doc_id__21_d12e13731
außen	bv_doc_id__21_d12e13733
<g/>
,	
empfängt	bv_doc_id__21_d12e13737
und	bv_doc_id__21_d12e13739
beglaubigt	bv_doc_id__21_d12e13742
die	bv_doc_id__21_d12e13744
Gesandten	bv_doc_id__21_d12e13746
<g/>
,	
genehmigt	bv_doc_id__21_d12e13750
die	bv_doc_id__21_d12e13752
Bestellung	bv_doc_id__21_d12e13755
der	bv_doc_id__21_d12e13757
fremden	bv_doc_id__21_d12e13759
Konsuln	bv_doc_id__21_d12e13761
<g/>
,	
bestellt	bv_doc_id__21_d12e13765
die	bv_doc_id__21_d12e13768
konsularischen	bv_doc_id__21_d12e13770
Vertreter	bv_doc_id__21_d12e13772
der	bv_doc_id__21_d12e13774
Republik	bv_doc_id__21_d12e13776
im	bv_doc_id__21_d12e13778
Ausland	bv_doc_id__21_d12e13781
und	bv_doc_id__21_d12e13783
schließt	bv_doc_id__21_d12e13785
die	bv_doc_id__21_d12e13787
Staatsverträge	bv_doc_id__21_d12e13789
ab	bv_doc_id__21_d12e13791
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e13803
<g/>
)	
Weiter	bv_doc_id__21_d12e13808
stehen	bv_doc_id__21_d12e13810
ihmaußer	bv_doc_id__21_d12e13812
den	bv_doc_id__21_d12e13814
ihm	bv_doc_id__21_d12e13817
nach	bv_doc_id__21_d12e13819
anderen	bv_doc_id__21_d12e13821
Bestimmungen	bv_doc_id__21_d12e13823
dieser	bv_doc_id__21_d12e13825
Verfassung	bv_doc_id__21_d12e13827
übertragenen	bv_doc_id__21_d12e13830
Befugnissen	bv_doc_id__21_d12e13832
—	bv_doc_id__21_d12e13834
zu	bv_doc_id__21_d12e13836
<g/>
:	
a	bv_doc_id__21_d12e13844
<g/>
.	
die	bv_doc_id__21_d12e13851
Ernennung	bv_doc_id__21_d12e13853
der	bv_doc_id__21_d12e13855
Bundesangestellten	bv_doc_id__21_d12e13857
<g/>
(	
einschließlich	bv_doc_id__21_d12e13862
der	bv_doc_id__21_d12e13864
Offiziere	bv_doc_id__21_d12e13866
<g/>
)	
und	bv_doc_id__21_d12e13870
der	bv_doc_id__21_d12e13872
sonstigen	bv_doc_id__21_d12e13875
Bundesfunktionäre	bv_doc_id__21_d12e13877
<g/>
,	
die	bv_doc_id__21_d12e13881
Verleihung	bv_doc_id__21_d12e13883
von	bv_doc_id__21_d12e13885
Amtstiteln	bv_doc_id__21_d12e13888
an	bv_doc_id__21_d12e13890
solche	bv_doc_id__21_d12e13892
<g/>
;	
b	bv_doc_id__21_d12e13899
<g/>
.	
die	bv_doc_id__21_d12e13906
Schaffung	bv_doc_id__21_d12e13908
von	bv_doc_id__21_d12e13910
Amts=	bv_doc_id__21_d12e13912
und	bv_doc_id__21_d12e13914
Berufstiteln	bv_doc_id__21_d12e13917
<g/>
,	
die	bv_doc_id__21_d12e13921
Verleihung	bv_doc_id__21_d12e13923
der	bv_doc_id__21_d12e13925
Berufstitel	bv_doc_id__21_d12e13927
<g/>
;	
c	bv_doc_id__21_d12e13935
<g/>
.	
die	bv_doc_id__21_d12e13943
Begnadigung	bv_doc_id__21_d12e13945
der	bv_doc_id__21_d12e13947
von	bv_doc_id__21_d12e13949
den	bv_doc_id__21_d12e13951
Gerichten	bv_doc_id__21_d12e13954
rechtskräftig	bv_doc_id__21_d12e13956
Verurteilten	bv_doc_id__21_d12e13958
<g/>
,	
die	bv_doc_id__21_d12e13962
Milderung	bv_doc_id__21_d12e13964
und	bv_doc_id__21_d12e13967
Umwandlung	bv_doc_id__21_d12e13969
der	bv_doc_id__21_d12e13971
von	bv_doc_id__21_d12e13973
den	bv_doc_id__21_d12e13975
Gerichten	bv_doc_id__21_d12e13977
ausgesprochenen	bv_doc_id__21_d12e13980
Strafen	bv_doc_id__21_d12e13982
<g/>
,	
die	bv_doc_id__21_d12e13986
Nachsicht	bv_doc_id__21_d12e13988
von	bv_doc_id__21_d12e13990
Rechtsfolgen	bv_doc_id__21_d12e13993
und	bv_doc_id__21_d12e13995
die	bv_doc_id__21_d12e13997
Tilgung	bv_doc_id__21_d12e13999
von	bv_doc_id__21_d12e14001
Verurteilungen	bv_doc_id__21_d12e14003
<g/>
,	
ferner	bv_doc_id__21_d12e14008
die	bv_doc_id__21_d12e14010
Abolution	bv_doc_id__21_d12e14012
von	bv_doc_id__21_d12e14014
strafgerichtlichen	bv_doc_id__21_d12e14016
Verfahren	bv_doc_id__21_d12e14019
<g/>
;	
d	bv_doc_id__21_d12e14026
<g/>
.	
die	bv_doc_id__21_d12e14033
Erklärung	bv_doc_id__21_d12e14035
unehelicher	bv_doc_id__21_d12e14037
Kinder	bv_doc_id__21_d12e14039
zu	bv_doc_id__21_d12e14041
ehelichen	bv_doc_id__21_d12e14044
auf	bv_doc_id__21_d12e14046
Ansuchen	bv_doc_id__21_d12e14048
der	bv_doc_id__21_d12e14050
Eltern	bv_doc_id__21_d12e14052
<g/>
.	
<g/>
(	
3	bv_doc_id__21_d12e14065
<g/>
)	
Inwieweit	bv_doc_id__21_d12e14070
dem	bv_doc_id__21_d12e14072
Bundespräsidenten	bv_doc_id__21_d12e14074
außerdem	bv_doc_id__21_d12e14076
noch	bv_doc_id__21_d12e14079
Befugnisse	bv_doc_id__21_d12e14081
hinsichtlich	bv_doc_id__21_d12e14083
Gewährung	bv_doc_id__21_d12e14085
von	bv_doc_id__21_d12e14087
Ehrenrechten	bv_doc_id__21_d12e14089
<g/>
,	
außerordentlichen	bv_doc_id__21_d12e14094
Zuwendungen	bv_doc_id__21_d12e14096
<g/>
,	
Zulagen	bv_doc_id__21_d12e14100
und	bv_doc_id__21_d12e14102
Versorgungsgenüssen	bv_doc_id__21_d12e14105
<g/>
,	
Ernennungs=	bv_doc_id__21_d12e14109
oder	bv_doc_id__21_d12e14111
Bestätigungsrechten	bv_doc_id__21_d12e14113
und	bv_doc_id__21_d12e14115
sonstigen	bv_doc_id__21_d12e14118
Befugnissen	bv_doc_id__21_d12e14120
in	bv_doc_id__21_d12e14122
Personalangelegenheiten	bv_doc_id__21_d12e14124
zustehen	bv_doc_id__21_d12e14126
<g/>
,	
bestimmen	bv_doc_id__21_d12e14131
besondere	bv_doc_id__21_d12e14133
Gesetze	bv_doc_id__21_d12e14135
<g/>
.	
Artikel	bv_doc_id__21_d12e14145
55.	bv_doc_id__21_d12e14147
Der	bv_doc_id__21_d12e14152
Bundespräsident	bv_doc_id__21_d12e14154
kann	bv_doc_id__21_d12e14156
das	bv_doc_id__21_d12e14158
ihm	bv_doc_id__21_d12e14160
zustehende	bv_doc_id__21_d12e14163
Recht	bv_doc_id__21_d12e14165
der	bv_doc_id__21_d12e14167
Ernennung	bv_doc_id__21_d12e14169
von	bv_doc_id__21_d12e14171
Bundesangestellten	bv_doc_id__21_d12e14173
bestimmter	bv_doc_id__21_d12e14176
Kategorien	bv_doc_id__21_d12e14178
den	bv_doc_id__21_d12e14180
ressortmäßig	bv_doc_id__21_d12e14182
zuständigen	bv_doc_id__21_d12e14184
Mitgliedern	bv_doc_id__21_d12e14186
der	bv_doc_id__21_d12e14189
Bundesregierung	bv_doc_id__21_d12e14191
übertragen	bv_doc_id__21_d12e14193
<g/>
.	
Artikel	bv_doc_id__21_d12e14203
56.	bv_doc_id__21_d12e14205
<g/>
(	
1	bv_doc_id__21_d12e14214
<g/>
)	
Alle	bv_doc_id__21_d12e14219
Akte	bv_doc_id__21_d12e14221
des	bv_doc_id__21_d12e14223
Bundespräsidenten	bv_doc_id__21_d12e14225
erfolgen	bv_doc_id__21_d12e14228
<g/>
,	
soweit	bv_doc_id__21_d12e14232
nicht	bv_doc_id__21_d12e14234
verfassungsmäßig	bv_doc_id__21_d12e14236
anderes	bv_doc_id__21_d12e14238
bestimmt	bv_doc_id__21_d12e14241
ist	bv_doc_id__21_d12e14243
<g/>
,	
auf	bv_doc_id__21_d12e14247
Vorschlag	bv_doc_id__21_d12e14249
der	bv_doc_id__21_d12e14251
Bundesregierung	bv_doc_id__21_d12e14254
oder	bv_doc_id__21_d12e14256
des	bv_doc_id__21_d12e14258
von	bv_doc_id__21_d12e14260
dieser	bv_doc_id__21_d12e14262
hiezu	bv_doc_id__21_d12e14264
ermächtigten	bv_doc_id__21_d12e14267
zuständigen	bv_doc_id__21_d12e14269
Bundesministers	bv_doc_id__21_d12e14271
<g/>
.	
Inwieweit	bv_doc_id__21_d12e14275
