<doc id="bv_doc_id__12" attrs="word lemma type">
991	bv_doc_id__12_d4e409
die	bv_doc_id__12_d4e21228
Kurie	bv_doc_id__12_d4e21230
Land	bv_doc_id__12_d4e21233
die	bv_doc_id__12_d4e21235
Stellung	bv_doc_id__12_d4e21237
des	bv_doc_id__12_d4e21239
Landtages	bv_doc_id__12_d4e21241
<g/>
.	
Die	bv_doc_id__12_d4e21246
Bestimmungen	bv_doc_id__12_d4e21248
des	bv_doc_id__12_d4e21250
Artikels	bv_doc_id__12_d4e21252
58	bv_doc_id__12_d4e21254
gelten	bv_doc_id__12_d4e21256
sinngemäß	bv_doc_id__12_d4e21259
auch	bv_doc_id__12_d4e21261
für	bv_doc_id__12_d4e21263
die	bv_doc_id__12_d4e21265
Mitglieder	bv_doc_id__12_d4e21267
des	bv_doc_id__12_d4e21269
Wiener	bv_doc_id__12_d4e21272
Gemeinderates	bv_doc_id__12_d4e21274
<g/>
.	
Artikel	bv_doc_id__12_d4e21284
112.	bv_doc_id__12_d4e21286
<g/>
(	
1	bv_doc_id__12_d4e21295
<g/>
)	
Zu	bv_doc_id__12_d4e21300
den	bv_doc_id__12_d4e21302
nicht	bv_doc_id__12_d4e21304
gemeinsamen	bv_doc_id__12_d4e21306
Angelegenheiten	bv_doc_id__12_d4e21309
gehört	bv_doc_id__12_d4e21311
die	bv_doc_id__12_d4e21313
Verfassung	bv_doc_id__12_d4e21315
jedes	bv_doc_id__12_d4e21317
der	bv_doc_id__12_d4e21319
beiden	bv_doc_id__12_d4e21322
Landesteile	bv_doc_id__12_d4e21324
<g/>
,	
sowie	bv_doc_id__12_d4e21328
die	bv_doc_id__12_d4e21330
Wahl	bv_doc_id__12_d4e21332
der	bv_doc_id__12_d4e21335
Mitglieder	bv_doc_id__12_d4e21337
zum	bv_doc_id__12_d4e21339
Bundesrate	bv_doc_id__12_d4e21341
<g/>
(	
Artikel	bv_doc_id__12_d4e21345
35	bv_doc_id__12_d4e21348
<g/>
).	
<g/>
(	
2	bv_doc_id__12_d4e21359
<g/>
)	
Ebenso	bv_doc_id__12_d4e21364
steht	bv_doc_id__12_d4e21366
die	bv_doc_id__12_d4e21368
Gesetzgebung	bv_doc_id__12_d4e21370
hinsichtlich	bv_doc_id__12_d4e21373
der	bv_doc_id__12_d4e21375
Abgaben	bv_doc_id__12_d4e21377
<g/>
,	
soweit	bv_doc_id__12_d4e21381
sie	bv_doc_id__12_d4e21383
in	bv_doc_id__12_d4e21386
den	bv_doc_id__12_d4e21388
Wirkungsbereich	bv_doc_id__12_d4e21390
der	bv_doc_id__12_d4e21392
Länder	bv_doc_id__12_d4e21394
fällt	bv_doc_id__12_d4e21396
<g/>
,	
dem	bv_doc_id__12_d4e21401
Gemeinderat	bv_doc_id__12_d4e21403
der	bv_doc_id__12_d4e21405
Stadt	bv_doc_id__12_d4e21407
Wien	bv_doc_id__12_d4e21409
und	bv_doc_id__12_d4e21412
dem	bv_doc_id__12_d4e21414
Landtag	bv_doc_id__12_d4e21416
<g/>
(	
Kurie	bv_doc_id__12_d4e21420
Land	bv_doc_id__12_d4e21422
<g/>
)	
zu	bv_doc_id__12_d4e21427
<g/>
.	
<g/>
(	
3	bv_doc_id__12_d4e21438
<g/>
)	
Die	bv_doc_id__12_d4e21443
Aufbringung	bv_doc_id__12_d4e21445
der	bv_doc_id__12_d4e21447
Kosten	bv_doc_id__12_d4e21449
für	bv_doc_id__12_d4e21452
die	bv_doc_id__12_d4e21454
gemeinsamen	bv_doc_id__12_d4e21456
Angelegenheiten	bv_doc_id__12_d4e21458
regelt	bv_doc_id__12_d4e21460
die	bv_doc_id__12_d4e21462
gemeinsame	bv_doc_id__12_d4e21465
Landesverfassung	bv_doc_id__12_d4e21467
<g/>
.	
Artikel	bv_doc_id__12_d4e21478
113.	bv_doc_id__12_d4e21480
Für	bv_doc_id__12_d4e21485
beide	bv_doc_id__12_d4e21487
Landesteile	bv_doc_id__12_d4e21489
gelten	bv_doc_id__12_d4e21491
die	bv_doc_id__12_d4e21493
allgemeinen	bv_doc_id__12_d4e21496
Bestimmungen	bv_doc_id__12_d4e21498
dieses	bv_doc_id__12_d4e21500
Hauptstückes	bv_doc_id__12_d4e21502
<g/>
.	
Für	bv_doc_id__12_d4e21506
Wien	bv_doc_id__12_d4e21509
hat	bv_doc_id__12_d4e21511
dabei	bv_doc_id__12_d4e21515
der	bv_doc_id__12_d4e21517
vom	bv_doc_id__12_d4e21519
Gemeinderat	bv_doc_id__12_d4e21522
gewählte	bv_doc_id__12_d4e21524
Bürgermeister	bv_doc_id__12_d4e21526
auch	bv_doc_id__12_d4e21528
die	bv_doc_id__12_d4e21530
Stellung	bv_doc_id__12_d4e21532
eines	bv_doc_id__12_d4e21535
Landeshauptmannes	bv_doc_id__12_d4e21537
<g/>
,	
der	bv_doc_id__12_d4e21541
vom	bv_doc_id__12_d4e21543
Gemeinderat	bv_doc_id__12_d4e21545
gewählte	bv_doc_id__12_d4e21548
Stadtsenat	bv_doc_id__12_d4e21550
auch	bv_doc_id__12_d4e21552
die	bv_doc_id__12_d4e21554
Stellung	bv_doc_id__12_d4e21556
einer	bv_doc_id__12_d4e21558
Landesregierung	bv_doc_id__12_d4e21561
und	bv_doc_id__12_d4e21563
der	bv_doc_id__12_d4e21565
Magistratsdirektor	bv_doc_id__12_d4e21567
der	bv_doc_id__12_d4e21569
Stadt	bv_doc_id__12_d4e21571
Wien	bv_doc_id__12_d4e21574
auch	bv_doc_id__12_d4e21576
die	bv_doc_id__12_d4e21578
Stellung	bv_doc_id__12_d4e21580
eines	bv_doc_id__12_d4e21582
Landesamtsdirektors	bv_doc_id__12_d4e21584
<g/>
.	
Artikel	bv_doc_id__12_d4e21595
114.	bv_doc_id__12_d4e21597
<g/>
(	
1	bv_doc_id__12_d4e21606
<g/>
)	
Die	bv_doc_id__12_d4e21611
gemeinsamen	bv_doc_id__12_d4e21613
Angelegenheiten	bv_doc_id__12_d4e21615
werden	bv_doc_id__12_d4e21617
durch	bv_doc_id__12_d4e21620
eine	bv_doc_id__12_d4e21622
vom	bv_doc_id__12_d4e21624
Landtage	bv_doc_id__12_d4e21626
von	bv_doc_id__12_d4e21628
Niederösterreich	bv_doc_id__12_d4e21630
aus	bv_doc_id__12_d4e21633
seiner	bv_doc_id__12_d4e21635
Mitte	bv_doc_id__12_d4e21637
nach	bv_doc_id__12_d4e21639
dem	bv_doc_id__12_d4e21641
Verhältniswahlrecht	bv_doc_id__12_d4e21643
zu	bv_doc_id__12_d4e21646
wählende	bv_doc_id__12_d4e21648
Verwaltungskommission	bv_doc_id__12_d4e21650
verwaltet	bv_doc_id__12_d4e21652
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e21663
<g/>
)	
Der	bv_doc_id__12_d4e21668
Bürgermeister	bv_doc_id__12_d4e21670
der	bv_doc_id__12_d4e21672
Stadt	bv_doc_id__12_d4e21674
Wien	bv_doc_id__12_d4e21677
und	bv_doc_id__12_d4e21679
der	bv_doc_id__12_d4e21681
Landeshauptmann	bv_doc_id__12_d4e21683
von	bv_doc_id__12_d4e21685
Niederösterreich-Land	bv_doc_id__12_d4e21687
gehören	bv_doc_id__12_d4e21690
der	bv_doc_id__12_d4e21692
Verwaltungskommission	bv_doc_id__12_d4e21694
an	bv_doc_id__12_d4e21696
und	bv_doc_id__12_d4e21698
führen	bv_doc_id__12_d4e21700
abwechselnd	bv_doc_id__12_d4e21703
den	bv_doc_id__12_d4e21705
Vorsitz	bv_doc_id__12_d4e21707
<g/>
.	
Artikel	bv_doc_id__12_d4e21717
115.	bv_doc_id__12_d4e21719
Ein	bv_doc_id__12_d4e21724
selbständiges	bv_doc_id__12_d4e21726
Land	bv_doc_id__12_d4e21728
Wien	bv_doc_id__12_d4e21730
kann	bv_doc_id__12_d4e21732
durch	bv_doc_id__12_d4e21735
übereinstimmende	bv_doc_id__12_d4e21737
Gesetze	bv_doc_id__12_d4e21739
des	bv_doc_id__12_d4e21741
Wiener	bv_doc_id__12_d4e21743
Gemeinderates	bv_doc_id__12_d4e21745
und	bv_doc_id__12_d4e21748
des	bv_doc_id__12_d4e21750
Landtages	bv_doc_id__12_d4e21752
von	bv_doc_id__12_d4e21754
Niederösterreich-Land	bv_doc_id__12_d4e21756
gebildet	bv_doc_id__12_d4e21758
werden	bv_doc_id__12_d4e21761
<g/>
.	
C	bv_doc_id__12_d4e21772
<g/>
.	
Gemeinden	bv_doc_id__12_d4e21776
<g/>
.	
Artikel	bv_doc_id__12_d4e21785
116.	bv_doc_id__12_d4e21787
Die	bv_doc_id__12_d4e21792
allgemeine	bv_doc_id__12_d4e21794
staatliche	bv_doc_id__12_d4e21796
Verwaltung	bv_doc_id__12_d4e21798
in	bv_doc_id__12_d4e21800
den	bv_doc_id__12_d4e21803
Ländern	bv_doc_id__12_d4e21805
wird	bv_doc_id__12_d4e21807
gemäß	bv_doc_id__12_d4e21809
den	bv_doc_id__12_d4e21811
nachfolgenden	bv_doc_id__12_d4e21813
Bestimmungen	bv_doc_id__12_d4e21816
nach	bv_doc_id__12_d4e21818
dem	bv_doc_id__12_d4e21820
Grundsatze	bv_doc_id__12_d4e21822
der	bv_doc_id__12_d4e21824
Selbstverwaltung	bv_doc_id__12_d4e21826
eingerichtet	bv_doc_id__12_d4e21829
<g/>
.	
Artikel	bv_doc_id__12_d4e21839
117.	bv_doc_id__12_d4e21841
<g/>
(	
1	bv_doc_id__12_d4e21850
<g/>
)	
Verwaltungssprengel	bv_doc_id__12_d4e21855
und	bv_doc_id__12_d4e21857
Selbstverwaltungskörper	bv_doc_id__12_d4e21859
<g/>
,	
in	bv_doc_id__12_d4e21864
welche	bv_doc_id__12_d4e21866
sich	bv_doc_id__12_d4e21868
die	bv_doc_id__12_d4e21870
Länder	bv_doc_id__12_d4e21872
gliedern	bv_doc_id__12_d4e21874
<g/>
,	
sind	bv_doc_id__12_d4e21879
die	bv_doc_id__12_d4e21881
Ortsgemeinden	bv_doc_id__12_d4e21883
und	bv_doc_id__12_d4e21885
die	bv_doc_id__12_d4e21887
Gebietsgemeinden	bv_doc_id__12_d4e21890
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e21901
<g/>
)	
Die	bv_doc_id__12_d4e21906
Ortsgemeinden	bv_doc_id__12_d4e21908
sind	bv_doc_id__12_d4e21910
den	bv_doc_id__12_d4e21912
Gebietsgemeinden	bv_doc_id__12_d4e21915
und	bv_doc_id__12_d4e21917
diese	bv_doc_id__12_d4e21919
den	bv_doc_id__12_d4e21921
Ländern	bv_doc_id__12_d4e21923
untergeordnet	bv_doc_id__12_d4e21925
<g/>
.	
Artikel	bv_doc_id__12_d4e21936
118.	bv_doc_id__12_d4e21938
<g/>
(	
1	bv_doc_id__12_d4e21947
<g/>
)	
Ortsgemeinden	bv_doc_id__12_d4e21952
mit	bv_doc_id__12_d4e21954
mehr	bv_doc_id__12_d4e21956
als	bv_doc_id__12_d4e21958
20.000	bv_doc_id__12_d4e21961
Einwohnern	bv_doc_id__12_d4e21963
sind	bv_doc_id__12_d4e21965
auf	bv_doc_id__12_d4e21967
ihren	bv_doc_id__12_d4e21969
Antrag	bv_doc_id__12_d4e21971
zu	bv_doc_id__12_d4e21974
Gebietsgemeinden	bv_doc_id__12_d4e21976
zu	bv_doc_id__12_d4e21978
erklären	bv_doc_id__12_d4e21980
<g/>
.	
Bei	bv_doc_id__12_d4e21984
ihnen	bv_doc_id__12_d4e21987
fällt	bv_doc_id__12_d4e21989
die	bv_doc_id__12_d4e21991
Bezirksverwaltung	bv_doc_id__12_d4e21993
mit	bv_doc_id__12_d4e21995
der	bv_doc_id__12_d4e21997
Gemeindeverwaltung	bv_doc_id__12_d4e22000
zusammen	bv_doc_id__12_d4e22002
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e22013
<g/>
)	
Die	bv_doc_id__12_d4e22018
bisherigen	bv_doc_id__12_d4e22020
Städte	bv_doc_id__12_d4e22022
mit	bv_doc_id__12_d4e22024
eigenem	bv_doc_id__12_d4e22027
Statut	bv_doc_id__12_d4e22029
werden	bv_doc_id__12_d4e22031
Gebietsgemeinden	bv_doc_id__12_d4e22033
<g/>
.	
Artikel	bv_doc_id__12_d4e22043
119.	bv_doc_id__12_d4e22045
Die	bv_doc_id__12_d4e22050
Ortsgemeinden	bv_doc_id__12_d4e22052
und	bv_doc_id__12_d4e22054
Gebietsgemeinden	bv_doc_id__12_d4e22056
sind	bv_doc_id__12_d4e22058
auch	bv_doc_id__12_d4e22061
selbständige	bv_doc_id__12_d4e22063
Wirtschaftskörper	bv_doc_id__12_d4e22065
<g/>
;	
sie	bv_doc_id__12_d4e22069
haben	bv_doc_id__12_d4e22071
das	bv_doc_id__12_d4e22074
Recht	bv_doc_id__12_d4e22076
<g/>
,	
Vermögen	bv_doc_id__12_d4e22080
aller	bv_doc_id__12_d4e22082
Art	bv_doc_id__12_d4e22084
zu	bv_doc_id__12_d4e22087
besitzen	bv_doc_id__12_d4e22089
und	bv_doc_id__12_d4e22091
zu	bv_doc_id__12_d4e22093
erwerben	bv_doc_id__12_d4e22095
und	bv_doc_id__12_d4e22097
innerhalb	bv_doc_id__12_d4e22100
der	bv_doc_id__12_d4e22102
Schranken	bv_doc_id__12_d4e22104
der	bv_doc_id__12_d4e22106
Bundes-	bv_doc_id__12_d4e22108
und	bv_doc_id__12_d4e22110
Landesgesetze	bv_doc_id__12_d4e22113
darüber	bv_doc_id__12_d4e22115
zu	bv_doc_id__12_d4e22117
verfügen	bv_doc_id__12_d4e22119
<g/>
,	
wirtschaftliche	bv_doc_id__12_d4e22123
Unternehmungen	bv_doc_id__12_d4e22126
zu	bv_doc_id__12_d4e22128
betreiben	bv_doc_id__12_d4e22130
<g/>
,	
ihren	bv_doc_id__12_d4e22134
Haushalt	bv_doc_id__12_d4e22136
selbständig	bv_doc_id__12_d4e22139
zu	bv_doc_id__12_d4e22141
führen	bv_doc_id__12_d4e22143
und	bv_doc_id__12_d4e22145
Abgaben	bv_doc_id__12_d4e22147
einzuheben	bv_doc_id__12_d4e22149
<g/>
.	
Artikel	bv_doc_id__12_d4e22163
120.	bv_doc_id__12_d4e22165
<g/>
(	
1	bv_doc_id__12_d4e22174
<g/>
)	
Die	bv_doc_id__12_d4e22179
Organe	bv_doc_id__12_d4e22181
der	bv_doc_id__12_d4e22183
Ortsgemeinde	bv_doc_id__12_d4e22185
sind	bv_doc_id__12_d4e22188
die	bv_doc_id__12_d4e22190
Ortsgemeindevertretung	bv_doc_id__12_d4e22192
und	bv_doc_id__12_d4e22194
das	bv_doc_id__12_d4e22196
Ortsgemeindeamt	bv_doc_id__12_d4e22198
<g/>
,	
die	bv_doc_id__12_d4e22203
Organe	bv_doc_id__12_d4e22205
der	bv_doc_id__12_d4e22207
Gebietsgemeinde	bv_doc_id__12_d4e22209
die	bv_doc_id__12_d4e22211
Gebietsgemeindevertretung	bv_doc_id__12_d4e22214
und	bv_doc_id__12_d4e22216
das	bv_doc_id__12_d4e22218
Gebietsgemeindeamt	bv_doc_id__12_d4e22220
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e22231
<g/>
)	
Die	bv_doc_id__12_d4e22236
Wahlen	bv_doc_id__12_d4e22238
in	bv_doc_id__12_d4e22240
alle	bv_doc_id__12_d4e22242
Vertretungen	bv_doc_id__12_d4e22245
finden	bv_doc_id__12_d4e22247
auf	bv_doc_id__12_d4e22249
Grund	bv_doc_id__12_d4e22251
des	bv_doc_id__12_d4e22253
gleichen	bv_doc_id__12_d4e22255
<g/>
,	
unmittelbaren	bv_doc_id__12_d4e22260
<g/>
,	
geheimen	bv_doc_id__12_d4e22264
und	bv_doc_id__12_d4e22266
persönlichen	bv_doc_id__12_d4e22268
Verhältniswahlrechtes	bv_doc_id__12_d4e22271
aller	bv_doc_id__12_d4e22273
Bundesbürger	bv_doc_id__12_d4e22275
statt	bv_doc_id__12_d4e22277
<g/>
,	
die	bv_doc_id__12_d4e22281
im	bv_doc_id__12_d4e22284
Bereich	bv_doc_id__12_d4e22286
der	bv_doc_id__12_d4e22288
zu	bv_doc_id__12_d4e22290
wählenden	bv_doc_id__12_d4e22292
Vertretung	bv_doc_id__12_d4e22294
ihren	bv_doc_id__12_d4e22297
ordentlichen	bv_doc_id__12_d4e22299
Wohnsitz	bv_doc_id__12_d4e22301
haben	bv_doc_id__12_d4e22303
<g/>
.	
Die	bv_doc_id__12_d4e22307
Erlassung	bv_doc_id__12_d4e22310
der	bv_doc_id__12_d4e22312
Wahlordnungen	bv_doc_id__12_d4e22314
liegt	bv_doc_id__12_d4e22316
der	bv_doc_id__12_d4e22318
Landesgesetzgebung	bv_doc_id__12_d4e22320
ob	bv_doc_id__12_d4e22323
<g/>
;	
in	bv_doc_id__12_d4e22327
diesen	bv_doc_id__12_d4e22329
Wahlordnungen	bv_doc_id__12_d4e22331
dürfen	bv_doc_id__12_d4e22333
die	bv_doc_id__12_d4e22336
Bedingungen	bv_doc_id__12_d4e22338
des	bv_doc_id__12_d4e22340
aktiven	bv_doc_id__12_d4e22342
und	bv_doc_id__12_d4e22344
passiven	bv_doc_id__12_d4e22346
Wahlrechtes	bv_doc_id__12_d4e22349
nicht	bv_doc_id__12_d4e22351
enger	bv_doc_id__12_d4e22353
gezogen	bv_doc_id__12_d4e22355
sein	bv_doc_id__12_d4e22357
als	bv_doc_id__12_d4e22359
in	bv_doc_id__12_d4e22362
der	bv_doc_id__12_d4e22364
Wahlordnung	bv_doc_id__12_d4e22366
zum	bv_doc_id__12_d4e22368
Landtage	bv_doc_id__12_d4e22370
<g/>
;	
doch	bv_doc_id__12_d4e22375
kann	bv_doc_id__12_d4e22377
für	bv_doc_id__12_d4e22379
die	bv_doc_id__12_d4e22381
Wahlen	bv_doc_id__12_d4e22383
in	bv_doc_id__12_d4e22385
die	bv_doc_id__12_d4e22388
Vertretungen	bv_doc_id__12_d4e22390
der	bv_doc_id__12_d4e22392
Ortsgemeinden	bv_doc_id__12_d4e22394
das	bv_doc_id__12_d4e22396
Wahlrecht	bv_doc_id__12_d4e22398
von	bv_doc_id__12_d4e22401
der	bv_doc_id__12_d4e22403
Dauer	bv_doc_id__12_d4e22405
des	bv_doc_id__12_d4e22407
Aufenthaltes	bv_doc_id__12_d4e22409
in	bv_doc_id__12_d4e22411
der	bv_doc_id__12_d4e22414
Gemeinde	bv_doc_id__12_d4e22416
bis	bv_doc_id__12_d4e22418
zu	bv_doc_id__12_d4e22420
einem	bv_doc_id__12_d4e22422
Jahr	bv_doc_id__12_d4e22424
abhängig	bv_doc_id__12_d4e22427
gemacht	bv_doc_id__12_d4e22429
werden	bv_doc_id__12_d4e22431
<g/>
.	
Die	bv_doc_id__12_d4e22435
Wahlordnung	bv_doc_id__12_d4e22437
kann	bv_doc_id__12_d4e22440
bestimmen	bv_doc_id__12_d4e22442
<g/>
,	
daß	bv_doc_id__12_d4e22446
die	bv_doc_id__12_d4e22448
Wähler	bv_doc_id__12_d4e22450
ihr	bv_doc_id__12_d4e22453
Wahlrecht	bv_doc_id__12_d4e22455
in	bv_doc_id__12_d4e22457
Wahlkreisen	bv_doc_id__12_d4e22459
ausüben	bv_doc_id__12_d4e22461
<g/>
,	
von	bv_doc_id__12_d4e22466
denen	bv_doc_id__12_d4e22468
jeder	bv_doc_id__12_d4e22470
ein	bv_doc_id__12_d4e22472
geschlossenes	bv_doc_id__12_d4e22474
Gebiet	bv_doc_id__12_d4e22476
umfassen	bv_doc_id__12_d4e22479
muß	bv_doc_id__12_d4e22481
<g/>
.	
Eine	bv_doc_id__12_d4e22485
Gliederung	bv_doc_id__12_d4e22487
der	bv_doc_id__12_d4e22489
Wählerschaft	bv_doc_id__12_d4e22492
in	bv_doc_id__12_d4e22494
andere	bv_doc_id__12_d4e22496
Wahlkörper	bv_doc_id__12_d4e22498
ist	bv_doc_id__12_d4e22500
nicht	bv_doc_id__12_d4e22502
zulässig	bv_doc_id__12_d4e22505
<g/>
.	
Für	bv_doc_id__12_d4e22509
die	bv_doc_id__12_d4e22511
Wahlen	bv_doc_id__12_d4e22513
in	bv_doc_id__12_d4e22515
die	bv_doc_id__12_d4e22518
Gebietsgemeindevertretungen	bv_doc_id__12_d4e22520
ist	bv_doc_id__12_d4e22522
der	bv_doc_id__12_d4e22524
Gerichtsbezirk	bv_doc_id__12_d4e22526
Wahlkreis	bv_doc_id__12_d4e22528
<g/>
.	
Die	bv_doc_id__12_d4e22533
Zahl	bv_doc_id__12_d4e22535
der	bv_doc_id__12_d4e22537
Abgeordneten	bv_doc_id__12_d4e22539
ist	bv_doc_id__12_d4e22541
auf	bv_doc_id__12_d4e22544
die	bv_doc_id__12_d4e22546
Wahlkreise	bv_doc_id__12_d4e22548
im	bv_doc_id__12_d4e22550
Verhältnis	bv_doc_id__12_d4e22552
der	bv_doc_id__12_d4e22554
Bürgerzahl	bv_doc_id__12_d4e22557
zu	bv_doc_id__12_d4e22559
verteilen	bv_doc_id__12_d4e22561
<g/>
.	
<g/>
(	
3	bv_doc_id__12_d4e22572
<g/>
)	
In	bv_doc_id__12_d4e22577
die	bv_doc_id__12_d4e22579
Gebietsgemeindevertretungen	bv_doc_id__12_d4e22581
sind	bv_doc_id__12_d4e22583
nur	bv_doc_id__12_d4e22586
Personen	bv_doc_id__12_d4e22588
wählbar	bv_doc_id__12_d4e22590
<g/>
,	
die	bv_doc_id__12_d4e22594
im	bv_doc_id__12_d4e22596
Bereiche	bv_doc_id__12_d4e22599
der	bv_doc_id__12_d4e22601
Gebietsgemeinde	bv_doc_id__12_d4e22603
ihren	bv_doc_id__12_d4e22605
ordentlichen	bv_doc_id__12_d4e22607
Wohnsitz	bv_doc_id__12_d4e22609
haben	bv_doc_id__12_d4e22612
und	bv_doc_id__12_d4e22614
zum	bv_doc_id__12_d4e22616
Landtag	bv_doc_id__12_d4e22618
wählbar	bv_doc_id__12_d4e22620
sind	bv_doc_id__12_d4e22622
<g/>
.	
<g/>
(	
4	bv_doc_id__12_d4e22635
<g/>
)	
Die	bv_doc_id__12_d4e22640
Vertretungen	bv_doc_id__12_d4e22642
können	bv_doc_id__12_d4e22644
nach	bv_doc_id__12_d4e22646
dem	bv_doc_id__12_d4e22649
Grundsatze	bv_doc_id__12_d4e22651
der	bv_doc_id__12_d4e22653
Verhältniswahl	bv_doc_id__12_d4e22655
aus	bv_doc_id__12_d4e22657
ihrer	bv_doc_id__12_d4e22659
Mitte	bv_doc_id__12_d4e22662
für	bv_doc_id__12_d4e22664
die	bv_doc_id__12_d4e22666
einzelnen	bv_doc_id__12_d4e22668
Zweige	bv_doc_id__12_d4e22670
der	bv_doc_id__12_d4e22672
Verwaltung	bv_doc_id__12_d4e22675
besondere	bv_doc_id__12_d4e22677
Verwaltungsausschüsse	bv_doc_id__12_d4e22679
bestellen	bv_doc_id__12_d4e22681
<g/>
,	
die	bv_doc_id__12_d4e22685
<g/>
,	
soweit	bv_doc_id__12_d4e22690
bestimmte	bv_doc_id__12_d4e22692
Berufs-	bv_doc_id__12_d4e22694
oder	bv_doc_id__12_d4e22696
Interessentengruppen	bv_doc_id__12_d4e22698
in	bv_doc_id__12_d4e22701
Betracht	bv_doc_id__12_d4e22703
kommen	bv_doc_id__12_d4e22705
<g/>
,	
auch	bv_doc_id__12_d4e22709
noch	bv_doc_id__12_d4e22711
durch	bv_doc_id__12_d4e22714
die	bv_doc_id__12_d4e22716
Heranziehung	bv_doc_id__12_d4e22718
von	bv_doc_id__12_d4e22720
Vertretern	bv_doc_id__12_d4e22722
dieser	bv_doc_id__12_d4e22724
Berufs-	bv_doc_id__12_d4e22727
oder	bv_doc_id__12_d4e22729
Interessentengruppen	bv_doc_id__12_d4e22731
erweitert	bv_doc_id__12_d4e22733
werden	bv_doc_id__12_d4e22735
können	bv_doc_id__12_d4e22737
<g/>
.	
<g/>
(	
5	bv_doc_id__12_d4e22749
<g/>
)	
Die	bv_doc_id__12_d4e22754
Leiter	bv_doc_id__12_d4e22756
der	bv_doc_id__12_d4e22758
Gebietsgemeindeämter	bv_doc_id__12_d4e22760
müssen	bv_doc_id__12_d4e22763
rechtskundige	bv_doc_id__12_d4e22765
Verwaltungsbeamte	bv_doc_id__12_d4e22767
sein	bv_doc_id__12_d4e22769
<g/>
.	
Artikel	bv_doc_id__12_d4e22779
121.	bv_doc_id__12_d4e22781
<g/>
(	
1	bv_doc_id__12_d4e22790
<g/>
)	
Die	bv_doc_id__12_d4e22795
Festsetzung	bv_doc_id__12_d4e22797
der	bv_doc_id__12_d4e22799
weiteren	bv_doc_id__12_d4e22801
Grundsätze	bv_doc_id__12_d4e22804
für	bv_doc_id__12_d4e22806
die	bv_doc_id__12_d4e22808
Organisation	bv_doc_id__12_d4e22810
der	bv_doc_id__12_d4e22812
allgemeinen	bv_doc_id__12_d4e22814
staatlichen	bv_doc_id__12_d4e22817
Verwaltung	bv_doc_id__12_d4e22819
in	bv_doc_id__12_d4e22821
den	bv_doc_id__12_d4e22823
Ländern	bv_doc_id__12_d4e22825
nach	bv_doc_id__12_d4e22827
den	bv_doc_id__12_d4e22830
Artikeln	bv_doc_id__12_d4e22832
116	bv_doc_id__12_d4e22834
bis	bv_doc_id__12_d4e22836
120	bv_doc_id__12_d4e22838
ist	bv_doc_id__12_d4e22840
Sache	bv_doc_id__12_d4e22843
der	bv_doc_id__12_d4e22845
Bundesverfassungsgesetzgebung	bv_doc_id__12_d4e22847
<g/>
;	
die	bv_doc_id__12_d4e22851
Ausführung	bv_doc_id__12_d4e22853
liegt	bv_doc_id__12_d4e22856
den	bv_doc_id__12_d4e22858
Landesgesetzgebungen	bv_doc_id__12_d4e22860
ob	bv_doc_id__12_d4e22862
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e22873
<g/>
)	
Welche	bv_doc_id__12_d4e22878
Verwaltungsgeschäfte	bv_doc_id__12_d4e22880
sachlich	bv_doc_id__12_d4e22882
und	bv_doc_id__12_d4e22884
instanzenmäßig	bv_doc_id__12_d4e22887
den	bv_doc_id__12_d4e22889
Vertretungen	bv_doc_id__12_d4e22891
und	bv_doc_id__12_d4e22893
Verwaltungsausschüssen	bv_doc_id__12_d4e22895
sowie	bv_doc_id__12_d4e22897
den	bv_doc_id__12_d4e22900
Ämtern	bv_doc_id__12_d4e22902
zukommen	bv_doc_id__12_d4e22904
<g/>
,	
bestimmen	bv_doc_id__12_d4e22908
die	bv_doc_id__12_d4e22910
Bundesgesetzgebung	bv_doc_id__12_d4e22913
und	bv_doc_id__12_d4e22915
die	bv_doc_id__12_d4e22917
Landesgesetzgebungen	bv_doc_id__12_d4e22919
innerhalb	bv_doc_id__12_d4e22921
ihrer	bv_doc_id__12_d4e22923
verfassungsmäßigen	bv_doc_id__12_d4e22926
Zuständigkeit	bv_doc_id__12_d4e22928
<g/>
.	
<g/>
(	
3	bv_doc_id__12_d4e22941
<g/>
)	
Hiebei	bv_doc_id__12_d4e22946
ist	bv_doc_id__12_d4e22948
jedoch	bv_doc_id__12_d4e22950
den	bv_doc_id__12_d4e22953
Gemeinden	bv_doc_id__12_d4e22955
ein	bv_doc_id__12_d4e22957
Wirkungskreis	bv_doc_id__12_d4e22959
in	bv_doc_id__12_d4e22961
erster	bv_doc_id__12_d4e22963
Instanz	bv_doc_id__12_d4e22966
in	bv_doc_id__12_d4e22968
folgenden	bv_doc_id__12_d4e22970
Angelegenheiten	bv_doc_id__12_d4e22972
gewährleistet	bv_doc_id__12_d4e22974
<g/>
:	
1.	bv_doc_id__12_d4e22983
Obsorge	bv_doc_id__12_d4e22988
für	bv_doc_id__12_d4e22990
die	bv_doc_id__12_d4e22992
Sicherheit	bv_doc_id__12_d4e22994
der	bv_doc_id__12_d4e22996
Person	bv_doc_id__12_d4e22999
